Nation,Similarity Score
Afghanistan,104
Albania,22
Algeria,43
Andorra,54
Angola,18
Antigua and Barbuda,303
Armenia,142
Australia,2
Austria,32
Azerbaijan,29
Bahamas,217
Belarus,90
Belgium,5
Belize,28
Benin,43
Bosnia and Herzegovina,8
Brazil,7
Bulgaria,19
Burkina Faso,86
Burundi,242
Cambodia,70
Cameroon,64
Canada,30
Cape Verde,13
Central African Republic,81
Chad,47
Chile,48
Congo,53
Costa Rica,11
Cote d'Ivoire,64
Croatia,5
Cuba,6
Cyprus,42
Czechia,2
Democratic Republic of Congo,66
Denmark,34
Djibouti,62
Dominica,92
Dominican Republic,42
Ecuador,5
Egypt,52
Equatorial Guinea,301
Eritrea,50
Estonia,41
Eswatini,20
Ethiopia,43
Finland,4
France,1
Gambia,25
Georgia,6
Germany,2
Ghana,39
Greece,33
Grenada,309
Guatemala,4
Guinea,13
Guinea-Bissau,305
Guyana,7
Haiti,70
Honduras,40
Hungary,36
India,2
International,311
Iran,29
Iraq,28
Ireland,13
Israel,5
Italy,3
Jamaica,20
Japan,26
Jordan,42
Kazakhstan,6
Kenya,24
Kosovo,47
Kyrgyzstan,3
Laos,98
Latvia,30
Lebanon,29
Lesotho,46
Liberia,13
Libya,23
Liechtenstein,242
Lithuania,34
Luxembourg,39
Madagascar,60
Malawi,23
Maldives,140
Mali,71
Malta,68
Marshall Islands,311
Mauritania,89
Mauritius,175
Mexico,41
Moldova,2
Monaco,113
Montenegro,173
Morocco,44
Mozambique,23
Myanmar,38
Namibia,53
Netherlands,43
Nicaragua,248
Niger,168
North Macedonia,195
Norway,8
Pakistan,18
Palestine,32
Papua New Guinea,18
Peru,42
Philippines,2
Portugal,3
Qatar,3
Romania,5
Russia,7
Saint Kitts and Nevis,309
Saint Lucia,304
Saint Vincent and the Grenadines,309
Samoa,311
San Marino,66
Sao Tome and Principe,295
Saudi Arabia,8
Senegal,62
Serbia,25
Seychelles,62
Sierra Leone,100
Slovakia,33
Slovenia,41
Solomon Islands,53
Somalia,104
South Africa,31
South Korea,8
South Sudan,38
Spain,8
Sri Lanka,8
Sudan,31
Suriname,52
Sweden,40
Switzerland,35
Syria,44
Tanzania,156
Thailand,17
Timor,80
Togo,54
Trinidad and Tobago,8
Tunisia,58
Turkey,7
Uganda,4
Ukraine,41
United Arab Emirates,8
United States,11
Uruguay,51
Vanuatu,113
Vatican,299
Venezuela,37
Vietnam,8
Yemen,96
Zambia,33
Zimbabwe,5
Paraguay,3
Poland,5
Tajikistan,43
Taiwan,19
New Zealand,5
Brunei,27
Barbados,21
Bhutan,2
Botswana,2
Fiji,2
Gabon,3
Indonesia,3
Mongolia,13
Uzbekistan,9
Hong Kong,2
Oman,5
Bangladesh,1
Bolivia,1
China,1
Iceland,1
Nigeria,1
Rwanda,1
