Nation,Similarity Score
Afghanistan,33
Albania,59
Algeria,36
Andorra,39
Angola,17
Antigua and Barbuda,35
Armenia,41
Australia,37
Austria,114
Azerbaijan,55
Bahamas,45
Belarus,68
Belgium,24
Belize,51
Benin,28
Bosnia and Herzegovina,27
Brazil,36
Bulgaria,41
Burkina Faso,34
Burundi,12
Cambodia,35
Cameroon,34
Canada,72
Cape Verde,35
Central African Republic,35
Chad,35
Chile,59
Comoros,34
Congo,34
Costa Rica,37
Cote d'Ivoire,36
Croatia,44
Cuba,92
Cyprus,138
Czechia,52
Democratic Republic of Congo,34
Djibouti,37
Dominica,37
Dominican Republic,43
Ecuador,19
Egypt,33
Equatorial Guinea,34
Eritrea,34
Estonia,190
Eswatini,22
Ethiopia,44
Finland,108
France,10
Gambia,19
Georgia,9
Germany,46
Ghana,37
Greece,135
Grenada,34
Guatemala,9
Guinea,7
Guinea-Bissau,34
Guyana,20
Haiti,33
Honduras,47
Hungary,102
India,10
International,34
Iran,54
Iraq,68
Ireland,92
Israel,69
Italy,41
Jamaica,21
Japan,15
Jordan,48
Kazakhstan,54
Kenya,38
Kosovo,55
Kyrgyzstan,22
Laos,34
Latvia,158
Lebanon,58
Lesotho,38
Liberia,10
Libya,50
Liechtenstein,37
Lithuania,119
Luxembourg,85
Madagascar,37
Malawi,42
Maldives,47
Mali,35
Malta,96
Marshall Islands,34
Mauritania,20
Mauritius,36
Mexico,41
Moldova,36
Monaco,32
Montenegro,37
Morocco,84
Mozambique,28
Myanmar,87
Namibia,53
Netherlands,61
Nicaragua,34
Niger,34
North Macedonia,46
Norway,186
Pakistan,39
Palestine,65
Papua New Guinea,7
Peru,58
Philippines,6
Portugal,51
Qatar,27
Romania,31
Russia,50
Saint Kitts and Nevis,34
Saint Lucia,35
Saint Vincent and the Grenadines,34
Samoa,34
San Marino,37
Sao Tome and Principe,34
Saudi Arabia,43
Senegal,41
Serbia,77
Seychelles,7
Sierra Leone,34
Slovakia,68
Slovenia,84
Solomon Islands,16
Somalia,34
South Africa,30
South Korea,92
South Sudan,48
Spain,29
Sri Lanka,83
Sudan,10
Suriname,35
Sweden,70
Switzerland,92
Syria,31
Tanzania,28
Thailand,33
Timor,10
Togo,72
Trinidad and Tobago,19
Tunisia,72
Turkey,44
Uganda,29
Ukraine,69
United Arab Emirates,91
United States,38
Uruguay,132
Vanuatu,34
Vatican,34
Venezuela,42
Vietnam,8
Yemen,34
Zambia,57
Zimbabwe,17
Paraguay,34
Poland,19
Argentina,33
Colombia,34
Nigeria,6
Panama,42
Tajikistan,3
United Kingdom,61
Uzbekistan,6
Bolivia,8
China,9
Mongolia,6
Bangladesh,3
Barbados,2
Bhutan,1
Botswana,10
Gabon,4
Kuwait,36
Rwanda,61
Malaysia,105
Taiwan,64
Brunei,5
El Salvador,14
Fiji,22
Iceland,63
Nepal,25
New Zealand,11
Oman,19
Singapore,18
Bahrain,26
