Nation,Similarity Score
Argentina,111
Bahrain,46
Bangladesh,158
Barbados,101
Bhutan,159
Bolivia,110
Botswana,104
Brunei,72
China,101
Colombia,86
Fiji,120
Gabon,121
Iceland,60
Indonesia,123
Kuwait,50
Malaysia,86
Mongolia,75
Nepal,150
New Zealand,49
Nigeria,126
Oman,117
Panama,38
Paraguay,87
Poland,44
Rwanda,76
Singapore,51
Taiwan,17
Tajikistan,46
United Kingdom,21
Uzbekistan,126
France,35
Monaco,34
Philippines,189
Australia,48
Czechia,63
Germany,67
India,161
Moldova,89
Ecuador,152
Portugal,54
Papua New Guinea,69
Cuba,40
Kyrgyzstan,181
Georgia,105
Guinea,116
Seychelles,69
Uganda,153
Vietnam,46
Saudi Arabia,56
Hong Kong,34
Italy,26
Belgium,31
Bosnia and Herzegovina,90
Croatia,70
Guatemala,180
Norway,46
South Korea,24
Spain,56
Israel,65
Trinidad and Tobago,115
Brazil,37
Burundi,4
Costa Rica,87
Finland,61
Ireland,27
Jamaica,112
Japan,60
Kazakhstan,100
Liberia,116
Qatar,72
Romania,93
Russia,48
Sri Lanka,73
Sudan,98
Timor,28
United States,21
Zimbabwe,122
Guyana,122
Turkey,100
Angola,129
Bulgaria,38
Cape Verde,105
Gambia,120
Libya,93
Malawi,46
Mauritania,48
Mozambique,95
Solomon Islands,31
Pakistan,114
Iraq,144
Zambia,68
Afghanistan,64
Albania,106
Austria,17
Benin,38
Eswatini,154
Greece,68
Iran,77
Kenya,154
Lebanon,75
Nicaragua,4
San Marino,29
Serbia,66
Azerbaijan,144
Switzerland,29
Belize,70
Dominican Republic,129
Haiti,96
Honduras,144
Hungary,15
Latvia,25
Lithuania,24
Ukraine,85
Venezuela,131
Slovakia,18
Cambodia,29
Chad,103
Cyprus,24
Denmark,14
Jordan,70
Lesotho,92
Luxembourg,14
Peru,61
Slovenia,22
Tunisia,56
Myanmar,76
Syria,99
Algeria,121
Democratic Republic of Congo,73
Netherlands,41
Sweden,46
Kosovo,121
Morocco,82
Suriname,116
Uruguay,42
Canada,46
Chile,55
Estonia,22
Ethiopia,102
Ghana,65
Senegal,72
South Sudan,72
Namibia,63
Cameroon,56
South Africa,117
Cote d'Ivoire,50
Mauritius,34
Niger,4
Togo,55
Burkina Faso,30
Madagascar,97
Palestine,117
Djibouti,77
Egypt,114
Vanuatu,36
Congo,113
Laos,41
Mexico,140
Eritrea,134
Dominica,45
Mali,34
Sierra Leone,29
Thailand,7
Maldives,11
Malta,6
United Arab Emirates,15
Andorra,19
Central African Republic,55
Somalia,28
Tanzania,3
Yemen,21
North Macedonia,3
Bahamas,6
Armenia,3
Montenegro,4
Belarus,11
Liechtenstein,3
Saint Lucia,1
