Nation,Similarity Score
Afghanistan,9
Albania,19
Algeria,7
Andorra,27
Angola,13
Antigua and Barbuda,1
Armenia,19
Australia,34
Austria,102
Azerbaijan,15
Bahamas,13
Belarus,36
Belgium,201
Belize,15
Benin,15
Bosnia and Herzegovina,45
Brazil,22
Bulgaria,102
Burkina Faso,9
Burundi,11
Cambodia,9
Cameroon,10
Canada,56
Cape Verde,41
Central African Republic,11
Chad,5
Chile,7
Comoros,1
Congo,12
Costa Rica,43
Cote d'Ivoire,8
Croatia,88
Cuba,53
Cyprus,4
Czechia,124
Democratic Republic of Congo,12
Denmark,10
Djibouti,16
Dominica,7
Dominican Republic,6
Ecuador,24
Egypt,9
Equatorial Guinea,1
Eritrea,5
Estonia,23
Eswatini,14
Ethiopia,15
Finland,40
Gambia,12
Georgia,40
Germany,45
Ghana,11
Greece,33
Grenada,1
Guatemala,40
Guinea,37
Guinea-Bissau,1
Guyana,22
Haiti,14
Honduras,13
Hungary,71
India,43
International,1
Iran,25
Iraq,29
Ireland,89
Israel,43
Italy,157
Jamaica,70
Japan,61
Jordan,9
Kazakhstan,42
Kenya,11
Kosovo,12
Kyrgyzstan,27
Laos,9
Latvia,10
Lebanon,30
Lesotho,12
Liberia,21
Libya,21
Liechtenstein,11
Lithuania,25
Luxembourg,104
Madagascar,11
Malawi,13
Maldives,17
Mali,9
Malta,16
Marshall Islands,1
Mauritania,15
Mauritius,5
Mexico,8
Moldova,37
Monaco,39
Montenegro,24
Morocco,41
Mozambique,24
Myanmar,7
Namibia,16
Netherlands,32
Nicaragua,3
Niger,2
North Macedonia,10
Norway,42
Pakistan,32
Palestine,21
Papua New Guinea,37
Peru,14
Philippines,32
Portugal,121
Qatar,27
Romania,46
Russia,45
Saint Kitts and Nevis,1
Saint Lucia,1
Saint Vincent and the Grenadines,1
Samoa,1
San Marino,29
Sao Tome and Principe,1
Saudi Arabia,41
Senegal,10
Serbia,49
Seychelles,29
Sierra Leone,8
Slovakia,66
Slovenia,83
Solomon Islands,20
Somalia,9
South Africa,8
South Korea,28
South Sudan,3
Spain,124
Sri Lanka,42
Sudan,22
Suriname,11
Sweden,21
Switzerland,63
Syria,12
Tanzania,4
Thailand,1
Timor,30
Togo,62
Trinidad and Tobago,62
Tunisia,41
Turkey,55
Uganda,32
Ukraine,16
United Arab Emirates,38
United States,94
Uruguay,27
Vanuatu,5
Vatican,1
Venezuela,9
Vietnam,17
Yemen,13
Zambia,35
Zimbabwe,26
Argentina,49
Bahrain,46
Bangladesh,32
Barbados,42
Bhutan,34
Botswana,42
Brunei,32
Colombia,28
El Salvador,35
Fiji,44
Iceland,72
Indonesia,36
Malaysia,32
Mongolia,17
New Zealand,24
Panama,32
Rwanda,72
Singapore,64
Taiwan,13
Uzbekistan,43
Gabon,26
Kuwait,38
Nepal,30
Nigeria,35
Oman,30
Paraguay,45
Poland,141
Tajikistan,34
United Kingdom,129
Bolivia,18
China,21
Hong Kong,9
