Nation,Similarity Score
Afghanistan,107
Albania,62
Algeria,76
Andorra,123
Angola,180
Antigua and Barbuda,198
Argentina,55
Armenia,58
Australia,103
Austria,42
Azerbaijan,68
Bahamas,131
Bahrain,38
Bangladesh,96
Barbados,160
Belarus,60
Belgium,51
Belize,154
Benin,190
Bhutan,188
Bolivia,65
Bosnia and Herzegovina,61
Botswana,195
Brazil,56
Brunei,203
Bulgaria,63
Burkina Faso,199
Burundi,221
Cambodia,222
Cameroon,162
Canada,51
Cape Verde,82
Central African Republic,175
Chad,208
Chile,49
China,192
Colombia,54
Comoros,198
Congo,189
Costa Rica,64
Cote d'Ivoire,138
Croatia,67
Cuba,126
Cyprus,60
Czechia,49
Democratic Republic of Congo,186
Denmark,48
Djibouti,115
Dominica,208
Dominican Republic,55
Ecuador,72
Egypt,107
El Salvador,106
Equatorial Guinea,197
Eritrea,218
Estonia,64
Eswatini,92
Ethiopia,158
Fiji,214
Finland,61
France,58
Gabon,142
Georgia,82
Germany,46
Ghana,140
Greece,70
Grenada,212
Guatemala,88
Guinea,131
Guinea-Bissau,189
Guyana,113
Haiti,177
Honduras,82
Hungary,68
Iceland,78
India,80
Indonesia,78
International,231
Iran,39
Iraq,57
Ireland,49
Israel,34
Italy,36
Jamaica,99
Japan,97
Jordan,108
Kazakhstan,69
Kenya,116
Kosovo,69
Kuwait,42
Kyrgyzstan,90
Laos,230
Latvia,65
Lebanon,72
Lesotho,207
Liberia,157
Libya,132
Liechtenstein,160
Lithuania,67
Luxembourg,50
Madagascar,173
Malawi,189
Malaysia,81
Maldives,63
Mali,170
Malta,42
Marshall Islands,229
Mauritania,143
Mauritius,188
Mexico,66
Moldova,55
Monaco,137
Mongolia,197
Montenegro,103
Morocco,73
Mozambique,178
Myanmar,173
Namibia,147
Nepal,106
Netherlands,49
New Zealand,142
Nicaragua,214
Niger,220
Nigeria,159
North Macedonia,54
Norway,50
Oman,79
Pakistan,92
Palestine,91
Panama,50
Papua New Guinea,226
Paraguay,89
Peru,61
Philippines,70
Poland,60
Portugal,50
Qatar,44
Romania,52
Russia,58
Rwanda,160
Saint Kitts and Nevis,217
Saint Lucia,186
Saint Vincent and the Grenadines,201
Samoa,229
San Marino,141
Sao Tome and Principe,166
Saudi Arabia,57
Senegal,129
Serbia,63
Seychelles,209
Sierra Leone,165
Singapore,86
Slovakia,76
Slovenia,78
Solomon Islands,228
Somalia,173
South Africa,58
South Korea,122
South Sudan,202
Spain,66
Sri Lanka,123
Sudan,163
Suriname,125
Sweden,55
Switzerland,49
Syria,181
Taiwan,195
Tajikistan,129
Tanzania,228
Thailand,184
Timor,220
Togo,167
Trinidad and Tobago,138
Tunisia,129
Turkey,64
Uganda,195
Ukraine,68
United Arab Emirates,46
United Kingdom,42
United States,41
Uruguay,91
Uzbekistan,93
Vanuatu,231
Vatican,220
Venezuela,108
Vietnam,226
Yemen,205
Zambia,191
Zimbabwe,177
Hong Kong,40
