Nation,Similarity Score
Afghanistan,80
Albania,89
Algeria,86
Andorra,61
Angola,68
Antigua and Barbuda,69
Argentina,102
Armenia,70
Australia,44
Austria,51
Azerbaijan,104
Bahamas,79
Bahrain,49
Bangladesh,91
Barbados,72
Belarus,61
Belgium,68
Belize,68
Benin,60
Bhutan,67
Bolivia,103
Bosnia and Herzegovina,77
Botswana,65
Brazil,70
Brunei,56
Bulgaria,95
Burkina Faso,63
Burundi,60
Cambodia,61
Cameroon,80
Canada,60
Cape Verde,91
Central African Republic,73
Chad,60
Chile,72
China,21
Colombia,94
Comoros,71
Congo,72
Costa Rica,84
Cote d'Ivoire,69
Croatia,54
Cuba,83
Cyprus,75
Czechia,59
Democratic Republic of Congo,60
Denmark,56
Djibouti,82
Dominica,63
Dominican Republic,109
Ecuador,95
Egypt,70
El Salvador,116
Equatorial Guinea,68
Eritrea,66
Estonia,65
Eswatini,97
Ethiopia,73
Fiji,66
Finland,83
France,58
Gabon,80
Gambia,69
Georgia,61
Germany,60
Ghana,76
Greece,50
Grenada,62
Guatemala,115
Guinea,81
Guinea-Bissau,69
Guyana,81
Haiti,65
Honduras,110
Hungary,62
Iceland,54
India,83
Indonesia,90
International,60
Iran,57
Iraq,95
Ireland,61
Israel,68
Italy,42
Jamaica,79
Japan,63
Jordan,65
Kenya,70
Kosovo,96
Kuwait,55
Kyrgyzstan,106
Laos,60
Latvia,63
Lebanon,57
Lesotho,66
Liberia,63
Libya,67
Liechtenstein,56
Lithuania,66
Luxembourg,71
Madagascar,56
Malawi,56
Malaysia,81
Maldives,88
Mali,61
Malta,59
Marshall Islands,62
Mauritania,72
Mauritius,66
Mexico,133
Moldova,76
Monaco,71
Mongolia,58
Montenegro,70
Morocco,87
Mozambique,72
Myanmar,84
Namibia,83
Nepal,74
Netherlands,56
New Zealand,58
Nicaragua,60
Niger,69
Nigeria,54
North Macedonia,86
Norway,74
Oman,70
Pakistan,92
Palestine,73
Panama,52
Papua New Guinea,58
Paraguay,74
Peru,76
Philippines,88
Poland,76
Portugal,59
Qatar,74
Romania,86
Russia,68
Rwanda,56
Saint Kitts and Nevis,60
Saint Lucia,75
Saint Vincent and the Grenadines,65
Samoa,60
San Marino,49
Sao Tome and Principe,69
Saudi Arabia,92
Senegal,69
Serbia,92
Seychelles,69
Sierra Leone,62
Singapore,40
Slovakia,61
Slovenia,55
Solomon Islands,62
Somalia,62
South Africa,128
South Korea,40
South Sudan,63
Spain,46
Sri Lanka,69
Sudan,61
Suriname,92
Sweden,48
Switzerland,47
Syria,67
Taiwan,42
Tajikistan,83
Tanzania,60
Thailand,54
Timor,62
Togo,61
Trinidad and Tobago,85
Tunisia,68
Turkey,117
Uganda,65
Ukraine,105
United Arab Emirates,51
United Kingdom,52
United States,47
Uruguay,82
Uzbekistan,89
Vanuatu,60
Vatican,59
Venezuela,73
Vietnam,59
Yemen,59
Zambia,71
Zimbabwe,57
Hong Kong,3
