Nation,Similarity Score
Afghanistan,73
Albania,97
Algeria,78
Andorra,58
Angola,53
Antigua and Barbuda,56
Argentina,112
Armenia,63
Australia,45
Austria,49
Bahamas,73
Bahrain,46
Bangladesh,119
Barbados,64
Belarus,102
Belgium,53
Belize,65
Benin,53
Bhutan,54
Bolivia,85
Bosnia and Herzegovina,75
Botswana,59
Brazil,78
Brunei,46
Bulgaria,91
Burkina Faso,50
Burundi,50
Cambodia,47
Cameroon,66
Canada,81
Cape Verde,91
Central African Republic,64
Chad,52
Chile,60
China,17
Colombia,115
Comoros,60
Congo,67
Costa Rica,66
Cote d'Ivoire,61
Croatia,55
Cuba,75
Cyprus,87
Czechia,68
Democratic Republic of Congo,50
Denmark,71
Djibouti,71
Dominica,53
Dominican Republic,89
Ecuador,93
Egypt,58
El Salvador,121
Equatorial Guinea,57
Eritrea,52
Estonia,87
Eswatini,93
Ethiopia,77
Fiji,55
Finland,64
France,47
Gabon,78
Gambia,63
Georgia,68
Germany,76
Ghana,69
Greece,97
Grenada,52
Guatemala,108
Guinea,78
Guinea-Bissau,63
Guyana,69
Haiti,61
Honduras,102
Hungary,63
Iceland,68
India,68
Indonesia,84
International,50
Iran,94
Iraq,97
Ireland,62
Israel,62
Italy,52
Jamaica,63
Japan,65
Jordan,62
Kazakhstan,102
Kenya,58
Kosovo,92
Kuwait,51
Kyrgyzstan,111
Laos,50
Latvia,80
Lebanon,61
Lesotho,62
Liberia,52
Libya,66
Liechtenstein,54
Lithuania,81
Luxembourg,51
Madagascar,56
Malawi,51
Malaysia,65
Maldives,88
Mali,52
Malta,76
Marshall Islands,50
Mauritania,70
Mauritius,52
Mexico,110
Moldova,89
Monaco,61
Mongolia,49
Montenegro,62
Morocco,90
Mozambique,54
Myanmar,61
Namibia,69
Nepal,66
Netherlands,54
New Zealand,54
Nicaragua,55
Niger,50
Nigeria,50
North Macedonia,89
Norway,83
Oman,69
Pakistan,80
Palestine,92
Panama,67
Papua New Guinea,51
Paraguay,68
Peru,65
Philippines,72
Poland,97
Portugal,88
Qatar,53
Romania,60
Russia,103
Rwanda,51
Saint Kitts and Nevis,50
Saint Lucia,53
Saint Vincent and the Grenadines,52
Samoa,50
San Marino,43
Sao Tome and Principe,64
Saudi Arabia,77
Senegal,72
Serbia,112
Seychelles,57
Sierra Leone,55
Singapore,53
Slovakia,85
Slovenia,67
Solomon Islands,50
Somalia,60
South Africa,104
South Korea,31
South Sudan,56
Spain,55
Sri Lanka,52
Sudan,55
Suriname,74
Sweden,62
Switzerland,48
Syria,54
Taiwan,40
Tajikistan,68
Tanzania,50
Thailand,49
Timor,50
Togo,51
Trinidad and Tobago,58
Tunisia,78
Turkey,104
Uganda,52
Ukraine,92
United Arab Emirates,90
United Kingdom,58
United States,46
Uruguay,63
Uzbekistan,89
Vanuatu,50
Vatican,49
Venezuela,61
Vietnam,47
Yemen,50
Zambia,66
Zimbabwe,58
Hong Kong,2
