Nation,Similarity Score
Afghanistan,128
Albania,48
Algeria,51
Andorra,166
Angola,190
Antigua and Barbuda,265
Argentina,51
Armenia,48
Australia,145
Austria,37
Azerbaijan,50
Bahamas,144
Bahrain,38
Bangladesh,76
Barbados,196
Belarus,59
Belgium,44
Belize,181
Benin,238
Bhutan,214
Bolivia,58
Bosnia and Herzegovina,64
Botswana,256
Brazil,54
Brunei,275
Bulgaria,50
Burkina Faso,246
Burundi,288
Cambodia,295
Cameroon,208
Canada,38
Cape Verde,83
Central African Republic,222
Chad,274
Chile,48
China,273
Colombia,50
Comoros,247
Congo,249
Costa Rica,67
Cote d'Ivoire,134
Croatia,68
Cuba,104
Cyprus,72
Czechia,41
Democratic Republic of Congo,239
Denmark,52
Djibouti,139
Dominica,283
Dominican Republic,56
Ecuador,67
Egypt,104
El Salvador,90
Equatorial Guinea,258
Eritrea,267
Estonia,67
Eswatini,84
Ethiopia,141
Fiji,291
Finland,58
France,68
Gabon,182
Gambia,226
Georgia,72
Germany,34
Ghana,142
Greece,60
Grenada,288
Guatemala,81
Guinea,123
Guinea-Bissau,243
Guyana,114
Haiti,187
Honduras,72
Hungary,65
Iceland,97
India,81
Indonesia,61
International,311
Iran,32
Iraq,56
Ireland,46
Israel,38
Italy,31
Jamaica,97
Japan,77
Jordan,116
Kazakhstan,70
Kenya,111
Kosovo,63
Kuwait,42
Kyrgyzstan,75
Laos,307
Latvia,89
Lebanon,55
Lesotho,248
Liberia,201
Libya,124
Liechtenstein,210
Lithuania,57
Luxembourg,69
Madagascar,174
Malawi,230
Malaysia,126
Maldives,73
Mali,206
Malta,77
Mauritania,146
Mauritius,253
Mexico,53
Moldova,50
Monaco,172
Mongolia,254
Montenegro,109
Morocco,55
Mozambique,174
Myanmar,220
Namibia,136
Nepal,110
Netherlands,38
New Zealand,228
Nicaragua,277
Niger,281
Nigeria,185
North Macedonia,49
Norway,46
Oman,89
Pakistan,75
Palestine,90
Panama,51
Papua New Guinea,289
Paraguay,74
Peru,71
Philippines,52
Poland,45
Portugal,43
Qatar,43
Romania,43
Russia,49
Rwanda,170
Saint Kitts and Nevis,297
Saint Lucia,256
Saint Vincent and the Grenadines,271
Samoa,309
San Marino,200
Sao Tome and Principe,197
Saudi Arabia,47
Senegal,114
Serbia,50
Seychelles,270
Sierra Leone,196
Singapore,65
Slovakia,87
Slovenia,75
Solomon Islands,307
Somalia,220
South Africa,51
South Korea,109
South Sudan,255
Spain,86
Sri Lanka,178
Sudan,210
Suriname,131
Sweden,77
Switzerland,62
Syria,176
Taiwan,279
Tajikistan,116
Tanzania,306
Thailand,269
Timor,303
Togo,170
Trinidad and Tobago,156
Tunisia,139
Turkey,54
Uganda,196
Ukraine,58
United Arab Emirates,48
United Kingdom,34
United States,40
Uruguay,84
Uzbekistan,71
Vanuatu,310
Vatican,299
Venezuela,97
Vietnam,305
Yemen,270
Zambia,173
Zimbabwe,189
Hong Kong,69
