Nation,Similarity Score
Afghanistan,52
Albania,60
Algeria,73
Andorra,42
Angola,52
Antigua and Barbuda,51
Argentina,44
Armenia,49
Australia,57
Austria,75
Azerbaijan,83
Bahamas,61
Bahrain,63
Bangladesh,54
Barbados,61
Belarus,78
Belgium,58
Belize,61
Benin,55
Bhutan,56
Bolivia,46
Bosnia and Herzegovina,55
Botswana,53
Brazil,50
Brunei,50
Bulgaria,73
Burkina Faso,50
Burundi,50
Cambodia,48
Cameroon,53
Canada,89
Cape Verde,58
Central African Republic,45
Chad,56
Chile,62
China,19
Colombia,53
Comoros,49
Congo,52
Costa Rica,48
Cote d'Ivoire,62
Croatia,55
Cuba,72
Cyprus,110
Czechia,64
Democratic Republic of Congo,70
Denmark,81
Djibouti,50
Dominica,56
Dominican Republic,63
Ecuador,56
Egypt,51
El Salvador,63
Equatorial Guinea,46
Eritrea,48
Estonia,111
Eswatini,69
Ethiopia,67
Fiji,47
Finland,113
France,53
Gabon,44
Gambia,55
Georgia,69
Germany,119
Ghana,51
Greece,98
Grenada,51
Guatemala,60
Guinea,74
Guinea-Bissau,53
Guyana,73
Haiti,53
Honduras,52
Hungary,81
Iceland,77
India,55
Indonesia,91
International,46
Iran,88
Iraq,54
Ireland,83
Israel,74
Italy,79
Jamaica,86
Japan,63
Jordan,71
Kazakhstan,72
Kenya,70
Kosovo,63
Kuwait,54
Kyrgyzstan,86
Laos,46
Latvia,88
Lebanon,66
Lesotho,53
Liberia,58
Libya,72
Liechtenstein,56
Lithuania,100
Luxembourg,48
Madagascar,62
Malawi,58
Malaysia,52
Maldives,57
Mali,67
Malta,71
Marshall Islands,46
Mauritania,54
Mauritius,50
Mexico,67
Moldova,50
Monaco,57
Mongolia,52
Montenegro,44
Morocco,88
Mozambique,58
Myanmar,60
Namibia,56
Nepal,70
Netherlands,58
New Zealand,52
Nicaragua,49
Niger,46
Nigeria,71
North Macedonia,53
Oman,44
Pakistan,50
Palestine,59
Panama,50
Papua New Guinea,50
Paraguay,75
Peru,54
Philippines,73
Poland,65
Portugal,49
Qatar,58
Romania,41
Russia,48
Rwanda,61
Saint Kitts and Nevis,50
Saint Lucia,52
Saint Vincent and the Grenadines,51
Samoa,46
San Marino,47
Sao Tome and Principe,53
Saudi Arabia,63
Senegal,69
Serbia,67
Seychelles,48
Sierra Leone,76
Singapore,27
Slovakia,76
Slovenia,78
Solomon Islands,46
Somalia,61
South Africa,64
South Korea,57
South Sudan,57
Spain,58
Sri Lanka,57
Sudan,59
Suriname,53
Sweden,69
Switzerland,83
Syria,61
Taiwan,43
Tajikistan,60
Tanzania,46
Thailand,44
Timor,46
Togo,56
Trinidad and Tobago,68
Tunisia,73
Turkey,87
Uganda,48
Ukraine,49
United Arab Emirates,53
United Kingdom,55
United States,43
Uruguay,73
Uzbekistan,87
Vanuatu,46
Vatican,45
Venezuela,71
Vietnam,45
Yemen,56
Zambia,63
Zimbabwe,62
Hong Kong,2
