Nation,Similarity Score
Afghanistan,155
Albania,58
Algeria,71
Andorra,109
Angola,147
Antigua and Barbuda,176
Argentina,61
Armenia,48
Australia,104
Austria,51
Azerbaijan,55
Bahamas,99
Bahrain,38
Bangladesh,86
Barbados,142
Belarus,58
Belgium,45
Belize,120
Benin,186
Bhutan,163
Bolivia,65
Bosnia and Herzegovina,62
Botswana,178
Brazil,54
Brunei,182
Bulgaria,56
Burkina Faso,170
Burundi,206
Cambodia,200
Cameroon,160
Canada,43
Cape Verde,80
Central African Republic,189
Chad,202
Chile,46
China,173
Colombia,51
Comoros,187
Congo,183
Costa Rica,79
Cote d'Ivoire,152
Croatia,57
Cuba,108
Cyprus,80
Czechia,63
Democratic Republic of Congo,191
Denmark,62
Djibouti,132
Dominica,188
Dominican Republic,55
Ecuador,55
Egypt,141
El Salvador,87
Equatorial Guinea,177
Eritrea,191
Estonia,68
Eswatini,95
Ethiopia,126
Fiji,197
Finland,75
France,58
Gabon,140
Gambia,163
Georgia,80
Germany,51
Ghana,139
Greece,63
Grenada,198
Guatemala,92
Guinea,129
Guinea-Bissau,185
Guyana,92
Haiti,178
Honduras,68
Hungary,84
Iceland,58
India,101
Indonesia,84
International,211
Iran,32
Iraq,69
Ireland,54
Israel,41
Italy,46
Jamaica,96
Japan,62
Jordan,105
Kazakhstan,63
Kenya,101
Kosovo,74
Kuwait,42
Kyrgyzstan,86
Laos,207
Latvia,84
Lebanon,69
Lesotho,173
Liberia,188
Libya,109
Liechtenstein,131
Lithuania,76
Luxembourg,69
Madagascar,157
Malawi,189
Malaysia,96
Maldives,73
Mali,190
Malta,76
Marshall Islands,210
Mauritania,144
Mauritius,177
Mexico,52
Moldova,50
Monaco,103
Mongolia,187
Montenegro,75
Morocco,70
Mozambique,149
Myanmar,137
Namibia,100
Nepal,100
Netherlands,47
New Zealand,159
Nicaragua,193
Niger,194
Nigeria,202
North Macedonia,52
Norway,59
Oman,78
Pakistan,93
Palestine,61
Panama,50
Papua New Guinea,205
Paraguay,80
Peru,64
Philippines,78
Poland,59
Portugal,43
Qatar,43
Romania,45
Russia,49
Rwanda,160
Saint Kitts and Nevis,199
Saint Lucia,172
Saint Vincent and the Grenadines,183
Samoa,209
San Marino,142
Sao Tome and Principe,167
Saudi Arabia,51
Senegal,134
Serbia,55
Seychelles,177
Sierra Leone,198
Singapore,60
Slovakia,61
Slovenia,56
Solomon Islands,208
Somalia,199
South Africa,51
South Korea,99
South Sudan,199
Spain,79
Sri Lanka,144
Suriname,102
Sweden,67
Switzerland,67
Syria,141
Taiwan,179
Tajikistan,132
Tanzania,209
Thailand,173
Timor,203
Togo,163
Trinidad and Tobago,97
Tunisia,96
Turkey,54
Uganda,152
Ukraine,61
United Arab Emirates,48
United Kingdom,37
United States,40
Uruguay,77
Uzbekistan,96
Vanuatu,210
Vatican,202
Venezuela,98
Vietnam,206
Yemen,206
Zambia,135
Zimbabwe,175
Hong Kong,64
