Nation,Similarity Score
Afghanistan,99
Albania,56
Algeria,63
Angola,133
Antigua and Barbuda,153
Argentina,69
Armenia,69
Australia,101
Austria,48
Azerbaijan,61
Bahamas,129
Bahrain,58
Bangladesh,64
Barbados,131
Belarus,58
Belgium,61
Belize,130
Benin,142
Bhutan,129
Bolivia,65
Bosnia and Herzegovina,83
Botswana,152
Brazil,60
Brunei,161
Bulgaria,51
Burkina Faso,161
Burundi,166
Cambodia,166
Cameroon,129
Canada,47
Cape Verde,75
Central African Republic,121
Chad,159
Chile,52
China,134
Colombia,63
Comoros,135
Congo,149
Costa Rica,78
Cote d'Ivoire,96
Croatia,62
Cuba,112
Cyprus,89
Czechia,61
Democratic Republic of Congo,152
Denmark,59
Djibouti,107
Dominica,162
Dominican Republic,60
Ecuador,69
Egypt,88
El Salvador,76
Equatorial Guinea,151
Eritrea,154
Estonia,60
Eswatini,64
Ethiopia,108
Fiji,167
Finland,64
France,52
Gabon,142
Gambia,133
Georgia,106
Germany,48
Ghana,97
Greece,74
Grenada,166
Guatemala,67
Guinea,96
Guinea-Bissau,142
Guyana,88
Haiti,104
Honduras,71
Hungary,53
Iceland,92
India,61
Indonesia,61
International,170
Iran,43
Iraq,62
Ireland,53
Israel,69
Italy,36
Jamaica,89
Japan,86
Jordan,119
Kazakhstan,72
Kenya,81
Kosovo,72
Kuwait,51
Kyrgyzstan,63
Laos,170
Latvia,74
Lebanon,68
Lesotho,141
Liberia,132
Libya,89
Liechtenstein,150
Lithuania,96
Luxembourg,70
Madagascar,110
Malawi,139
Malaysia,109
Maldives,66
Mali,150
Malta,86
Marshall Islands,170
Mauritania,92
Mauritius,161
Mexico,63
Moldova,65
Monaco,131
Mongolia,164
Montenegro,119
Morocco,68
Mozambique,126
Myanmar,134
Namibia,95
Nepal,75
Netherlands,58
New Zealand,148
Nicaragua,152
Niger,168
Nigeria,126
North Macedonia,69
Norway,59
Oman,70
Pakistan,73
Palestine,84
Panama,62
Papua New Guinea,160
Paraguay,78
Peru,68
Philippines,56
Poland,52
Portugal,52
Qatar,56
Romania,63
Russia,55
Rwanda,132
Saint Kitts and Nevis,168
Saint Lucia,156
Saint Vincent and the Grenadines,158
Samoa,170
San Marino,146
Sao Tome and Principe,109
Saudi Arabia,55
Senegal,77
Serbia,76
Seychelles,154
Sierra Leone,127
Singapore,47
Slovakia,86
Slovenia,73
Solomon Islands,170
Somalia,134
South Africa,57
South Korea,106
South Sudan,148
Spain,124
Sri Lanka,137
Sudan,125
Suriname,89
Sweden,67
Switzerland,84
Syria,131
Taiwan,158
Tajikistan,79
Tanzania,169
Thailand,159
Timor,167
Togo,133
Trinidad and Tobago,112
Tunisia,122
Turkey,69
Uganda,137
Ukraine,68
United Arab Emirates,49
United Kingdom,42
United States,53
Uruguay,102
Uzbekistan,72
Vanuatu,170
Vatican,168
Venezuela,73
Vietnam,166
Yemen,164
Zambia,119
Zimbabwe,134
Hong Kong,35
