Nation,Similarity Score
Afghanistan,150
Albania,74
Algeria,86
Andorra,149
Angola,194
Antigua and Barbuda,230
Argentina,65
Armenia,49
Australia,153
Austria,41
Azerbaijan,66
Bahamas,136
Bahrain,38
Bangladesh,97
Barbados,179
Belarus,61
Belgium,44
Belize,158
Benin,223
Bhutan,202
Bolivia,74
Bosnia and Herzegovina,75
Botswana,220
Brazil,55
Brunei,229
Bulgaria,51
Burkina Faso,233
Burundi,251
Cambodia,250
Cameroon,194
Canada,40
Cape Verde,89
Central African Republic,198
Chad,242
Chile,46
China,220
Colombia,62
Comoros,205
Costa Rica,85
Cote d'Ivoire,158
Croatia,53
Cuba,151
Cyprus,90
Czechia,46
Democratic Republic of Congo,236
Denmark,54
Djibouti,143
Dominica,235
Dominican Republic,58
Ecuador,67
Egypt,142
El Salvador,117
Equatorial Guinea,216
Eritrea,233
Estonia,63
Eswatini,99
Ethiopia,167
Fiji,244
Finland,73
France,39
Gabon,185
Gambia,203
Georgia,108
Germany,48
Ghana,150
Greece,87
Grenada,238
Guatemala,98
Guinea,144
Guinea-Bissau,221
Guyana,118
Haiti,189
Honduras,89
Hungary,52
Iceland,85
India,99
Indonesia,100
International,257
Iran,46
Iraq,70
Ireland,51
Israel,45
Italy,31
Jamaica,122
Japan,120
Jordan,135
Kazakhstan,86
Kenya,136
Kosovo,79
Kuwait,45
Kyrgyzstan,92
Laos,255
Latvia,90
Lebanon,83
Lesotho,210
Liberia,213
Libya,122
Liechtenstein,168
Lithuania,91
Luxembourg,58
Madagascar,185
Malawi,216
Malaysia,140
Maldives,73
Mali,223
Malta,81
Marshall Islands,255
Mauritania,156
Mauritius,222
Mexico,67
Moldova,57
Monaco,146
Mongolia,238
Montenegro,102
Morocco,82
Mozambique,186
Myanmar,185
Namibia,137
Nepal,113
Netherlands,44
New Zealand,209
Nicaragua,229
Niger,248
Nigeria,207
North Macedonia,55
Norway,64
Oman,83
Pakistan,109
Palestine,99
Panama,52
Papua New Guinea,245
Paraguay,92
Peru,67
Philippines,78
Poland,45
Portugal,44
Qatar,44
Romania,56
Russia,59
Rwanda,194
Saint Kitts and Nevis,247
Saint Lucia,215
Saint Vincent and the Grenadines,224
Samoa,256
San Marino,173
Sao Tome and Principe,177
Saudi Arabia,58
Senegal,137
Serbia,64
Seychelles,231
Sierra Leone,211
Singapore,74
Slovakia,103
Slovenia,68
Solomon Islands,253
Somalia,211
South Africa,62
South Korea,148
South Sudan,231
Spain,88
Sri Lanka,192
Sudan,207
Suriname,129
Sweden,80
Switzerland,74
Syria,193
Taiwan,237
Tajikistan,125
Tanzania,255
Thailand,227
Timor,252
Togo,195
Trinidad and Tobago,142
Tunisia,139
Turkey,63
Uganda,201
Ukraine,65
United Arab Emirates,60
United Kingdom,36
United States,41
Uruguay,122
Uzbekistan,112
Vanuatu,256
Vatican,248
Venezuela,111
Vietnam,253
Yemen,248
Zambia,184
Zimbabwe,203
Hong Kong,57
