Nation,Similarity Score
Afghanistan,63
Albania,73
Algeria,65
Andorra,55
Angola,74
Antigua and Barbuda,67
Argentina,58
Armenia,96
Australia,51
Austria,48
Azerbaijan,89
Bahamas,58
Bahrain,52
Bangladesh,93
Barbados,74
Belarus,92
Belgium,50
Belize,54
Benin,56
Bhutan,63
Bolivia,119
Bosnia and Herzegovina,64
Botswana,52
Brazil,102
Brunei,55
Bulgaria,53
Burkina Faso,59
Burundi,54
Cambodia,55
Cameroon,61
Canada,72
Cape Verde,75
Central African Republic,53
Chad,54
Chile,72
China,21
Colombia,63
Comoros,62
Congo,58
Costa Rica,64
Cote d'Ivoire,55
Croatia,40
Cuba,69
Cyprus,62
Czechia,47
Democratic Republic of Congo,54
Denmark,44
Djibouti,85
Dominica,56
Dominican Republic,91
Ecuador,102
Egypt,58
El Salvador,94
Equatorial Guinea,69
Eritrea,56
Estonia,55
Eswatini,114
Ethiopia,74
Fiji,57
Finland,55
France,35
Gabon,95
Gambia,69
Georgia,51
Germany,54
Ghana,66
Greece,59
Grenada,58
Guatemala,84
Guinea,64
Guinea-Bissau,65
Guyana,63
Haiti,55
Honduras,89
Hungary,53
Iceland,53
India,64
Indonesia,97
International,54
Iran,67
Iraq,59
Ireland,54
Israel,54
Italy,35
Jamaica,72
Japan,57
Jordan,55
Kazakhstan,94
Kenya,67
Kosovo,78
Kuwait,81
Kyrgyzstan,87
Laos,54
Latvia,53
Lebanon,55
Lesotho,64
Liberia,56
Libya,59
Liechtenstein,53
Lithuania,54
Luxembourg,49
Madagascar,55
Malawi,54
Malaysia,64
Maldives,80
Mali,57
Malta,55
Marshall Islands,54
Mauritania,61
Mauritius,62
Mexico,84
Moldova,96
Monaco,58
Mongolia,60
Montenegro,62
Morocco,74
Mozambique,68
Myanmar,68
Namibia,75
Nepal,59
Netherlands,67
New Zealand,50
Nicaragua,71
Niger,54
Nigeria,54
North Macedonia,89
Norway,61
Oman,100
Pakistan,56
Palestine,68
Panama,78
Papua New Guinea,54
Paraguay,55
Peru,106
Philippines,111
Poland,60
Portugal,43
Qatar,46
Romania,69
Russia,127
Rwanda,58
Saint Kitts and Nevis,54
Saint Lucia,60
Saint Vincent and the Grenadines,64
Samoa,55
San Marino,48
Sao Tome and Principe,74
Senegal,52
Serbia,108
Seychelles,66
Sierra Leone,54
Singapore,70
Slovakia,63
Slovenia,51
Solomon Islands,55
Somalia,57
South Africa,95
South Korea,47
South Sudan,54
Spain,49
Sri Lanka,58
Sudan,58
Suriname,95
Sweden,94
Switzerland,57
Syria,64
Taiwan,48
Tajikistan,69
Tanzania,54
Thailand,57
Timor,54
Togo,56
Trinidad and Tobago,80
Tunisia,59
Turkey,92
Uganda,69
Ukraine,76
United Arab Emirates,101
United Kingdom,38
United States,51
Uruguay,77
Uzbekistan,112
Vanuatu,54
Vatican,53
Venezuela,99
Vietnam,54
Yemen,54
Zambia,59
Zimbabwe,56
Hong Kong,3
