Nation,Similarity Score
Argentina,53
Bahrain,73
Bangladesh,63
Barbados,129
Botswana,127
Brunei,77
Canada,30
Colombia,50
El Salvador,72
France,78
Gabon,95
Guatemala,90
Guyana,66
Iceland,61
Indonesia,102
Italy,38
Japan,34
Kenya,33
Kuwait,78
Kyrgyzstan,101
Malaysia,51
Mongolia,84
Nepal,69
New Zealand,72
Nigeria,66
Oman,103
Panama,54
Paraguay,33
Poland,29
Rwanda,57
Serbia,22
South Africa,54
Tajikistan,78
Uganda,101
United Arab Emirates,35
United Kingdom,39
Uzbekistan,134
Bhutan,80
Bolivia,44
China,56
Czechia,72
Germany,91
Moldova,119
Monaco,33
Philippines,65
Singapore,89
Taiwan,35
Australia,75
India,60
Portugal,43
Croatia,57
Ecuador,93
Finland,48
Guinea,105
Papua New Guinea,99
Zimbabwe,33
Belgium,45
Cuba,52
Georgia,126
Sri Lanka,35
Sudan,67
Seychelles,67
Vietnam,59
Saudi Arabia,71
Bosnia and Herzegovina,105
Brazil,61
Jamaica,52
Kazakhstan,19
Liberia,92
Norway,39
Pakistan,75
Qatar,71
Russia,33
Spain,44
Timor,26
Trinidad and Tobago,64
South Korea,26
Israel,47
Costa Rica,64
Burundi,5
Ireland,17
Romania,56
United States,62
Turkey,46
Angola,49
Bulgaria,39
Cape Verde,88
Gambia,58
Libya,17
Malawi,47
Mauritania,41
Mozambique,29
Solomon Islands,33
Albania,110
Eswatini,79
Zambia,66
Afghanistan,57
Belize,52
Benin,62
Iran,51
Iraq,38
Lebanon,77
Palestine,52
San Marino,35
Austria,26
Switzerland,25
Azerbaijan,60
Greece,30
Dominican Republic,40
Haiti,87
Honduras,34
Hungary,35
Latvia,35
Lithuania,26
Nicaragua,2
Slovakia,35
Slovenia,39
Tunisia,32
Ukraine,65
Venezuela,36
Denmark,22
Cambodia,44
Peru,37
Chad,70
Syria,93
Luxembourg,24
Algeria,49
Cyprus,31
Myanmar,13
Netherlands,47
Kosovo,83
Niger,7
Andorra,55
Burkina Faso,48
Central African Republic,90
Chile,42
Cote d'Ivoire,30
Democratic Republic of Congo,82
Eritrea,36
Ghana,52
Jordan,89
Laos,32
Lesotho,73
Namibia,55
Somalia,28
South Sudan,34
Sweden,33
Estonia,29
Ethiopia,30
Senegal,33
Tanzania,4
Togo,22
Yemen,33
Thailand,45
Belarus,2
Maldives,4
Congo,93
Djibouti,107
Madagascar,53
Morocco,31
Mexico,42
Uruguay,18
Malta,8
Egypt,78
Dominica,46
Mauritius,23
Sierra Leone,37
Suriname,39
Vanuatu,41
Cameroon,84
Mali,66
Hong Kong,28
