Nation,Similarity Score
Afghanistan,44
Albania,99
Algeria,97
Andorra,93
Angola,92
Antigua and Barbuda,42
Armenia,42
Australia,2
Austria,110
Azerbaijan,114
Bahamas,42
Belarus,53
Belgium,103
Belize,103
Benin,30
Bosnia and Herzegovina,54
Brazil,86
Bulgaria,41
Burkina Faso,51
Burundi,16
Cambodia,45
Cameroon,64
Cape Verde,84
Central African Republic,72
Chad,102
Chile,77
Comoros,42
Congo,126
Costa Rica,89
Cote d'Ivoire,46
Croatia,32
Cuba,21
Cyprus,70
Czechia,40
Democratic Republic of Congo,58
Denmark,49
Djibouti,88
Dominica,44
Dominican Republic,134
Ecuador,93
Egypt,119
Equatorial Guinea,42
Eritrea,88
Estonia,63
Eswatini,85
Ethiopia,90
Finland,27
Gambia,65
Georgia,116
Germany,57
Ghana,43
Greece,62
Grenada,42
Guinea,50
Guinea-Bissau,42
Haiti,72
Honduras,97
Hungary,81
India,79
International,42
Iran,107
Iraq,116
Ireland,85
Israel,28
Jamaica,113
Jordan,119
Kazakhstan,50
Kosovo,145
Laos,70
Latvia,39
Lebanon,108
Lesotho,109
Liberia,97
Libya,64
Liechtenstein,42
Lithuania,72
Luxembourg,72
Madagascar,104
Malawi,60
Maldives,45
Mali,43
Malta,41
Marshall Islands,42
Mauritania,29
Mauritius,49
Mexico,87
Moldova,37
Monaco,13
Montenegro,42
Mozambique,126
Myanmar,60
Namibia,97
Netherlands,107
Nicaragua,39
Niger,43
North Macedonia,42
Norway,31
Pakistan,74
Palestine,89
Papua New Guinea,11
Peru,110
Philippines,123
Portugal,82
Qatar,72
Romania,77
Russia,60
Saint Kitts and Nevis,42
Saint Lucia,42
Saint Vincent and the Grenadines,42
Samoa,42
San Marino,47
Sao Tome and Principe,42
Saudi Arabia,44
Senegal,49
Seychelles,21
Sierra Leone,45
Slovakia,91
Slovenia,118
Solomon Islands,23
Somalia,50
South Korea,23
South Sudan,51
Spain,143
Sri Lanka,39
Sudan,59
Suriname,105
Sweden,82
Switzerland,101
Syria,75
Tanzania,35
Thailand,18
Timor,14
Togo,96
Trinidad and Tobago,102
Tunisia,112
Turkey,59
Ukraine,165
United States,84
Uruguay,69
Vanuatu,53
Vatican,42
Venezuela,67
Vietnam,18
Yemen,44
Zambia,53
Zimbabwe,68
Canada,95
Guatemala,60
Guyana,66
Italy,85
Japan,22
Kenya,120
Kyrgyzstan,111
Serbia,108
South Africa,68
Uganda,64
United Arab Emirates,44
Paraguay,96
Panama,82
Argentina,63
Colombia,87
Nigeria,46
Poland,80
United Kingdom,62
Bangladesh,49
Botswana,59
Gabon,65
Tajikistan,3
Iceland,13
Malaysia,21
Rwanda,61
El Salvador,67
Indonesia,55
Singapore,50
Brunei,5
France,86
Mongolia,26
Uzbekistan,35
Oman,34
Bolivia,24
China,59
Kuwait,107
Fiji,31
Barbados,14
Bhutan,36
Nepal,81
Bahrain,73
Taiwan,4
Hong Kong,31
