Nation,Similarity Score
Afghanistan,64
Albania,40
Algeria,47
Andorra,183
Angola,19
Antigua and Barbuda,61
Armenia,61
Australia,5
Austria,45
Azerbaijan,35
Bahamas,61
Belarus,75
Belgium,17
Belize,40
Benin,170
Bosnia and Herzegovina,82
Brazil,18
Bulgaria,100
Burkina Faso,156
Burundi,32
Cambodia,227
Cameroon,138
Cape Verde,25
Central African Republic,109
Chad,64
Chile,60
Comoros,61
Congo,77
Costa Rica,31
Cote d'Ivoire,102
Croatia,101
Cuba,11
Cyprus,44
Czechia,61
Democratic Republic of Congo,84
Denmark,35
Djibouti,128
Dominica,159
Dominican Republic,42
Ecuador,27
Egypt,68
Equatorial Guinea,61
Eritrea,56
Estonia,58
Eswatini,56
Ethiopia,43
Finland,9
Gambia,62
Georgia,25
Germany,45
Ghana,101
Greece,33
Grenada,61
Guinea,58
Guinea-Bissau,61
Haiti,122
Honduras,40
Hungary,71
India,3
International,61
Iran,131
Iraq,42
Ireland,18
Israel,31
Jamaica,9
Jordan,78
Kazakhstan,6
Kosovo,69
Laos,209
Latvia,29
Lebanon,51
Lesotho,108
Liberia,21
Libya,21
Liechtenstein,61
Lithuania,34
Luxembourg,42
Madagascar,109
Malawi,64
Maldives,60
Mali,166
Malta,41
Marshall Islands,61
Mauritania,80
Mauritius,143
Mexico,37
Moldova,38
Monaco,21
Montenegro,61
Morocco,50
Mozambique,56
Myanmar,46
Namibia,110
Netherlands,104
Nicaragua,84
Niger,201
North Macedonia,60
Norway,8
Pakistan,28
Palestine,50
Papua New Guinea,112
Peru,43
Philippines,4
Portugal,5
Qatar,8
Romania,63
Russia,8
Saint Kitts and Nevis,61
Saint Lucia,61
Saint Vincent and the Grenadines,61
Samoa,61
San Marino,183
Sao Tome and Principe,61
Saudi Arabia,9
Senegal,121
Seychelles,180
Sierra Leone,188
Slovakia,45
Slovenia,56
Solomon Islands,202
South Korea,8
South Sudan,50
Spain,19
Sri Lanka,16
Sudan,57
Suriname,66
Sweden,103
Switzerland,61
Syria,76
Tanzania,185
Thailand,18
Timor,160
Togo,53
Trinidad and Tobago,18
Tunisia,75
Turkey,14
Ukraine,78
United States,31
Uruguay,57
Vanuatu,112
Vatican,61
Venezuela,37
Vietnam,39
Yemen,216
Zambia,67
Zimbabwe,14
Canada,38
Guatemala,24
Guyana,19
Italy,5
Japan,106
Kenya,25
Kyrgyzstan,12
Serbia,35
South Africa,80
Uganda,14
United Arab Emirates,9
Paraguay,3
Barbados,86
Botswana,48
Fiji,28
Iceland,19
Nigeria,14
Oman,34
Tajikistan,124
United Kingdom,5
Uzbekistan,65
Brunei,191
Gabon,9
Indonesia,27
Mongolia,63
Nepal,3
Rwanda,2
Bhutan,3
Singapore,13
Colombia,6
Panama,3
Poland,37
Taiwan,13
China,50
Hong Kong,18
Argentina,1
Bahrain,3
Bangladesh,4
Bolivia,1
El Salvador,9
France,24
Kuwait,8
New Zealand,15
