Nation,Similarity Score
Afghanistan,124
Albania,99
Algeria,118
Andorra,69
Angola,73
Antigua and Barbuda,68
Armenia,68
Australia,2
Austria,48
Azerbaijan,45
Bahamas,68
Belarus,78
Belgium,33
Belize,121
Benin,93
Bosnia and Herzegovina,117
Brazil,73
Bulgaria,63
Burkina Faso,157
Burundi,46
Cambodia,111
Cameroon,165
Cape Verde,97
Central African Republic,176
Chad,134
Chile,90
Comoros,68
Congo,125
Costa Rica,113
Cote d'Ivoire,158
Croatia,69
Cuba,7
Cyprus,43
Czechia,30
Democratic Republic of Congo,132
Denmark,40
Djibouti,126
Dominica,197
Dominican Republic,62
Ecuador,31
Egypt,134
Equatorial Guinea,68
Eritrea,57
Estonia,55
Eswatini,68
Ethiopia,43
Finland,12
Gambia,117
Georgia,55
Germany,85
Ghana,98
Greece,36
Grenada,68
Guinea,132
Guinea-Bissau,68
Haiti,114
Honduras,48
Hungary,59
India,21
International,68
Iran,61
Iraq,33
Ireland,18
Israel,34
Jamaica,19
Jordan,81
Kazakhstan,6
Kosovo,106
Laos,131
Latvia,29
Lebanon,116
Lesotho,132
Liberia,77
Libya,24
Liechtenstein,68
Lithuania,41
Luxembourg,53
Madagascar,164
Malawi,85
Maldives,67
Mali,166
Malta,50
Marshall Islands,68
Mauritania,93
Mauritius,182
Mexico,130
Moldova,77
Monaco,46
Montenegro,68
Morocco,53
Mozambique,41
Myanmar,41
Namibia,121
Netherlands,117
Nicaragua,48
Niger,104
North Macedonia,67
Norway,14
Pakistan,70
Palestine,50
Papua New Guinea,96
Peru,59
Philippines,12
Portugal,9
Qatar,31
Romania,33
Russia,13
Saint Kitts and Nevis,68
Saint Lucia,68
Saint Vincent and the Grenadines,68
Samoa,68
San Marino,136
Sao Tome and Principe,68
Saudi Arabia,37
Senegal,113
Seychelles,83
Sierra Leone,190
Slovakia,44
Slovenia,47
Solomon Islands,65
Somalia,112
South Korea,8
South Sudan,72
Spain,42
Sri Lanka,12
Sudan,105
Suriname,96
Sweden,106
Switzerland,71
Syria,157
Tanzania,87
Thailand,18
Timor,124
Togo,56
Trinidad and Tobago,47
Tunisia,79
Turkey,35
Ukraine,78
United States,126
Uruguay,52
Vatican,68
Venezuela,85
Vietnam,68
Yemen,147
Zambia,45
Zimbabwe,21
Canada,57
Guatemala,15
Guyana,45
Italy,7
Japan,22
Kenya,36
Kyrgyzstan,41
Serbia,27
South Africa,78
Uganda,14
United Arab Emirates,9
Paraguay,5
Tajikistan,111
Argentina,8
China,32
Colombia,22
El Salvador,8
France,29
Kuwait,42
Oman,36
Rwanda,3
Bhutan,72
United Kingdom,33
Bolivia,30
Malaysia,3
Nigeria,63
Panama,11
Uzbekistan,103
Poland,55
Botswana,74
Barbados,103
Gabon,110
Mongolia,107
Indonesia,95
Brunei,80
Singapore,21
Bahrain,26
Fiji,41
Bangladesh,38
Nepal,1
New Zealand,1
Hong Kong,3
Taiwan,1
Iceland,1
