Nation,Similarity Score
Afghanistan,26
Albania,65
Algeria,47
Andorra,39
Angola,44
Antigua and Barbuda,4
Armenia,4
Australia,42
Austria,11
Azerbaijan,32
Bahamas,4
Belarus,17
Belgium,23
Belize,43
Benin,59
Bosnia and Herzegovina,96
Brazil,60
Bulgaria,38
Burkina Faso,43
Burundi,5
Cambodia,42
Cameroon,97
Cape Verde,35
Central African Republic,60
Chad,47
Chile,31
Comoros,4
Congo,59
Costa Rica,84
Cote d'Ivoire,64
Croatia,43
Cuba,12
Cyprus,9
Czechia,22
Democratic Republic of Congo,38
Denmark,7
Djibouti,85
Dominica,79
Dominican Republic,17
Ecuador,47
Egypt,54
Equatorial Guinea,4
Eritrea,10
Estonia,12
Eswatini,53
Ethiopia,26
Finland,15
Gambia,74
Georgia,103
Germany,66
Ghana,74
Greece,10
Grenada,4
Guinea,58
Guinea-Bissau,4
Haiti,44
Honduras,9
Hungary,10
India,28
International,4
Iran,45
Iraq,42
Ireland,7
Israel,27
Jamaica,20
Jordan,48
Kazakhstan,14
Kosovo,74
Laos,34
Latvia,15
Lebanon,63
Lesotho,96
Liberia,45
Libya,6
Liechtenstein,4
Lithuania,16
Luxembourg,6
Madagascar,60
Malawi,52
Maldives,10
Mali,84
Malta,11
Marshall Islands,4
Mauritania,27
Mauritius,37
Mexico,46
Moldova,55
Monaco,32
Montenegro,4
Morocco,18
Mozambique,19
Myanmar,8
Namibia,53
Netherlands,72
Nicaragua,4
Niger,17
North Macedonia,4
Norway,10
Pakistan,36
Palestine,32
Papua New Guinea,89
Peru,13
Philippines,28
Portugal,18
Qatar,31
Romania,27
Russia,24
Saint Kitts and Nevis,4
Saint Lucia,4
Saint Vincent and the Grenadines,4
Samoa,4
San Marino,64
Sao Tome and Principe,4
Saudi Arabia,30
Senegal,50
Seychelles,38
Sierra Leone,89
Slovakia,11
Slovenia,11
Solomon Islands,42
Somalia,39
South Korea,38
South Sudan,34
Spain,18
Sri Lanka,19
Sudan,27
Suriname,63
Sweden,79
Switzerland,9
Syria,66
Tanzania,13
Thailand,44
Timor,34
Togo,8
Trinidad and Tobago,28
Tunisia,16
Turkey,20
Ukraine,38
United States,73
Uruguay,7
Vanuatu,68
Vatican,4
Venezuela,28
Yemen,51
Zambia,25
Zimbabwe,14
Canada,16
Guatemala,39
Guyana,24
Italy,35
Japan,30
Kenya,20
Kyrgyzstan,58
Serbia,32
South Africa,40
Uganda,49
United Arab Emirates,27
Argentina,10
Bahrain,25
Bangladesh,33
Barbados,80
Bhutan,38
Botswana,107
Brunei,70
El Salvador,32
Fiji,59
France,24
Iceland,14
Indonesia,94
Malaysia,30
Nepal,41
New Zealand,76
Oman,44
Rwanda,21
Singapore,39
Uzbekistan,63
Bolivia,37
China,50
Mongolia,97
Taiwan,28
Nigeria,21
United Kingdom,14
Tajikistan,60
Colombia,18
Gabon,42
Kuwait,19
Panama,25
Paraguay,17
Poland,10
Hong Kong,11
