country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,6,0,0,27.78
Albania,8,0,0,51.85
Algeria,9,0,0,16.67
Andorra,2,0,0,0
Angola,0,0,0,8.33
Antigua and Barbuda,2,0,0,0
Argentina,9,0.135,0,25
Armenia,2,0,0,0
Australia,9,0,2.12,19.44
Austria,6,0.097,2.89,30.56
Azerbaijan,6,0,0,36.11
Bahamas,2,0,0,0
Bahrain,6,0,1.31,30.56
Bangladesh,1,0.039,0,13.89
Barbados,9,0,0,16.67
Belarus,2,0.001,0,0
Belgium,9,0.054,2.45,19.44
Belize,1,0,0,13.89
Benin,9,0,0,16.67
Bhutan,6,0,0,31.48
Bolivia,8,0,0,67.59
Bosnia and Herzegovina,6,0,0,40.28
Botswana,1,0,0,13.89
Brazil,1,0,0,11.11
Brunei,6,0,0,30.56
Bulgaria,6,0,0,26.85
Burkina Faso,2,0,0,0
Burundi,1,0,0,11.11
Cambodia,9,0,0,19.44
Cameroon,2,0,0,0
Canada,1,0,0,13.89
Cape Verde,9,0,0,19.44
Central African Republic,2,0,0,0
Chad,9,0,0,16.67
Chile,2,0,0,0
China,8,0,0.22,81.02
Colombia,1,0,0,14.81
Comoros,2,0,0,0
Congo,0,0,0,5.56
Costa Rica,6,0,0,29.63
Cote d'Ivoire,2,0,0,0
Croatia,9,0.054,0,22.22
Cuba,1,0,0,13.89
Cyprus,9,0,0,22.22
Czechia,8,0.059,0,47.22
Democratic Republic of Congo,1,0,0,11.11
Denmark,6,0.152,1.59,37.96
Djibouti,2,0,0,0
Dominica,2,0,0,0
Dominican Republic,1,0,0,11.11
Ecuador,0,0,0,8.33
Egypt,2,0,0,0
El Salvador,6,0,0,41.67
Equatorial Guinea,2,0,0,0
Eritrea,1,0,0,11.11
Estonia,7,0.039,0,0
Eswatini,1,0,0,13.89
Ethiopia,0,0,0,2.78
Fiji,9,0,0,19.44
Finland,9,0.084,0,19.44
France,6,0,2.45,43.98
Gabon,1,0,0,13.89
Gambia,1,0,0,11.11
Georgia,8,0,0,45.37
Germany,6,0,2.92,32.87
Ghana,0,0,0,8.33
Greece,6,0.072,0,33.33
Grenada,2,0,0,0
Guatemala,6,0,0,30.56
Guinea,1,0,0,13.89
Guinea-Bissau,2,0,0,0
Guyana,9,0,0,25
Haiti,0,0,0,8.33
Honduras,1,0,0,11.11
Hungary,8,0.029,0,46.3
Iceland,9,0.094,0,16.67
India,6,0,0,26.85
Indonesia,6,0,0,37.04
International,2,0,0,0
Iran,8,0,1.51,48.15
Iraq,8,0,0,61.11
Ireland,1,0,0,11.11
Israel,6,0.017,0,33.33
Italy,8,0.216,2.27,85.19
Jamaica,6,0,0,30.56
Japan,6,0.09,1.43,40.74
Jordan,1,0,0,11.11
Kazakhstan,0,0,0,8.33
Kenya,1,0,0,13.89
Kosovo,9,0,0,25
Kuwait,8,0,0,60.19
Kyrgyzstan,9,0,0,22.22
Laos,1,0,0,9.26
Latvia,1,0.035,0,11.11
Lebanon,6,0,0,37.96
Lesotho,1,0,0,11.11
Liberia,1,0,0,11.11
Libya,0,0,0,5.56
Liechtenstein,2,0,0,0
Lithuania,1,0,0,11.11
Luxembourg,9,0.071,0,22.22
Madagascar,2,0,0,0
Malawi,1,0,0,11.11
Malaysia,9,0.062,1.97,22.22
Maldives,2,0,0,0
Mali,2,0,0,0
Malta,2,0.01,0,0
Marshall Islands,2,0,0,0
Mauritania,0,0,0,5.56
Mauritius,2,0,0,0
Mexico,0,0.002,0,2.78
Moldova,8,0,0,51.85
Monaco,8,0,0,61.11
Mongolia,8,0,0,57.41
Montenegro,2,0,0,0
Morocco,0,0.082,0,5.56
Mozambique,0,0,0,8.33
Myanmar,1,0,0,13.89
Namibia,0,0,0,2.78
Nepal,9,0,0,22.22
Netherlands,9,0,2.53,18.52
New Zealand,9,0.005,0,19.44
Nicaragua,0,0,0,8.33
Niger,2,0,0,0
Nigeria,1,0,0,11.11
North Macedonia,2,0,0,0
Norway,9,0.081,2.6,20.37
Oman,9,0,0,19.44
Pakistan,6,0,0,28.7
Palestine,8,0,0,74.07
Panama,0,0,0,8.33
Papua New Guinea,1,0,0,13.89
Paraguay,6,0,0,39.81
Peru,9,0,0,16.67
Philippines,6,0,0,34.26
Poland,9,0,0,25
Portugal,9,0.039,0,25
Qatar,9,0,0,25
Romania,6,0,0,44.44
Russia,6,0.001,0,31.94
Rwanda,6,0,0,26.39
Saint Kitts and Nevis,2,0,0,0
Saint Lucia,2,0,0,0
Saint Vincent and the Grenadines,2,0,0,0
Samoa,2,0,0,0
San Marino,8,0,0,68.52
Sao Tome and Principe,2,0,0,0
Saudi Arabia,6,0.001,0,30.56
Senegal,2,0,0,0
Serbia,9,0.122,0,25
Seychelles,9,0,0,19.44
Sierra Leone,2,0,0,0
Singapore,9,0,1.27,25
Slovakia,6,0,0,33.33
Slovenia,9,0,0,25
Solomon Islands,0,0,0,8.33
Somalia,2,0,0,0
South Africa,1,0.028,0,13.89
South Korea,8,0.025,0.5,55.56
South Sudan,0,0,0,5.56
Spain,8,0,2.43,45.83
Sri Lanka,1,0.029,0,11.11
Sudan,0,0,0,5.56
Suriname,2,0,0,0
Sweden,1,0,1.54,11.11
Switzerland,9,0.059,2.74,25
Syria,9,0,0,19.44
Taiwan,6,0.002,0,28.7
Tajikistan,1,0,0,13.89
Tanzania,0,0,0,2.78
Thailand,9,0.003,0,25
Timor,1,0,0,11.11
Togo,7,0.072,0,0
Trinidad and Tobago,9,0,0,16.67
Tunisia,9,0,0,16.67
Turkey,9,0,0,23.15
Uganda,9,0,0,16.67
Ukraine,1,0,0,11.11
United Arab Emirates,6,0.002,0,32.41
United Kingdom,1,0,4.31,11.11
United States,9,0,3.49,21.76
Uruguay,2,0,0,0
Uzbekistan,9,0,0,16.67
Vanuatu,2,0,0,0
Vatican,2,0,0,0
Venezuela,1,0,0,11.11
Vietnam,8,0.011,0,47.22
Yemen,2,0,0,0
Zambia,9,0,0,16.67
Zimbabwe,0,0,0,8.33
