Nation,Similarity Score
Afghanistan,6
Albania,69
Algeria,16
Andorra,59
Angola,31
Antigua and Barbuda,5
Armenia,5
Australia,59
Austria,57
Azerbaijan,29
Bahamas,5
Belarus,5
Belgium,53
Belize,19
Benin,52
Bosnia and Herzegovina,86
Brazil,6
Bulgaria,28
Burkina Faso,36
Burundi,5
Cambodia,33
Cameroon,92
Canada,20
Cape Verde,8
Central African Republic,54
Chad,7
Chile,23
Comoros,5
Congo,37
Costa Rica,18
Cote d'Ivoire,40
Croatia,57
Cuba,18
Cyprus,101
Czechia,59
Democratic Republic of Congo,40
Denmark,86
Djibouti,98
Dominica,14
Dominican Republic,52
Ecuador,57
Egypt,30
Equatorial Guinea,5
Eritrea,45
Estonia,21
Eswatini,18
Ethiopia,6
Finland,30
France,85
Gambia,6
Georgia,99
Germany,71
Ghana,79
Greece,94
Grenada,5
Guatemala,50
Guinea,13
Guinea-Bissau,5
Guyana,19
Haiti,38
Honduras,41
Hungary,74
India,31
International,5
Iran,49
Iraq,38
Ireland,46
Israel,45
Jamaica,27
Japan,32
Jordan,86
Kazakhstan,35
Kenya,21
Kosovo,89
Kyrgyzstan,46
Laos,30
Latvia,55
Lebanon,27
Lesotho,69
Liberia,19
Libya,51
Liechtenstein,5
Lithuania,31
Luxembourg,48
Madagascar,46
Malawi,73
Maldives,5
Mali,57
Malta,5
Marshall Islands,5
Mauritania,6
Mauritius,8
Mexico,7
Moldova,49
Monaco,26
Montenegro,5
Morocco,51
Mozambique,26
Myanmar,29
Namibia,57
Netherlands,61
Nicaragua,6
Niger,11
North Macedonia,5
Norway,34
Pakistan,51
Palestine,36
Papua New Guinea,72
Peru,42
Philippines,48
Portugal,52
Qatar,31
Romania,49
Russia,32
Saint Kitts and Nevis,5
Saint Lucia,5
Saint Vincent and the Grenadines,5
Samoa,5
San Marino,56
Sao Tome and Principe,5
Saudi Arabia,48
Senegal,26
Serbia,76
Seychelles,62
Sierra Leone,23
Slovakia,29
Slovenia,85
Solomon Islands,11
Somalia,34
South Africa,21
South Korea,95
South Sudan,8
Spain,38
Sri Lanka,52
Sudan,12
Suriname,14
Sweden,102
Switzerland,43
Syria,45
Tanzania,7
Thailand,62
Timor,26
Togo,54
Trinidad and Tobago,47
Tunisia,45
Turkey,50
Uganda,54
Ukraine,38
United Arab Emirates,41
United States,27
Uruguay,44
Vanuatu,17
Vatican,5
Venezuela,25
Vietnam,86
Yemen,36
Zambia,67
Zimbabwe,11
Gabon,11
Kuwait,35
Nigeria,20
Paraguay,48
Poland,25
Tajikistan,34
United Kingdom,16
Argentina,38
Bahrain,25
Bangladesh,58
Barbados,41
Bhutan,22
Botswana,79
Colombia,22
El Salvador,56
Fiji,81
Iceland,47
Indonesia,61
Nepal,52
New Zealand,40
Oman,38
Panama,30
Rwanda,48
Uzbekistan,47
Brunei,47
Malaysia,120
Singapore,77
Taiwan,25
Bolivia,46
China,59
Mongolia,89
Hong Kong,13
