Nation,Similarity Score
Afghanistan,104
Albania,68
Algeria,62
Andorra,145
Angola,191
Antigua and Barbuda,195
Argentina,60
Armenia,81
Australia,117
Austria,52
Azerbaijan,58
Bahamas,130
Bahrain,48
Bangladesh,76
Barbados,158
Belarus,68
Belgium,50
Belize,164
Benin,173
Bhutan,169
Bolivia,62
Bosnia and Herzegovina,96
Botswana,186
Brazil,53
Brunei,190
Bulgaria,53
Burkina Faso,191
Burundi,203
Cambodia,205
Cameroon,148
Canada,50
Cape Verde,79
Central African Republic,145
Chad,193
Chile,56
Colombia,55
Comoros,174
Congo,165
Costa Rica,73
Cote d'Ivoire,107
Croatia,66
Cuba,134
Cyprus,105
Czechia,56
Democratic Republic of Congo,191
Denmark,59
Djibouti,108
Dominica,205
Dominican Republic,58
Ecuador,71
Egypt,87
El Salvador,76
Equatorial Guinea,178
Eritrea,194
Estonia,75
Eswatini,90
Ethiopia,150
Fiji,201
Finland,87
France,41
Gabon,131
Gambia,171
Georgia,136
Germany,57
Ghana,106
Greece,107
Grenada,201
Guatemala,85
Guinea,98
Guinea-Bissau,161
Guyana,119
Haiti,129
Honduras,78
Hungary,56
Iceland,110
India,90
Indonesia,85
International,210
Iran,56
Iraq,73
Ireland,65
Israel,44
Italy,38
Jamaica,130
Japan,99
Jordan,175
Kazakhstan,75
Kenya,125
Kosovo,77
Kuwait,50
Kyrgyzstan,86
Laos,209
Latvia,96
Lebanon,91
Lesotho,188
Liberia,162
Libya,130
Lithuania,115
Luxembourg,58
Madagascar,142
Malawi,170
Malaysia,141
Maldives,68
Mali,176
Malta,86
Marshall Islands,210
Mauritania,114
Mauritius,193
Mexico,61
Moldova,60
Monaco,160
Mongolia,198
Montenegro,130
Morocco,81
Mozambique,172
Myanmar,193
Namibia,142
Nepal,113
Netherlands,57
New Zealand,172
Nicaragua,193
Niger,199
Nigeria,153
North Macedonia,81
Norway,67
Oman,65
Pakistan,77
Palestine,114
Panama,61
Papua New Guinea,203
Paraguay,103
Peru,58
Philippines,77
Poland,50
Portugal,52
Qatar,49
Romania,70
Russia,63
Rwanda,169
Saint Kitts and Nevis,205
Saint Lucia,200
Saint Vincent and the Grenadines,191
Samoa,210
San Marino,149
Sao Tome and Principe,135
Saudi Arabia,52
Senegal,84
Serbia,69
Seychelles,193
Sierra Leone,152
Slovakia,124
Slovenia,86
Solomon Islands,210
Somalia,163
South Africa,60
South Korea,148
South Sudan,183
Spain,73
Sri Lanka,176
Sudan,150
Suriname,118
Sweden,68
Switzerland,94
Syria,177
Taiwan,192
Tajikistan,96
Tanzania,206
Timor,204
Togo,174
Trinidad and Tobago,159
Tunisia,156
Turkey,66
Uganda,189
Ukraine,70
United Arab Emirates,64
United Kingdom,45
United States,55
Uruguay,115
Uzbekistan,90
Vanuatu,210
Vatican,203
Venezuela,115
Yemen,202
Zambia,151
Zimbabwe,159
Thailand,189
Vietnam,205
China,171
Singapore,28
Hong Kong,28
