Nation,Similarity Score
Afghanistan,76
Albania,117
Algeria,75
Andorra,64
Angola,56
Antigua and Barbuda,65
Argentina,100
Armenia,72
Australia,44
Austria,47
Azerbaijan,129
Bahamas,76
Bahrain,46
Bangladesh,73
Barbados,61
Belarus,84
Belgium,66
Belize,69
Benin,56
Bhutan,59
Bolivia,125
Bosnia and Herzegovina,80
Botswana,62
Brazil,64
Brunei,51
Bulgaria,59
Burkina Faso,66
Burundi,56
Cambodia,56
Cameroon,73
Canada,75
Cape Verde,112
Central African Republic,69
Chad,56
Chile,58
Colombia,119
Comoros,66
Congo,68
Costa Rica,70
Cote d'Ivoire,65
Croatia,45
Cuba,75
Cyprus,66
Czechia,54
Democratic Republic of Congo,56
Denmark,51
Djibouti,78
Dominica,60
Dominican Republic,129
Ecuador,141
Egypt,72
El Salvador,132
Equatorial Guinea,58
Eritrea,62
Estonia,70
Eswatini,105
Ethiopia,55
Fiji,60
Finland,79
France,35
Gabon,88
Gambia,66
Georgia,67
Germany,62
Ghana,75
Greece,73
Grenada,59
Guatemala,154
Guinea,76
Guinea-Bissau,72
Guyana,96
Haiti,64
Honduras,137
Hungary,49
Iceland,56
India,119
Indonesia,69
International,56
Iran,127
Iraq,118
Ireland,64
Israel,69
Italy,37
Jamaica,88
Japan,58
Jordan,68
Kazakhstan,132
Kenya,59
Kosovo,111
Kuwait,48
Kyrgyzstan,103
Laos,57
Latvia,65
Lebanon,59
Lesotho,66
Liberia,62
Libya,73
Liechtenstein,61
Lithuania,74
Luxembourg,53
Madagascar,58
Malawi,56
Malaysia,67
Maldives,99
Mali,57
Malta,70
Marshall Islands,56
Mauritania,75
Mauritius,55
Moldova,90
Monaco,76
Mongolia,56
Montenegro,66
Morocco,111
Mozambique,56
Myanmar,68
Namibia,97
Nepal,95
Netherlands,71
New Zealand,55
Nicaragua,61
Niger,64
Nigeria,56
North Macedonia,120
Norway,71
Oman,76
Pakistan,83
Palestine,91
Panama,52
Papua New Guinea,56
Paraguay,85
Peru,60
Philippines,112
Poland,48
Portugal,46
Qatar,58
Romania,91
Russia,127
Rwanda,58
Saint Kitts and Nevis,55
Saint Lucia,65
Saint Vincent and the Grenadines,59
Samoa,55
San Marino,49
Sao Tome and Principe,65
Saudi Arabia,83
Senegal,67
Serbia,93
Seychelles,61
Sierra Leone,57
Slovakia,65
Slovenia,52
Solomon Islands,56
Somalia,60
South Africa,153
South Korea,31
South Sudan,58
Spain,53
Sri Lanka,69
Sudan,56
Suriname,91
Sweden,61
Switzerland,66
Syria,55
Taiwan,52
Tajikistan,70
Tanzania,56
Timor,58
Togo,58
Trinidad and Tobago,89
Tunisia,74
Turkey,96
Uganda,55
Ukraine,110
United Arab Emirates,89
United Kingdom,38
United States,40
Uruguay,66
Uzbekistan,78
Vanuatu,56
Vatican,54
Venezuela,100
Yemen,56
Zambia,60
Zimbabwe,56
Thailand,56
Vietnam,54
China,19
Singapore,49
Hong Kong,2
