Nation,Similarity Score
Afghanistan,165
Albania,53
Algeria,72
Andorra,159
Angola,236
Antigua and Barbuda,256
Argentina,57
Armenia,48
Australia,184
Austria,37
Azerbaijan,53
Bahamas,146
Bahrain,39
Bangladesh,89
Barbados,216
Belarus,61
Belgium,40
Belize,183
Benin,253
Bhutan,240
Bolivia,75
Bosnia and Herzegovina,63
Botswana,252
Brazil,54
Brunei,270
Bulgaria,50
Burkina Faso,273
Burundi,294
Cambodia,295
Cameroon,214
Canada,43
Cape Verde,82
Central African Republic,230
Chad,282
Chile,45
Colombia,53
Comoros,245
Congo,245
Costa Rica,80
Cote d'Ivoire,179
Croatia,58
Cuba,174
Cyprus,97
Czechia,41
Democratic Republic of Congo,283
Denmark,54
Djibouti,154
Dominica,274
Dominican Republic,55
Ecuador,68
Egypt,147
El Salvador,99
Equatorial Guinea,255
Eritrea,276
Estonia,75
Eswatini,96
Ethiopia,189
Fiji,287
Finland,87
France,37
Gabon,187
Gambia,240
Georgia,125
Germany,45
Ghana,163
Greece,101
Grenada,280
Guatemala,98
Guinea,155
Guinea-Bissau,238
Guyana,125
Haiti,210
Honduras,81
Hungary,60
Iceland,95
India,94
Indonesia,99
International,302
Iran,31
Iraq,67
Ireland,54
Israel,42
Italy,30
Jamaica,137
Japan,120
Jordan,167
Kazakhstan,77
Kenya,153
Kosovo,71
Kuwait,42
Kyrgyzstan,85
Laos,300
Latvia,106
Lebanon,90
Lesotho,251
Liberia,242
Libya,134
Liechtenstein,203
Lithuania,101
Luxembourg,54
Madagascar,220
Malawi,260
Malaysia,154
Maldives,72
Mali,258
Malta,79
Marshall Islands,300
Mauritania,167
Mauritius,263
Mexico,56
Moldova,50
Monaco,167
Mongolia,276
Montenegro,112
Morocco,73
Mozambique,223
Myanmar,216
Namibia,148
Nepal,117
Netherlands,39
New Zealand,247
Nicaragua,271
Niger,288
Nigeria,239
North Macedonia,49
Norway,66
Oman,87
Pakistan,105
Palestine,103
Panama,52
Paraguay,105
Peru,68
Philippines,68
Poland,45
Portugal,42
Qatar,43
Romania,43
Russia,48
Rwanda,242
Saint Kitts and Nevis,288
Saint Lucia,245
Saint Vincent and the Grenadines,265
Samoa,300
San Marino,193
Sao Tome and Principe,194
Saudi Arabia,54
Senegal,153
Serbia,53
Seychelles,265
Sierra Leone,242
Slovakia,119
Slovenia,78
Solomon Islands,297
Somalia,245
South Africa,56
South Korea,193
South Sudan,268
Spain,80
Sri Lanka,212
Sudan,234
Suriname,139
Sweden,79
Switzerland,75
Syria,230
Taiwan,277
Tajikistan,138
Tanzania,298
Timor,296
Togo,233
Trinidad and Tobago,171
Tunisia,177
Turkey,53
Uganda,233
Ukraine,60
United Arab Emirates,47
United Kingdom,33
United States,40
Uruguay,124
Uzbekistan,104
Vanuatu,301
Vatican,290
Venezuela,114
Yemen,293
Zambia,210
Zimbabwe,233
Thailand,272
Vietnam,299
China,264
Singapore,78
Hong Kong,70
