Nation,Similarity Score
Afghanistan,86
Albania,81
Algeria,85
Andorra,111
Angola,174
Antigua and Barbuda,160
Argentina,58
Armenia,58
Australia,118
Austria,51
Azerbaijan,62
Bahamas,129
Bahrain,41
Bangladesh,78
Barbados,159
Belarus,64
Belgium,54
Belize,155
Benin,148
Bhutan,155
Bolivia,87
Bosnia and Herzegovina,79
Botswana,156
Brazil,62
Brunei,162
Bulgaria,56
Burkina Faso,172
Burundi,166
Cambodia,167
Cameroon,130
Canada,56
Cape Verde,83
Central African Republic,110
Chad,155
Chile,65
Colombia,67
Comoros,147
Congo,144
Costa Rica,78
Cote d'Ivoire,105
Croatia,67
Cuba,140
Cyprus,102
Czechia,50
Democratic Republic of Congo,153
Denmark,61
Djibouti,86
Dominica,169
Dominican Republic,79
Ecuador,91
Egypt,79
El Salvador,85
Equatorial Guinea,152
Eritrea,161
Estonia,91
Eswatini,105
Ethiopia,165
Fiji,172
Finland,96
France,37
Gabon,108
Gambia,168
Georgia,119
Germany,60
Ghana,98
Greece,116
Grenada,165
Guatemala,107
Guinea,110
Guinea-Bissau,130
Guyana,140
Haiti,116
Honduras,93
Hungary,64
Iceland,105
India,121
Indonesia,107
International,171
Iran,51
Iraq,87
Ireland,73
Israel,48
Italy,38
Jamaica,143
Japan,120
Jordan,155
Kazakhstan,92
Kenya,131
Kosovo,89
Kuwait,50
Kyrgyzstan,95
Laos,171
Latvia,94
Lebanon,109
Lesotho,164
Liberia,132
Libya,127
Liechtenstein,159
Lithuania,119
Luxembourg,47
Madagascar,133
Malawi,151
Malaysia,138
Maldives,71
Mali,143
Malta,96
Marshall Islands,173
Mauritania,107
Mauritius,164
Mexico,89
Moldova,58
Monaco,152
Mongolia,162
Montenegro,118
Morocco,102
Mozambique,167
Myanmar,184
Namibia,156
Nepal,114
Netherlands,52
New Zealand,153
Nicaragua,162
Niger,168
Nigeria,126
North Macedonia,66
Norway,79
Oman,62
Pakistan,89
Palestine,117
Panama,59
Papua New Guinea,171
Paraguay,115
Peru,67
Philippines,101
Poland,53
Portugal,45
Qatar,62
Romania,60
Russia,65
Rwanda,153
Saint Kitts and Nevis,166
Saint Lucia,173
Saint Vincent and the Grenadines,160
Samoa,172
San Marino,105
Sao Tome and Principe,115
Saudi Arabia,70
Senegal,87
Serbia,60
Seychelles,167
Sierra Leone,128
Slovakia,126
Slovenia,83
Solomon Islands,169
Somalia,129
South Africa,102
South Korea,147
South Sudan,149
Spain,50
Sri Lanka,148
Sudan,120
Suriname,142
Sweden,49
Switzerland,68
Syria,171
Taiwan,161
Tajikistan,101
Tanzania,167
Timor,169
Togo,154
Tunisia,152
Turkey,88
Uganda,172
Ukraine,81
United Arab Emirates,67
United Kingdom,44
United States,44
Uruguay,140
Uzbekistan,103
Vanuatu,171
Vatican,164
Venezuela,125
Yemen,163
Zambia,154
Zimbabwe,149
Thailand,165
Vietnam,166
China,131
Singapore,33
Hong Kong,9
