country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,5,6.705,1.37,0
Albania,4,2.085,0.78,0
Algeria,0,4.31,1.12,0
Andorra,1,25.885,0.51,0
Angola,0,0,0,0
Antigua and Barbuda,8,0,0,0
Argentina,4,3.651,1.32,0
Armenia,7,49.27,1.34,0
Australia,0,0.824,0.76,0
Austria,1,6.551,0.8,8.772
Azerbaijan,3,14.104,1.54,0
Bahamas,8,0,0,0
Bahrain,9,193.937,1.28,0
Bangladesh,4,3.862,1.3,0
Barbados,5,3.48,0,0
Belarus,7,100.642,1.16,0
Belgium,6,50.476,0.73,40.985
Belize,0,0,0,0
Benin,0,3.464,0.97,0
Bhutan,5,0,0,0
Bolivia,3,14.649,1.44,0
Bosnia and Herzegovina,4,6.096,1.16,0
Botswana,5,0,0,0
Brazil,6,43.127,1.41,0
Brunei,1,0,0.02,0
Bulgaria,1,7.052,0.97,7.052
Burkina Faso,0,0.191,0.95,0
Burundi,8,0,0,0
Cambodia,1,0,0.03,0
Cameroon,1,0.264,1.24,0
Canada,3,32.96,0.91,0
Cape Verde,3,10.792,1.08,0
Central African Republic,0,0,0.82,0
Chad,4,3.775,0.96,0
Chile,9,180.894,1.49,0
China,1,0.01,0.67,0
Colombia,5,8.726,1.34,0
Comoros,8,3.45,0,0
Congo,4,0,0.81,0
Costa Rica,0,1.374,1.1,0
Cote d'Ivoire,0,2.464,1.18,0
Croatia,4,3.654,0.93,0
Cuba,5,1.148,0.6,0
Cyprus,4,1.142,0.63,0
Czechia,1,1.681,0.78,3.642
Democratic Republic of Congo,5,0,1.14,0
Denmark,3,17.437,0.85,6.733
Djibouti,6,54.656,1.29,0
Dominica,0,0,0,0
Dominican Republic,6,46.645,1.16,0
Ecuador,3,14.34,0.87,0
Egypt,5,4.769,1.3,0
El Salvador,4,6.475,1.2,0
Equatorial Guinea,8,0,0.58,0
Eritrea,4,0,0,0
Estonia,0,6.031,0.7,4.523
Eswatini,5,3.448,0.85,0
Ethiopia,5,0.139,2,0
Fiji,4,0,0,0
Finland,1,25.628,0.85,8.122
France,5,8.886,0.93,42.345
Gabon,3,18.421,1.15,0
Gambia,5,0,0,0
Georgia,4,0.752,0.66,0
Germany,0,8.784,0.7,0
Ghana,1,8.078,1.35,0
Greece,0,1.823,0.84,0
Grenada,8,0,0,0
Guatemala,4,3.74,1.37,0
Guinea,5,2.513,1.12,0
Guinea-Bissau,8,23.882,0.86,0
Guyana,5,0,0,0
Haiti,4,0.438,1.4,0
Honduras,4,5.957,1.36,0
Hungary,0,3.623,0.72,0
Iceland,1,0,0.21,0
India,5,2.256,1.36,0
Indonesia,0,1.949,1.15,0
International,8,0,0,0
Iran,1,18.204,1.17,0
Iraq,5,1.889,1.2,0
Ireland,6,44.352,0.66,14.581
Israel,0,2.195,0.35,0
Italy,1,17.912,0.66,17.102
Jamaica,5,0,0.75,0
Japan,1,0.909,0.48,0
Jordan,5,1.372,1.36,0
Kazakhstan,4,7.509,1.16,0
Kenya,4,0.521,1.31,0
Kosovo,4,0.517,0.87,0
Kuwait,9,97.177,1.66,0
Kyrgyzstan,5,3.832,1.17,0
Laos,5,0,0,0
Latvia,0,1.06,0.89,0
Lebanon,0,1.905,1.24,0
Lesotho,1,0,0,0
Liberia,5,0,0.96,0
Libya,4,0,0,0
Liechtenstein,8,0,0,0
Lithuania,0,2.939,0.84,0
Luxembourg,1,9.585,0.63,22.365
Madagascar,0,0,1.64,0
Malawi,1,0.68,0,0
Malaysia,0,1.668,0.87,0
Maldives,7,85.1,1.23,0
Mali,0,1.185,1.07,0
Malta,8,2.265,1.08,0
Marshall Islands,8,0,0,0
Mauritania,0,0,0,0
Mauritius,5,0,0.12,0
Mexico,3,15.031,1.33,0
Moldova,6,34.457,1.09,0
Monaco,3,25.482,0,0
Mongolia,0,0,0,0
Montenegro,8,0,0.07,0
Morocco,4,5.391,0.99,0
Mozambique,1,0.16,0,0
Myanmar,5,0.018,0.51,0
Namibia,0,0,0,0
Nepal,4,0.275,1.64,0
Netherlands,3,16.866,0.66,27.488
New Zealand,5,0.415,0.39,0
Nicaragua,8,0,0,0
Niger,1,0.826,0.85,0
Nigeria,5,1.159,1.35,0
North Macedonia,8,17.28,1,0
Norway,0,5.349,0.66,0
Oman,3,21.932,1.27,0
Pakistan,4,7.234,1.33,0
Palestine,4,0,0.29,0
Panama,6,49.134,1.02,0
Papua New Guinea,1,0,0,0
