country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,4,19.472,1.13,0
Albania,5,6.95,1.19,0
Algeria,2,2.44,0.75,0
Andorra,0,90.597,0.44,0
Angola,2,0,0,0
Antigua and Barbuda,1,0,0,0
Argentina,4,20.998,1.32,0
Armenia,3,173.797,1.27,0
Australia,9,0.431,0.9,0
Austria,9,1.332,0.88,2.332
Azerbaijan,4,32.054,1.43,0
Bahamas,1,0,0.05,0
Bahrain,8,296.195,1.18,0
Bangladesh,5,16.364,1.3,0
Barbados,2,0,0,0
Belarus,0,91.118,0.95,0
Belgium,5,6.04,0.71,12.511
Belize,2,0,0,0
Benin,7,0,0.97,0
Bhutan,2,0,0,0
Bolivia,0,55.427,1.29,0
Bosnia and Herzegovina,9,4.877,1.17,0
Botswana,9,0,0,0
Brazil,3,134.706,1.23,0
Brunei,9,0,0,0
Bulgaria,7,3.166,1.23,1.295
Burkina Faso,7,0.144,0.94,0
Burundi,1,0,0,0
Cambodia,7,0,0.05,0
Cameroon,9,0,1.16,0
Canada,4,18.043,0.79,0
Cape Verde,4,19.785,1.1,0
Central African Republic,4,21.533,1.01,0
Chad,5,1.035,0.79,0
Chile,8,258.524,1.19,0
China,2,-0.001,1.26,0
Colombia,4,29.892,1.27,0
Comoros,1,0,0.71,0
Congo,5,0,0.79,0
Costa Rica,5,10.208,1.46,0
Cote d'Ivoire,5,3.26,1.23,0
Croatia,9,0,0.26,0
Cuba,6,1.324,1.08,0
Cyprus,2,6.85,1,0
Czechia,7,6.91,1.03,0.934
Democratic Republic of Congo,2,1.887,1.11,0
Denmark,9,6.388,0.86,3.453
Djibouti,3,157.894,1.04,0
Dominica,5,0,0,0
Dominican Republic,4,26.549,1.08,0
Ecuador,4,31.287,1.1,0
Egypt,2,10.544,1.26,0
El Salvador,6,8.017,1.16,0
Equatorial Guinea,1,0,0.39,0
Eritrea,6,0,0,0
Estonia,7,7.538,1.05,0.754
Eswatini,2,0.862,1.22,0
Ethiopia,2,1.235,1.6,0
Fiji,2,0,0,0
Finland,7,4.332,0.71,1.263
France,5,5.393,1.11,18.062
Gabon,4,44.48,1.11,0
Gambia,2,0.414,0,0
Georgia,5,1.003,0.89,0
Germany,9,2.888,0.81,0
Ghana,9,8.078,1.23,0
Greece,9,0,1.15,0
Grenada,1,0,0,0
Guatemala,6,9.712,1.29,0
Guinea,2,3.579,1.1,0
Guinea-Bissau,1,0,0.8,0
Guyana,2,0,0.59,0
Haiti,4,24.644,1.28,0
Honduras,6,16.457,1.27,0
Hungary,9,1.035,0.72,0
Iceland,7,0,0.42,0
India,5,6.98,1.25,0
Indonesia,5,2.501,1.12,0
International,1,0,0,0
Iran,0,37.313,1.3,0
Iraq,6,19.417,1.9,0
Ireland,2,9.113,0.53,7.493
Israel,5,11.207,1.73,0
Italy,7,5.309,0.65,5.838
Jamaica,2,0.338,0.9,0
Japan,7,0.237,0.91,0
Jordan,2,0.196,1.14,0
Kazakhstan,4,26.416,1.1,0
Kenya,2,2.287,1.33,0
Kosovo,5,6.726,1.37,0
Kuwait,3,166.254,0.89,0
Kyrgyzstan,2,3.985,1.2,0
Laos,7,0,0,0
Latvia,9,4.241,0.83,0
Lebanon,5,2.051,1.14,0
Lesotho,9,0.934,0,0
Liberia,2,0.989,1.03,0
Libya,6,2.037,1.22,0
Liechtenstein,1,0,0,0
Lithuania,9,0.735,0.85,0
Luxembourg,7,6.39,0.84,4.793
Madagascar,5,2.275,1.28,0
Malawi,9,0.575,1.27,0
Malaysia,5,2.873,1.03,0
Maldives,1,16.65,0.98,0
Mali,9,1.728,1.06,0
Malta,1,4.53,0.63,0
Marshall Islands,1,0,0,0
Mauritania,4,16.56,1.47,0
Mauritius,5,0,0.05,0
Mexico,4,30.341,1.19,0
Moldova,0,61.23,1.17,0
Monaco,1,0,0,0
Mongolia,5,0,0.57,0
Montenegro,1,0,0.02,0
Morocco,6,1.517,0.98,0
Mozambique,9,0.288,1.13,0
Myanmar,2,0.018,0.75,0
Namibia,9,0,0,0
Nepal,6,6.898,1.71,0
Netherlands,5,5.077,0.91,7.762
New Zealand,7,0,0.12,0
Nicaragua,1,0,0.23,0
Niger,7,0.041,0.7,0
Nigeria,2,1.683,1.17,0
North Macedonia,1,48.479,1.7,0
Norway,7,4.058,0.95,0
Oman,3,144.518,1.24,0
Pakistan,4,21.735,1.33,0
Palestine,2,1.176,1.17,0
Panama,3,119.126,1.3,0
Papua New Guinea,9,0,0,0
Paraguay,2,7.992,1.26,0
Peru,4,22.716,1.12,0
Philippines,2,6.853,1.27,0
Poland,9,7.715,1.02,0
Portugal,4,35.894,1.11,5.492
Qatar,8,659.827,1.02,0
Romania,9,7.901,0.99,8.421
Russia,0,58.444,0.98,0
Rwanda,2,1.004,1.4,0
Saint Kitts and Nevis,1,0,0,0
Saint Lucia,1,0,0,0
Saint Vincent and the Grenadines,1,0,0,0
Samoa,1,0,0,0
San Marino,0,58.931,0.61,0
Sao Tome and Principe,1,0,0.44,0
