Nation,Similarity Score
Afghanistan,85
Albania,53
Algeria,86
Andorra,58
Angola,40
Antigua and Barbuda,56
Armenia,49
Australia,60
Austria,58
Azerbaijan,27
Bahamas,52
Belarus,71
Belgium,17
Belize,73
Benin,99
Bosnia and Herzegovina,31
Brazil,19
Bulgaria,67
Burkina Faso,175
Burundi,39
Cambodia,126
Cameroon,121
Canada,62
Cape Verde,39
Central African Republic,135
Chad,88
Chile,51
Comoros,56
Congo,77
Costa Rica,67
Croatia,37
Cuba,42
Cyprus,63
Czechia,21
Democratic Republic of Congo,147
Denmark,68
Djibouti,88
Dominica,188
Dominican Republic,45
Ecuador,6
Egypt,111
Equatorial Guinea,56
Eritrea,56
Estonia,103
Eswatini,43
Ethiopia,66
Finland,72
France,20
Gambia,94
Georgia,35
Germany,48
Ghana,100
Greece,97
Grenada,56
Guatemala,10
Guinea,85
Guinea-Bissau,56
Guyana,22
Haiti,101
Honduras,40
Hungary,107
India,18
International,56
Iran,36
Iraq,33
Ireland,24
Israel,24
Italy,36
Jamaica,62
Japan,99
Jordan,59
Kazakhstan,15
Kenya,39
Kosovo,50
Kyrgyzstan,15
Laos,166
Latvia,95
Lebanon,81
Lesotho,87
Liberia,52
Libya,21
Liechtenstein,49
Lithuania,114
Luxembourg,48
Madagascar,129
Malawi,69
Maldives,48
Mali,130
Malta,44
Marshall Islands,56
Mauritania,127
Mauritius,144
Mexico,63
Moldova,8
Monaco,33
Montenegro,48
Morocco,71
Mozambique,35
Myanmar,53
Namibia,120
Netherlands,61
Nicaragua,58
Niger,110
North Macedonia,49
Norway,68
Pakistan,66
Palestine,33
Papua New Guinea,83
Peru,42
Philippines,5
Portugal,6
Qatar,13
Romania,28
Russia,18
Saint Kitts and Nevis,56
Saint Lucia,54
Saint Vincent and the Grenadines,56
Samoa,56
San Marino,114
Sao Tome and Principe,55
Saudi Arabia,11
Senegal,191
Serbia,20
Seychelles,113
Sierra Leone,188
Slovakia,96
Slovenia,67
Solomon Islands,101
Somalia,125
South Africa,57
South Korea,51
South Sudan,113
Spain,33
Sri Lanka,101
Sudan,79
Suriname,85
Sweden,55
Switzerland,49
Syria,102
Tanzania,83
Thailand,108
Timor,154
Togo,111
Trinidad and Tobago,53
Tunisia,78
Turkey,65
Uganda,12
Ukraine,47
United Arab Emirates,24
United States,13
Uruguay,132
Vanuatu,181
Vatican,55
Venezuela,75
Vietnam,66
Yemen,176
Zambia,60
Zimbabwe,36
Paraguay,5
Bangladesh,35
Botswana,50
Gabon,39
Nigeria,51
Tajikistan,123
United Kingdom,41
Barbados,113
Fiji,53
Nepal,5
New Zealand,92
Uzbekistan,66
Bahrain,8
Bhutan,54
Oman,21
Taiwan,86
El Salvador,7
Poland,60
Brunei,102
Colombia,15
Mongolia,88
Panama,2
Malaysia,44
Bolivia,25
China,13
Kuwait,9
Indonesia,66
Argentina,2
Rwanda,27
Singapore,15
Iceland,12
Hong Kong,9
