Nation,Similarity Score
Afghanistan,263
Albania,274
Algeria,272
Andorra,196
Angola,261
Antigua and Barbuda,243
Armenia,194
Australia,90
Austria,214
Azerbaijan,265
Bahamas,225
Belarus,241
Belgium,183
Belize,259
Benin,261
Bosnia and Herzegovina,234
Brazil,242
Bulgaria,236
Burkina Faso,270
Burundi,235
Cambodia,259
Cameroon,268
Cape Verde,240
Central African Republic,264
Chad,258
Chile,267
Comoros,244
Congo,266
Costa Rica,223
Cote d'Ivoire,273
Croatia,201
Cuba,225
Cyprus,186
Czechia,176
Democratic Republic of Congo,272
Denmark,220
Djibouti,266
Dominica,263
Dominican Republic,283
Ecuador,278
Egypt,269
Equatorial Guinea,242
Eritrea,269
Estonia,240
Eswatini,272
Ethiopia,260
Finland,214
Gambia,267
Georgia,201
Germany,241
Ghana,266
Greece,231
Grenada,244
Guinea,249
Guinea-Bissau,244
Haiti,274
Hungary,211
India,262
International,244
Iran,261
Iraq,265
Ireland,226
Israel,202
Jamaica,249
Jordan,241
Kazakhstan,266
Kosovo,268
Laos,263
Latvia,206
Lebanon,257
Lesotho,273
Liberia,260
Libya,251
Liechtenstein,208
Lithuania,183
Luxembourg,184
Madagascar,273
Malawi,262
Maldives,228
Mali,265
Malta,175
Marshall Islands,244
Mauritania,259
Mauritius,269
Mexico,272
Moldova,239
Monaco,230
Montenegro,186
Morocco,276
Mozambique,256
Myanmar,203
Namibia,268
Netherlands,235
Nicaragua,244
Niger,256
North Macedonia,214
Norway,225
Pakistan,259
Palestine,273
Papua New Guinea,245
Peru,256
Philippines,244
Portugal,210
Qatar,247
Romania,240
Russia,241
Saint Kitts and Nevis,244
Saint Lucia,244
Saint Vincent and the Grenadines,244
Samoa,244
San Marino,235
Sao Tome and Principe,241
Saudi Arabia,258
Senegal,274
Seychelles,242
Sierra Leone,266
Slovakia,202
Slovenia,194
Solomon Islands,241
Somalia,256
South Korea,187
South Sudan,272
Spain,196
Sri Lanka,245
Sudan,264
Suriname,276
Sweden,243
Switzerland,216
Syria,275
Tanzania,249
Thailand,120
Timor,248
Togo,267
Trinidad and Tobago,264
Tunisia,240
Turkey,250
Ukraine,271
United States,203
Uruguay,247
Vanuatu,265
Vatican,236
Venezuela,280
Vietnam,153
Yemen,249
Zambia,248
Zimbabwe,249
Canada,268
Guatemala,261
Guyana,252
Italy,160
Japan,224
Kenya,272
Kyrgyzstan,255
Serbia,247
South Africa,268
Uganda,229
United Arab Emirates,215
Gabon,247
Kuwait,226
Nigeria,245
Paraguay,256
Poland,216
Tajikistan,225
United Kingdom,191
Argentina,216
Bahrain,194
Bangladesh,246
Barbados,242
Bhutan,239
Botswana,238
Brunei,225
Colombia,235
El Salvador,245
Fiji,225
France,164
Iceland,166
Indonesia,227
Malaysia,179
Nepal,223
New Zealand,82
Oman,228
Panama,225
Rwanda,220
Singapore,158
Taiwan,137
Uzbekistan,253
Bolivia,235
China,225
Hong Kong,59
Mongolia,225
