Nation,Similarity Score
Afghanistan,258
Albania,272
Algeria,254
Andorra,197
Angola,242
Antigua and Barbuda,224
Armenia,186
Australia,100
Austria,225
Azerbaijan,261
Bahamas,230
Belarus,228
Belgium,210
Belize,266
Benin,242
Bosnia and Herzegovina,235
Brazil,225
Bulgaria,243
Burkina Faso,251
Burundi,216
Cambodia,242
Cameroon,249
Cape Verde,254
Central African Republic,245
Chad,239
Chile,225
Comoros,225
Congo,245
Costa Rica,235
Cote d'Ivoire,254
Croatia,207
Cuba,199
Cyprus,182
Czechia,214
Democratic Republic of Congo,253
Denmark,224
Djibouti,245
Dominica,246
Dominican Republic,235
Ecuador,242
Egypt,250
Equatorial Guinea,223
Eritrea,250
Estonia,224
Eswatini,237
Ethiopia,241
Finland,201
Gambia,244
Georgia,227
Germany,254
Ghana,247
Greece,236
Grenada,225
Guinea,230
Guinea-Bissau,225
Haiti,255
Honduras,257
Hungary,225
India,248
International,225
Iran,262
Iraq,261
Ireland,225
Israel,208
Jamaica,237
Jordan,257
Kazakhstan,219
Kosovo,241
Laos,244
Latvia,195
Lesotho,254
Liberia,241
Libya,257
Liechtenstein,210
Lithuania,184
Luxembourg,183
Madagascar,254
Malawi,242
Maldives,207
Mali,246
Malta,186
Marshall Islands,225
Mauritania,240
Mauritius,250
Mexico,242
Moldova,253
Monaco,253
Montenegro,196
Morocco,260
Mozambique,237
Myanmar,171
Namibia,253
Netherlands,271
Nicaragua,225
Niger,237
North Macedonia,217
Norway,216
Pakistan,254
Palestine,265
Papua New Guinea,226
Peru,233
Philippines,231
Portugal,224
Qatar,201
Romania,258
Russia,235
Saint Kitts and Nevis,225
Saint Lucia,225
Saint Vincent and the Grenadines,225
Samoa,225
San Marino,240
Sao Tome and Principe,222
Saudi Arabia,221
Senegal,255
Seychelles,218
Sierra Leone,247
Slovakia,222
Slovenia,203
Solomon Islands,222
Somalia,237
South Korea,179
South Sudan,253
Spain,216
Sri Lanka,225
Sudan,245
Suriname,241
Sweden,246
Switzerland,227
Syria,258
Tanzania,230
Thailand,109
Timor,229
Togo,245
Trinidad and Tobago,246
Tunisia,237
Turkey,237
Ukraine,279
United States,211
Uruguay,224
Vanuatu,246
Vatican,218
Venezuela,262
Vietnam,163
Yemen,230
Zambia,229
Zimbabwe,230
Canada,254
Guatemala,232
Guyana,242
Italy,174
Japan,219
Kenya,253
Kyrgyzstan,224
Serbia,245
South Africa,222
Uganda,205
United Arab Emirates,216
Gabon,226
Kuwait,228
Nigeria,226
Paraguay,262
Poland,221
Tajikistan,206
United Kingdom,208
Argentina,232
Bahrain,202
Bangladesh,228
Barbados,223
Bhutan,227
Botswana,228
Brunei,216
Colombia,235
El Salvador,220
Fiji,214
France,197
Iceland,187
Indonesia,222
Malaysia,163
Nepal,223
New Zealand,85
Oman,206
Panama,223
Rwanda,206
Singapore,169
Taiwan,127
Uzbekistan,234
Bolivia,204
China,220
Hong Kong,37
Mongolia,220
