Nation,Similarity Score
Argentina,152
Bahrain,162
Bangladesh,212
Barbados,199
Botswana,201
Brunei,213
Canada,193
Colombia,159
El Salvador,221
Fiji,218
France,136
Gabon,205
Guatemala,201
Guyana,185
Iceland,165
Indonesia,215
Italy,163
Japan,200
Kenya,193
Kuwait,157
Kyrgyzstan,202
Mongolia,213
Nepal,197
New Zealand,162
Nigeria,194
Oman,193
Panama,151
Paraguay,183
Poland,150
Rwanda,219
Serbia,175
South Africa,182
Tajikistan,176
Uganda,207
United Arab Emirates,166
United Kingdom,142
Uzbekistan,205
Bhutan,208
Bolivia,205
China,211
Czechia,151
Germany,194
Moldova,154
Monaco,186
Philippines,222
Singapore,153
Taiwan,190
Australia,111
Ecuador,191
India,205
Portugal,160
Papua New Guinea,200
Belgium,127
Croatia,150
Cuba,212
Finland,244
Georgia,172
Guinea,191
Sri Lanka,215
Sudan,194
Zimbabwe,189
Brazil,156
Kazakhstan,191
Liberia,188
Seychelles,196
Vietnam,164
Afghanistan,190
Albania,184
Algeria,187
Andorra,119
Angola,182
Antigua and Barbuda,158
Armenia,90
Austria,141
Azerbaijan,188
Bahamas,126
Belarus,158
Belize,159
Benin,176
Bosnia and Herzegovina,153
Bulgaria,155
Burkina Faso,183
Burundi,162
Cambodia,176
Cameroon,183
Cape Verde,153
Central African Republic,179
Chad,171
Chile,158
Comoros,159
Congo,179
Costa Rica,147
Cote d'Ivoire,186
Cyprus,184
Democratic Republic of Congo,185
Denmark,208
Djibouti,178
Dominica,176
Dominican Republic,176
Egypt,182
Equatorial Guinea,158
Eritrea,182
Estonia,197
Eswatini,183
Ethiopia,178
Gambia,182
Ghana,182
Greece,195
Grenada,159
Guinea-Bissau,159
Haiti,187
Honduras,179
Hungary,147
International,159
Iran,187
Iraq,177
Ireland,184
Israel,174
Jamaica,219
Jordan,148
Kosovo,170
Laos,176
Latvia,201
Lebanon,163
Lesotho,186
Libya,162
Liechtenstein,115
Lithuania,160
Luxembourg,124
Madagascar,186
Malawi,179
Maldives,132
Mali,180
Malta,150
Marshall Islands,159
Mauritania,184
Mauritius,182
Mexico,180
Montenegro,80
Morocco,188
Mozambique,177
Myanmar,195
Namibia,181
Netherlands,139
Nicaragua,159
Niger,171
North Macedonia,115
Norway,222
Pakistan,204
Palestine,172
Peru,152
Qatar,178
Romania,161
Russia,180
Saint Kitts and Nevis,159
Saint Lucia,159
Saint Vincent and the Grenadines,159
Samoa,159
San Marino,164
Sao Tome and Principe,157
Saudi Arabia,198
Senegal,189
Sierra Leone,179
Slovakia,139
Slovenia,128
Solomon Islands,166
Somalia,171
South Korea,198
South Sudan,183
Spain,140
Suriname,176
Sweden,156
Switzerland,158
Syria,190
Tanzania,164
Thailand,163
Timor,184
Togo,185
Trinidad and Tobago,191
Tunisia,175
Turkey,207
Ukraine,168
United States,112
Uruguay,186
Vanuatu,178
Vatican,151
Venezuela,193
Yemen,164
Zambia,174
Hong Kong,56
