Nation,Similarity Score
Afghanistan,285
Albania,263
Algeria,288
Andorra,218
Angola,289
Antigua and Barbuda,307
Armenia,207
Australia,109
Austria,206
Azerbaijan,264
Bahamas,248
Belarus,270
Belgium,169
Belize,249
Benin,301
Bosnia and Herzegovina,197
Brazil,186
Bulgaria,233
Burkina Faso,292
Burundi,299
Cambodia,301
Cameroon,294
Cape Verde,216
Central African Republic,298
Chad,300
Chile,213
Comoros,308
Congo,294
Costa Rica,180
Cote d'Ivoire,289
Croatia,182
Cuba,233
Cyprus,175
Czechia,165
Democratic Republic of Congo,290
Denmark,207
Djibouti,286
Dominica,293
Dominican Republic,241
Ecuador,250
Egypt,293
Equatorial Guinea,304
Eritrea,293
Estonia,238
Eswatini,270
Ethiopia,287
Finland,202
Gambia,279
Georgia,196
Germany,246
Ghana,288
Greece,231
Grenada,308
Guinea,277
Guinea-Bissau,308
Haiti,288
Honduras,249
Hungary,197
India,248
International,308
Iran,278
Iraq,221
Ireland,218
Israel,149
Jamaica,247
Jordan,244
Kazakhstan,237
Kosovo,227
Laos,299
Latvia,196
Lebanon,230
Lesotho,289
Liberia,280
Libya,241
Liechtenstein,257
Lithuania,179
Luxembourg,169
Madagascar,289
Malawi,296
Maldives,238
Mali,297
Malta,186
Marshall Islands,308
Mauritania,277
Mauritius,293
Mexico,268
Moldova,191
Monaco,237
Montenegro,200
Morocco,264
Mozambique,296
Myanmar,217
Namibia,268
Netherlands,229
Nicaragua,308
Niger,306
North Macedonia,246
Norway,219
Pakistan,269
Palestine,230
Papua New Guinea,271
Peru,202
Philippines,244
Portugal,197
Qatar,187
Romania,213
Russia,242
Saint Kitts and Nevis,308
Saint Lucia,308
Saint Vincent and the Grenadines,308
Samoa,308
San Marino,244
Sao Tome and Principe,305
Saudi Arabia,239
Senegal,288
Seychelles,270
Sierra Leone,296
Slovakia,199
Slovenia,192
Solomon Islands,305
Somalia,306
South Korea,196
South Sudan,290
Spain,191
Sri Lanka,247
Sudan,274
Suriname,252
Sweden,253
Switzerland,217
Syria,285
Thailand,108
Timor,284
Togo,285
Trinidad and Tobago,254
Tunisia,239
Turkey,253
Ukraine,252
United States,145
Uruguay,256
Vanuatu,297
Vatican,299
Venezuela,280
Vietnam,159
Yemen,309
Zambia,290
Zimbabwe,273
Canada,265
Guatemala,243
Guyana,264
Italy,156
Japan,270
Kenya,282
Kyrgyzstan,235
Serbia,244
South Africa,238
Uganda,253
United Arab Emirates,211
Gabon,257
Kuwait,162
Nigeria,273
Paraguay,232
Poland,217
Tajikistan,287
United Kingdom,197
Argentina,165
Bahrain,135
Bangladesh,254
Barbados,268
Bhutan,261
Botswana,256
Brunei,263
Colombia,182
El Salvador,234
Fiji,236
France,158
Iceland,163
Indonesia,257
Malaysia,164
Nepal,227
New Zealand,71
Oman,196
Panama,166
Rwanda,229
Singapore,177
Taiwan,158
Uzbekistan,263
Bolivia,189
China,247
Hong Kong,69
Mongolia,247
