Nation,Similarity Score
Afghanistan,307
Albania,236
Algeria,307
Andorra,189
Angola,307
Antigua and Barbuda,300
Argentina,159
Armenia,114
Australia,304
Austria,203
Azerbaijan,252
Bahamas,219
Bahrain,100
Bangladesh,306
Barbados,304
Belarus,217
Belgium,148
Belize,236
Benin,307
Bhutan,306
Bolivia,209
Bosnia and Herzegovina,177
Botswana,285
Brazil,146
Brunei,302
Bulgaria,252
Burkina Faso,307
Burundi,307
Cambodia,307
Cameroon,304
Canada,260
Cape Verde,174
Central African Republic,302
Chad,307
Chile,145
China,280
Colombia,165
Comoros,303
Congo,305
Costa Rica,179
Cote d'Ivoire,307
Croatia,217
Cuba,307
Cyprus,265
Czechia,209
Democratic Republic of Congo,307
Denmark,228
Djibouti,266
Dominica,305
Dominican Republic,205
Ecuador,211
Egypt,307
El Salvador,267
Equatorial Guinea,291
Eritrea,307
Estonia,270
Eswatini,260
Ethiopia,307
Fiji,307
Finland,296
France,182
Gabon,265
Gambia,291
Georgia,240
Germany,249
Ghana,299
Greece,282
Grenada,304
Guatemala,254
Guinea,307
Guinea-Bissau,299
Guyana,271
Haiti,307
Honduras,211
Hungary,233
Iceland,221
India,251
Indonesia,307
International,307
Iran,258
Iraq,200
Ireland,218
Israel,159
Italy,188
Jamaica,291
Japan,300
Jordan,246
Kazakhstan,254
Kenya,307
Kosovo,207
Kuwait,107
Kyrgyzstan,263
Laos,307
Latvia,286
Lebanon,200
Lesotho,303
Liberia,307
Libya,231
Liechtenstein,242
Lithuania,266
Luxembourg,148
Madagascar,307
Malawi,307
Malaysia,302
Maldives,167
Mali,307
Malta,175
Marshall Islands,307
Mauritania,298
Mauritius,307
Mexico,240
Moldova,130
Monaco,232
Mongolia,307
Montenegro,158
Morocco,264
Mozambique,307
Myanmar,307
Namibia,266
Nepal,282
Netherlands,167
New Zealand,307
Nicaragua,296
Niger,307
Nigeria,307
North Macedonia,145
Norway,273
Oman,176
Pakistan,304
Palestine,201
Panama,101
Papua New Guinea,307
Paraguay,240
Peru,142
Philippines,296
Poland,254
Portugal,170
Qatar,125
Romania,181
Russia,181
Rwanda,307
Saint Kitts and Nevis,304
Saint Lucia,307
Samoa,307
San Marino,214
Sao Tome and Principe,290
Saudi Arabia,198
Senegal,307
Serbia,217
Seychelles,296
Sierra Leone,307
Singapore,191
Slovakia,248
Slovenia,231
Solomon Islands,307
Somalia,307
South Africa,230
South Korea,282
South Sudan,307
Spain,165
Sri Lanka,307
Sudan,307
Suriname,241
Sweden,176
Switzerland,206
Syria,307
Taiwan,300
Tajikistan,306
Tanzania,307
Thailand,305
Timor,307
Togo,307
Trinidad and Tobago,274
Tunisia,281
Turkey,276
Uganda,307
Ukraine,220
United Arab Emirates,144
United Kingdom,179
United States,64
Uruguay,307
Uzbekistan,307
Vanuatu,307
Vatican,295
Venezuela,292
Vietnam,305
Yemen,307
Zambia,306
Zimbabwe,307
Hong Kong,70
