Nation,Similarity Score
Afghanistan,263
Albania,246
Algeria,263
Andorra,166
Angola,263
Antigua and Barbuda,260
Argentina,178
Armenia,137
Australia,260
Austria,162
Azerbaijan,234
Bahamas,221
Bahrain,100
Bangladesh,262
Barbados,262
Belarus,174
Belgium,145
Belize,227
Benin,263
Bhutan,264
Bolivia,238
Bosnia and Herzegovina,202
Botswana,257
Brazil,150
Brunei,256
Bulgaria,225
Burkina Faso,263
Burundi,263
Cambodia,263
Cameroon,262
Canada,219
Cape Verde,210
Central African Republic,260
Chad,263
Chile,177
China,236
Colombia,177
Comoros,259
Congo,264
Costa Rica,203
Cote d'Ivoire,263
Croatia,196
Cuba,263
Cyprus,214
Czechia,167
Democratic Republic of Congo,263
Denmark,179
Djibouti,233
Dominica,259
Dominican Republic,232
Ecuador,239
Egypt,263
El Salvador,284
Equatorial Guinea,251
Eritrea,263
Estonia,225
Ethiopia,263
Fiji,263
Finland,242
France,150
Gabon,241
Gambia,273
Georgia,194
Germany,198
Ghana,265
Greece,238
Grenada,262
Guatemala,274
Guinea,263
Guinea-Bissau,256
Guyana,250
Haiti,263
Honduras,249
Hungary,194
Iceland,180
India,263
Indonesia,263
International,263
Iran,214
Iraq,239
Ireland,177
Israel,174
Italy,143
Jamaica,248
Japan,260
Jordan,202
Kazakhstan,275
Kenya,263
Kosovo,242
Kuwait,116
Kyrgyzstan,265
Laos,263
Latvia,237
Lebanon,196
Lesotho,266
Liberia,263
Libya,226
Liechtenstein,199
Lithuania,217
Luxembourg,166
Madagascar,263
Malawi,263
Malaysia,259
Maldives,173
Mali,263
Malta,177
Marshall Islands,263
Mauritania,255
Mauritius,260
Mexico,275
Moldova,160
Monaco,217
Mongolia,263
Montenegro,179
Morocco,246
Mozambique,263
Myanmar,263
Namibia,273
Nepal,246
Netherlands,139
New Zealand,263
Nicaragua,262
Niger,263
Nigeria,263
North Macedonia,187
Norway,224
Oman,178
Pakistan,262
Palestine,231
Panama,103
Papua New Guinea,263
Paraguay,233
Peru,148
Philippines,270
Poland,210
Portugal,143
Qatar,152
Romania,204
Russia,185
Rwanda,263
Saint Kitts and Nevis,258
Saint Lucia,260
Saint Vincent and the Grenadines,259
Samoa,263
San Marino,174
Sao Tome and Principe,248
Saudi Arabia,220
Senegal,263
Serbia,217
Seychelles,259
Sierra Leone,263
Singapore,182
Slovakia,205
Slovenia,183
Solomon Islands,263
Somalia,263
South Africa,247
South Korea,242
South Sudan,263
Spain,152
Sri Lanka,263
Sudan,263
Suriname,267
Sweden,146
Switzerland,171
Syria,263
Taiwan,260
Tajikistan,262
Tanzania,263
Thailand,262
Timor,263
Togo,263
Trinidad and Tobago,254
Tunisia,238
Turkey,230
Uganda,263
Ukraine,200
United Arab Emirates,140
United Kingdom,135
United States,71
Uruguay,263
Uzbekistan,263
Vanuatu,263
Vatican,251
Venezuela,272
Vietnam,262
Yemen,263
Zambia,264
Zimbabwe,263
Hong Kong,67
