Nation,Similarity Score
Afghanistan,120
Albania,168
Algeria,120
Andorra,97
Angola,120
Antigua and Barbuda,124
Argentina,189
Armenia,187
Australia,117
Austria,132
Azerbaijan,164
Bahamas,163
Bahrain,123
Bangladesh,121
Barbados,121
Belarus,154
Belgium,144
Belize,168
Benin,120
Bhutan,121
Bolivia,191
Bosnia and Herzegovina,211
Botswana,131
Brazil,185
Brunei,113
Bulgaria,148
Burkina Faso,120
Burundi,120
Cambodia,120
Cameroon,123
Canada,140
Cape Verde,215
Central African Republic,124
Chad,120
Chile,170
China,93
Colombia,192
Comoros,122
Congo,121
Costa Rica,184
Cote d'Ivoire,120
Croatia,148
Cuba,120
Cyprus,146
Czechia,141
Democratic Republic of Congo,120
Denmark,148
Djibouti,129
Dominica,120
Dominican Republic,194
Ecuador,191
Egypt,120
El Salvador,154
Equatorial Guinea,123
Eritrea,120
Estonia,135
Eswatini,160
Ethiopia,120
Fiji,120
Finland,125
France,139
Gabon,142
Gambia,133
Georgia,128
Germany,131
Ghana,126
Greece,141
Grenada,121
Guatemala,165
Guinea,120
Guinea-Bissau,124
Guyana,142
Haiti,120
Honduras,188
Hungary,150
Iceland,113
India,161
Indonesia,120
International,120
Iran,117
Iraq,196
Ireland,123
Israel,156
Italy,101
Jamaica,133
Japan,117
Jordan,145
Kazakhstan,153
Kenya,120
Kosovo,187
Kuwait,172
Kyrgyzstan,154
Laos,120
Latvia,142
Lebanon,191
Lesotho,124
Liberia,120
Libya,168
Liechtenstein,122
Lithuania,128
Luxembourg,140
Madagascar,120
Malawi,120
Malaysia,116
Maldives,164
Mali,120
Malta,177
Marshall Islands,120
Mauritania,129
Mauritius,123
Mexico,173
Monaco,145
Mongolia,120
Montenegro,168
Morocco,151
Mozambique,120
Myanmar,120
Namibia,154
Nepal,134
Netherlands,148
New Zealand,120
Nicaragua,131
Niger,120
Nigeria,120
North Macedonia,224
Norway,99
Oman,150
Pakistan,123
Palestine,205
Panama,183
Papua New Guinea,120
Paraguay,166
Peru,161
Philippines,129
Poland,137
Portugal,166
Qatar,141
Romania,209
Russia,188
Rwanda,120
Saint Kitts and Nevis,119
Saint Lucia,117
Saint Vincent and the Grenadines,122
Samoa,120
San Marino,94
Sao Tome and Principe,130
Saudi Arabia,180
Senegal,120
Serbia,168
Seychelles,125
Sierra Leone,120
Singapore,125
Slovakia,155
Slovenia,122
Solomon Islands,120
Somalia,120
South Africa,155
South Korea,99
South Sudan,120
Spain,120
Sri Lanka,120
Sudan,120
Suriname,153
Sweden,164
Switzerland,107
Syria,120
Taiwan,117
Tajikistan,121
Tanzania,120
Thailand,119
Timor,120
Togo,120
Trinidad and Tobago,142
Tunisia,135
Turkey,135
Uganda,120
Ukraine,184
United Arab Emirates,201
United Kingdom,149
United States,173
Uruguay,120
Uzbekistan,120
Vanuatu,120
Vatican,111
Venezuela,132
Vietnam,119
Yemen,120
Zambia,121
Zimbabwe,120
Hong Kong,18
