Nation,Similarity Score
Afghanistan,236
Albania,213
Algeria,236
Andorra,179
Angola,236
Antigua and Barbuda,238
Argentina,161
Armenia,124
Australia,233
Austria,212
Azerbaijan,194
Bahamas,205
Bahrain,84
Bangladesh,235
Barbados,235
Belarus,154
Belgium,175
Belize,214
Benin,236
Bhutan,235
Bolivia,172
Bosnia and Herzegovina,195
Botswana,234
Brazil,121
Brunei,229
Bulgaria,220
Burkina Faso,236
Burundi,236
Cambodia,236
Cameroon,233
Canada,210
Cape Verde,173
Central African Republic,231
Chad,236
Chile,135
China,209
Colombia,158
Comoros,232
Congo,233
Costa Rica,175
Cote d'Ivoire,236
Croatia,205
Cuba,236
Cyprus,229
Czechia,198
Democratic Republic of Congo,236
Denmark,202
Djibouti,201
Dominica,237
Dominican Republic,169
Ecuador,190
Egypt,236
El Salvador,218
Equatorial Guinea,221
Eritrea,236
Estonia,222
Eswatini,217
Ethiopia,236
Fiji,236
Finland,226
France,189
Gabon,194
Gambia,233
Georgia,212
Germany,224
Ghana,232
Greece,232
Grenada,236
Guatemala,213
Guinea,236
Guinea-Bissau,229
Guyana,218
Haiti,236
Honduras,179
Hungary,224
Iceland,205
India,225
Indonesia,236
International,236
Iran,208
Iraq,189
Ireland,194
Israel,150
Italy,189
Jamaica,229
Japan,233
Jordan,219
Kazakhstan,209
Kenya,236
Kosovo,182
Kuwait,108
Kyrgyzstan,214
Laos,236
Latvia,226
Lebanon,209
Lesotho,233
Liberia,236
Libya,214
Liechtenstein,210
Lithuania,223
Luxembourg,166
Madagascar,236
Malawi,236
Malaysia,232
Maldives,145
Mali,236
Malta,195
Marshall Islands,236
Mauritania,226
Mauritius,237
Mexico,199
Moldova,145
Mongolia,236
Montenegro,166
Morocco,227
Mozambique,236
Myanmar,236
Namibia,224
Nepal,222
Netherlands,189
New Zealand,236
Nicaragua,228
Niger,236
Nigeria,236
North Macedonia,162
Norway,223
Oman,139
Pakistan,235
Palestine,193
Panama,114
Papua New Guinea,236
Paraguay,213
Peru,119
Philippines,227
Poland,221
Portugal,184
Qatar,118
Romania,207
Russia,132
Rwanda,236
Saint Kitts and Nevis,237
Saint Lucia,236
Saint Vincent and the Grenadines,232
Samoa,236
San Marino,176
Sao Tome and Principe,218
Saudi Arabia,145
Senegal,236
Serbia,190
Seychelles,225
Sierra Leone,236
Singapore,134
Slovakia,222
Slovenia,206
Solomon Islands,236
Somalia,236
South Africa,182
South Korea,217
South Sudan,236
Spain,185
Sri Lanka,236
Sudan,236
Suriname,201
Sweden,154
Switzerland,194
Syria,236
Taiwan,233
Tajikistan,235
Tanzania,236
Thailand,235
Timor,236
Togo,236
Trinidad and Tobago,226
Tunisia,226
Turkey,219
Uganda,236
Ukraine,212
United Arab Emirates,133
United Kingdom,183
United States,102
Uruguay,236
Uzbekistan,236
Vanuatu,236
Vatican,227
Venezuela,232
Vietnam,235
Yemen,236
Zambia,235
Zimbabwe,236
Hong Kong,44
