Nation,Similarity Score
Afghanistan,218
Albania,166
Algeria,218
Andorra,172
Angola,218
Antigua and Barbuda,211
Argentina,95
Armenia,92
Australia,215
Austria,161
Azerbaijan,172
Bahamas,149
Bahrain,77
Bangladesh,217
Barbados,216
Belarus,182
Belgium,136
Belize,165
Benin,218
Bhutan,217
Bolivia,132
Bosnia and Herzegovina,120
Botswana,204
Brazil,98
Brunei,215
Bulgaria,187
Burkina Faso,218
Burundi,218
Cambodia,218
Cameroon,215
Canada,203
Cape Verde,111
Central African Republic,217
Chad,218
Chile,96
China,191
Colombia,96
Comoros,216
Congo,216
Costa Rica,120
Cote d'Ivoire,218
Croatia,166
Cuba,218
Cyprus,188
Czechia,158
Democratic Republic of Congo,218
Denmark,166
Djibouti,203
Dominica,216
Dominican Republic,141
Ecuador,155
Egypt,218
El Salvador,177
Equatorial Guinea,209
Eritrea,218
Estonia,197
Eswatini,174
Ethiopia,218
Fiji,218
Finland,208
France,156
Gabon,188
Gambia,207
Georgia,189
Germany,186
Ghana,210
Greece,203
Grenada,215
Guatemala,171
Guinea,218
Guinea-Bissau,216
Guyana,190
Haiti,218
Honduras,129
Hungary,169
Iceland,188
India,176
Indonesia,218
International,218
Iran,192
Iraq,123
Ireland,188
Israel,106
Italy,176
Jamaica,205
Japan,215
Jordan,186
Kazakhstan,165
Kenya,218
Kosovo,137
Kuwait,78
Kyrgyzstan,171
Laos,218
Latvia,200
Lebanon,141
Lesotho,213
Liberia,218
Libya,160
Liechtenstein,199
Lithuania,198
Luxembourg,144
Madagascar,218
Malawi,218
Malaysia,214
Maldives,119
Mali,218
Malta,139
Marshall Islands,218
Mauritania,210
Mauritius,217
Mexico,155
Moldova,94
Monaco,176
Mongolia,218
Montenegro,115
Morocco,183
Mozambique,218
Myanmar,218
Namibia,183
Nepal,199
Netherlands,148
New Zealand,218
Nicaragua,207
Niger,218
Nigeria,218
North Macedonia,102
Norway,202
Oman,121
Pakistan,215
Palestine,128
Panama,81
Papua New Guinea,218
Paraguay,167
Peru,112
Philippines,211
Poland,191
Portugal,149
Qatar,107
Romania,130
Russia,139
Rwanda,218
Saint Kitts and Nevis,218
Saint Lucia,216
Saint Vincent and the Grenadines,215
Samoa,218
Sao Tome and Principe,210
Saudi Arabia,148
Senegal,218
Serbia,164
Seychelles,208
Sierra Leone,218
Singapore,160
Slovakia,183
Slovenia,187
Solomon Islands,218
Somalia,218
South Africa,150
South Korea,207
South Sudan,218
Spain,164
Sri Lanka,218
Sudan,218
Suriname,157
Sweden,167
Switzerland,187
Syria,218
Taiwan,215
Tajikistan,219
Tanzania,218
Thailand,217
Timor,218
Togo,218
Trinidad and Tobago,196
Tunisia,200
Turkey,210
Uganda,218
Ukraine,158
United Arab Emirates,127
United Kingdom,161
United States,81
Uruguay,218
Uzbekistan,218
Vanuatu,218
Vatican,214
Venezuela,205
Vietnam,217
Yemen,218
Zambia,217
Zimbabwe,218
Hong Kong,54
