Nation,Similarity Score
Afghanistan,148
Albania,145
Algeria,148
Andorra,86
Angola,148
Antigua and Barbuda,148
Argentina,130
Armenia,170
Australia,145
Austria,138
Azerbaijan,163
Bahamas,138
Bahrain,134
Bangladesh,149
Barbados,147
Belarus,223
Belgium,125
Belize,152
Benin,148
Bhutan,149
Bolivia,166
Bosnia and Herzegovina,156
Botswana,144
Brazil,177
Brunei,141
Bulgaria,129
Burkina Faso,148
Burundi,148
Cambodia,148
Cameroon,151
Canada,184
Cape Verde,185
Central African Republic,153
Chad,148
Chile,178
China,125
Colombia,163
Comoros,152
Congo,149
Costa Rica,119
Cote d'Ivoire,148
Croatia,152
Cuba,148
Cyprus,142
Czechia,135
Democratic Republic of Congo,148
Denmark,166
Djibouti,169
Dominica,146
Dominican Republic,171
Ecuador,182
Egypt,148
El Salvador,139
Equatorial Guinea,156
Eritrea,148
Estonia,137
Eswatini,140
Ethiopia,148
Fiji,148
Finland,153
France,122
Gabon,164
Gambia,146
Georgia,138
Germany,125
Ghana,150
Greece,139
Grenada,149
Guatemala,152
Guinea,148
Guinea-Bissau,153
Guyana,165
Haiti,148
Honduras,171
Hungary,158
Iceland,136
India,164
Indonesia,148
International,148
Iran,144
Iraq,183
Ireland,180
Israel,132
Italy,110
Jamaica,161
Japan,145
Jordan,140
Kazakhstan,140
Kenya,148
Kosovo,133
Kuwait,171
Kyrgyzstan,137
Laos,148
Latvia,142
Lebanon,161
Lesotho,149
Liberia,148
Libya,183
Liechtenstein,124
Lithuania,132
Luxembourg,119
Madagascar,148
Malawi,148
Malaysia,148
Maldives,187
Mali,148
Malta,152
Marshall Islands,148
Mauritania,158
Mauritius,151
Mexico,160
Moldova,201
Monaco,133
Mongolia,148
Montenegro,117
Morocco,175
Mozambique,148
Myanmar,148
Namibia,151
Nepal,171
Netherlands,133
New Zealand,148
Nicaragua,155
Niger,148
Nigeria,148
North Macedonia,173
Norway,127
Oman,163
Pakistan,149
Palestine,167
Panama,170
Papua New Guinea,148
Paraguay,179
Peru,195
Philippines,147
Poland,135
Portugal,179
Qatar,150
Romania,159
Russia,226
Rwanda,148
Saint Kitts and Nevis,147
Saint Lucia,145
Saint Vincent and the Grenadines,146
Samoa,148
San Marino,127
Sao Tome and Principe,162
Saudi Arabia,194
Senegal,148
Serbia,142
Seychelles,149
Sierra Leone,148
Singapore,173
Slovakia,150
Slovenia,134
Solomon Islands,148
Somalia,148
South Africa,139
South Korea,130
South Sudan,148
Spain,101
Sri Lanka,148
Sudan,148
Suriname,145
Sweden,183
Switzerland,121
Syria,148
Taiwan,145
Tajikistan,148
Tanzania,148
Thailand,147
Timor,148
Togo,148
Trinidad and Tobago,163
Tunisia,164
Turkey,160
Uganda,148
Ukraine,183
United Kingdom,156
United States,170
Uruguay,148
Uzbekistan,148
Vanuatu,148
Vatican,141
Venezuela,147
Vietnam,147
Yemen,148
Zambia,149
Zimbabwe,148
Hong Kong,20
