country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,2,0,0,60.19
Albania,2,0,0,57.41
Algeria,2,0,0,68.52
Andorra,2,0,0,45.37
Angola,2,0,0,79.17
Antigua and Barbuda,2,0,0,0
Argentina,2,0.294,2.6,87.96
Armenia,2,0,0,0
Australia,1,1.511,202.7,79.17
Austria,2,0.619,40.8,35.19
Azerbaijan,2,0,0,85.19
Bahamas,2,0,0,0
Bahrain,2,5.682,25.1,69.44
Bangladesh,2,0.076,4.9,80.09
Barbados,2,0,0,48.15
Belarus,2,0,81.1,16.67
Belgium,2,1.553,32.7,58.33
Belize,2,0,0,72.69
Benin,2,0,0,41.67
Bhutan,2,0,0,97.22
Bolivia,2,0.13,2.2,84.26
Bosnia and Herzegovina,2,0,0,59.26
Botswana,2,0,0,47.22
Brazil,2,0,0,69.91
Brunei,2,0,0,40.74
Bulgaria,2,0.112,29.9,38.89
Burkina Faso,2,0,0,48.15
Burundi,2,0,0,11.11
Cambodia,2,0,0,47.22
Cameroon,2,0,0,60.19
Canada,1,1.634,154.7,64.35
Cape Verde,2,0.554,6.8,65.28
Central African Republic,2,0,0,54.63
Chad,2,0,0,64.81
Chile,2,1.323,14.2,81.94
China,2,0,0,78.24
Colombia,2,0.643,0,87.04
Comoros,2,0,0,0
Congo,2,0,0,67.59
Costa Rica,2,0.301,0,72.22
Cote d'Ivoire,2,0.039,15.4,31.94
Croatia,2,0.241,9.2,35.19
Cuba,2,0.379,96.5,82.41
Cyprus,1,4.096,242.7,47.22
Czechia,2,0.677,27.7,36.11
Democratic Republic of Congo,2,0.004,12.3,40.74
Denmark,1,6.144,222.8,50.93
Djibouti,2,0,0,50.93
Dominica,2,0,0,36.11
Dominican Republic,2,0.201,4.2,78.7
Ecuador,2,0.056,0,76.39
Egypt,2,0,0,62.96
El Salvador,2,0.378,7.5,89.81
Equatorial Guinea,2,0,0,0
Eritrea,2,0,0,89.81
Estonia,1,1.181,277.7,23.15
Eswatini,2,0,0,80.56
Ethiopia,2,0.172,15.5,80.56
Fiji,1,0.017,293.7,54.63
Finland,1,1.971,504.6,32.41
France,2,2.364,34.5,48.15
Gabon,2,0,0,66.67
Gambia,2,0,0,77.78
Georgia,2,0,0,57.41
Germany,2,0,0,56.94
Ghana,2,0.035,7.1,52.78
Greece,2,0.734,46.7,56.02
Grenada,2,0,0,0
Guatemala,2,0.214,3.7,87.04
Guinea,2,0,0,70.83
Guinea-Bissau,2,0,0,0
Guyana,2,0,0,73.15
Haiti,2,0,0,21.3
Honduras,2,0,0,87.96
Hungary,2,0.241,85,49.07
Iceland,2,1.196,70.9,46.3
India,2,0.53,12.6,79.63
Indonesia,2,0.026,5.9,59.72
International,2,0,0,0
Iran,2,0.311,10.6,60.19
Iraq,2,0.532,5.2,92.59
Ireland,2,1.121,100.6,59.72
Israel,2,3.011,15.2,37.96
Italy,2,0.507,91.4,54.63
Jamaica,2,0.14,32,73.15
Japan,2,0.204,25.4,32.41
