Nation,Similarity Score
Argentina,298
Bahrain,285
Bangladesh,306
Barbados,291
Brunei,282
Colombia,290
El Salvador,298
Fiji,245
Gabon,302
Iceland,236
Indonesia,289
Kuwait,282
Malaysia,189
Mongolia,279
Nepal,277
New Zealand,82
Nigeria,295
Oman,294
Panama,289
Paraguay,283
Poland,279
Rwanda,224
Tajikistan,250
United Kingdom,266
Uzbekistan,289
Bhutan,300
Bolivia,281
China,279
Czechia,288
France,289
Germany,285
Moldova,275
Monaco,271
Philippines,292
Singapore,176
Taiwan,110
Australia,86
India,291
Ecuador,284
Portugal,289
Papua New Guinea,292
Belgium,291
Croatia,257
Cuba,196
Finland,195
Georgia,287
Guatemala,289
Guinea,285
Kyrgyzstan,301
Sri Lanka,225
Sudan,279
Zimbabwe,277
Seychelles,275
Uganda,255
Vietnam,163
Brazil,283
Italy,245
Kazakhstan,268
Liberia,284
Qatar,293
Russia,260
Saudi Arabia,251
Timor,273
Trinidad and Tobago,289
Bosnia and Herzegovina,278
Jamaica,281
Norway,198
Pakistan,276
Spain,285
South Korea,149
Israel,271
Costa Rica,288
Japan,249
Guyana,290
Turkey,282
Angola,278
Burundi,232
Cape Verde,284
Gambia,280
Ireland,231
Mauritania,263
Romania,278
Solomon Islands,249
United States,279
Bulgaria,276
Libya,266
Malawi,266
Mozambique,269
Albania,275
Eswatini,275
Thailand,55
Afghanistan,258
Algeria,275
Andorra,265
Antigua and Barbuda,228
Armenia,228
Austria,254
Azerbaijan,273
Bahamas,228
Belarus,221
Belize,279
Benin,263
Burkina Faso,265
Cambodia,261
Cameroon,271
Canada,266
Central African Republic,266
Chad,257
Chile,280
Comoros,228
Congo,266
Cote d'Ivoire,273
Cyprus,119
Democratic Republic of Congo,273
Denmark,158
Djibouti,268
Dominica,256
Dominican Republic,278
Egypt,276
Equatorial Guinea,228
Eritrea,275
Estonia,197
Ethiopia,259
Ghana,266
Greece,209
Grenada,228
Guinea-Bissau,228
Haiti,271
Honduras,277
Hungary,227
International,228
Iran,272
Iraq,265
Jordan,277
Kenya,276
Kosovo,274
Laos,258
Latvia,152
Lebanon,270
Lesotho,272
Liechtenstein,228
Lithuania,175
Luxembourg,220
Madagascar,266
Maldives,227
Mali,264
Malta,157
Marshall Islands,228
Mauritius,263
Mexico,264
Montenegro,228
Morocco,267
Myanmar,180
Namibia,260
Netherlands,273
Nicaragua,229
Niger,264
North Macedonia,228
Palestine,267
Peru,274
Saint Kitts and Nevis,228
Saint Lucia,228
Saint Vincent and the Grenadines,228
Samoa,228
San Marino,258
Sao Tome and Principe,228
Senegal,278
Serbia,272
Sierra Leone,258
Slovakia,219
Slovenia,231
Somalia,264
South Africa,271
South Sudan,271
Suriname,279
Sweden,271
Switzerland,255
Syria,274
Tanzania,243
Togo,269
Tunisia,239
Ukraine,274
Uruguay,204
Vanuatu,263
Vatican,228
Venezuela,275
Yemen,233
Zambia,249
United Arab Emirates,178
Hong Kong,69
