Nation,Similarity Score
Argentina,277
Bahrain,290
Bangladesh,285
Barbados,273
Botswana,289
Brunei,284
Colombia,274
El Salvador,292
Fiji,233
Gabon,280
Iceland,226
Kuwait,278
Malaysia,184
Mongolia,295
Nepal,271
New Zealand,78
Nigeria,279
Oman,282
Panama,271
Paraguay,270
Poland,265
Rwanda,211
Tajikistan,238
United Kingdom,244
Uzbekistan,266
Bhutan,292
Bolivia,293
China,291
Czechia,283
France,285
Germany,275
Moldova,261
Monaco,261
Philippines,297
Singapore,188
Taiwan,117
Australia,81
India,280
Ecuador,265
Portugal,276
Papua New Guinea,276
Belgium,273
Croatia,240
Cuba,180
Finland,179
Georgia,294
Guatemala,276
Guinea,269
Kyrgyzstan,286
Sri Lanka,206
Sudan,259
Zimbabwe,261
Seychelles,273
Uganda,248
Vietnam,180
Brazil,265
Italy,252
Kazakhstan,250
Liberia,264
Qatar,279
Russia,251
Saudi Arabia,235
Timor,257
Trinidad and Tobago,269
Bosnia and Herzegovina,265
Jamaica,276
Norway,181
Pakistan,273
Spain,271
South Korea,164
Israel,270
Costa Rica,272
Japan,267
Guyana,276
Turkey,272
Cape Verde,270
Thailand,53
United Arab Emirates,181
Afghanistan,262
Albania,265
Algeria,265
Andorra,257
Angola,263
Antigua and Barbuda,220
Armenia,220
Austria,244
Azerbaijan,269
Bahamas,220
Belarus,214
Belize,263
Benin,253
Bulgaria,263
Burkina Faso,247
Burundi,220
Cambodia,251
Cameroon,253
Canada,249
Central African Republic,254
Chad,249
Chile,262
Comoros,220
Congo,255
Cote d'Ivoire,253
Cyprus,108
Democratic Republic of Congo,253
Denmark,148
Djibouti,255
Dominica,246
Dominican Republic,259
Egypt,264
Equatorial Guinea,220
Eritrea,264
Estonia,182
Eswatini,255
Ethiopia,250
Gambia,258
Ghana,253
Greece,204
Grenada,220
Guinea-Bissau,220
Haiti,251
Honduras,260
Hungary,216
International,220
Iran,270
Iraq,268
Ireland,220
Jordan,258
Kenya,261
Kosovo,261
Laos,249
Latvia,138
Lebanon,268
Lesotho,253
Libya,248
Liechtenstein,220
Lithuania,162
Luxembourg,208
Madagascar,249
Malawi,255
Maldives,218
Mali,252
Malta,153
Marshall Islands,220
Mauritania,239
Mauritius,247
Mexico,257
Montenegro,220
Morocco,252
Mozambique,256
Myanmar,172
Namibia,246
Netherlands,259
Nicaragua,221
Niger,246
North Macedonia,220
Palestine,264
Peru,261
Romania,267
Saint Kitts and Nevis,220
Saint Lucia,220
Saint Vincent and the Grenadines,220
Samoa,220
San Marino,258
Sao Tome and Principe,220
Senegal,258
Serbia,257
Sierra Leone,248
Slovakia,210
Slovenia,216
Solomon Islands,237
Somalia,252
South Africa,254
South Sudan,257
Suriname,263
Sweden,263
Switzerland,241
Syria,260
Tanzania,235
Togo,251
Tunisia,224
Ukraine,260
United States,263
Uruguay,190
Vanuatu,251
Vatican,220
Venezuela,261
Yemen,225
Zambia,245
Hong Kong,69
