Nation,Similarity Score
Afghanistan,299
Albania,283
Algeria,295
Andorra,292
Angola,292
Antigua and Barbuda,277
Armenia,277
Australia,65
Austria,266
Azerbaijan,282
Bahamas,277
Belarus,258
Belgium,270
Belize,294
Benin,304
Bosnia and Herzegovina,277
Brazil,280
Bulgaria,280
Burkina Faso,305
Burundi,270
Cambodia,306
Cameroon,304
Canada,278
Cape Verde,288
Central African Republic,309
Chad,282
Chile,293
Comoros,277
Congo,305
Costa Rica,275
Cote d'Ivoire,301
Croatia,243
Cuba,180
Cyprus,131
Czechia,252
Democratic Republic of Congo,303
Denmark,170
Djibouti,306
Dominica,303
Dominican Republic,294
Ecuador,279
Egypt,299
Equatorial Guinea,277
Eritrea,298
Estonia,222
Eswatini,298
Ethiopia,280
Finland,167
France,254
Gambia,297
Georgia,252
Germany,264
Ghana,289
Greece,219
Grenada,277
Guatemala,268
Guinea,287
Guinea-Bissau,277
Guyana,280
Haiti,301
Honduras,289
Hungary,243
India,262
International,277
Iran,281
Iraq,272
Ireland,239
Israel,245
Italy,215
Jamaica,263
Japan,244
Jordan,291
Kazakhstan,263
Kenya,282
Kosovo,286
Kyrgyzstan,262
Laos,305
Latvia,164
Lebanon,280
Lesotho,300
Liberia,289
Libya,278
Liechtenstein,277
Lithuania,188
Luxembourg,232
Madagascar,300
Malawi,283
Maldives,276
Malta,204
Marshall Islands,277
Mauritania,289
Mauritius,305
Mexico,287
Moldova,282
Monaco,274
Montenegro,277
Morocco,279
Mozambique,286
Myanmar,201
Namibia,289
Netherlands,287
Nicaragua,276
Niger,305
North Macedonia,277
Norway,181
Pakistan,268
Palestine,283
Papua New Guinea,284
Peru,286
Philippines,251
Portugal,262
Qatar,261
Romania,275
Russia,259
Saint Kitts and Nevis,277
Saint Lucia,277
Saint Vincent and the Grenadines,277
Samoa,277
San Marino,286
Sao Tome and Principe,277
Saudi Arabia,233
Senegal,289
Serbia,278
Seychelles,275
Sierra Leone,303
Slovakia,237
Slovenia,243
Solomon Islands,285
Somalia,305
South Africa,294
South Korea,132
South Sudan,290
Spain,268
Sri Lanka,218
Sudan,287
Suriname,292
Sweden,296
Switzerland,266
Syria,292
Tanzania,290
Thailand,57
Timor,291
Togo,285
Trinidad and Tobago,271
Tunisia,257
Turkey,264
Uganda,232
Ukraine,288
United Arab Emirates,181
United States,281
Uruguay,217
Vanuatu,310
Vatican,277
Venezuela,287
Vietnam,155
Yemen,280
Zambia,268
Zimbabwe,279
Gabon,268
Kuwait,263
Nigeria,277
Paraguay,270
Poland,275
Tajikistan,258
United Kingdom,243
Colombia,274
Panama,270
Argentina,265
Bahrain,247
Barbados,279
Uzbekistan,278
Bangladesh,258
Bhutan,264
Botswana,264
Brunei,266
El Salvador,253
Fiji,209
Iceland,191
Indonesia,252
Malaysia,145
Nepal,234
New Zealand,53
Oman,266
Rwanda,180
Singapore,154
Taiwan,84
Bolivia,243
China,243
Mongolia,249
Hong Kong,65
