Nation,Similarity Score
Afghanistan,195
Albania,198
Algeria,214
Andorra,207
Angola,208
Antigua and Barbuda,169
Armenia,169
Australia,69
Austria,206
Azerbaijan,202
Bahamas,169
Belarus,158
Belgium,189
Belize,214
Benin,201
Bosnia and Herzegovina,178
Brazil,197
Bulgaria,195
Burkina Faso,197
Burundi,162
Cambodia,197
Cameroon,200
Canada,208
Cape Verde,204
Central African Republic,203
Chad,198
Chile,211
Comoros,169
Congo,203
Costa Rica,192
Cote d'Ivoire,201
Croatia,175
Cuba,177
Cyprus,196
Czechia,168
Democratic Republic of Congo,200
Denmark,209
Djibouti,203
Dominica,196
Dominican Republic,207
Ecuador,194
Egypt,215
Equatorial Guinea,169
Eritrea,214
Estonia,217
Eswatini,198
Ethiopia,207
Finland,169
France,174
Gambia,201
Georgia,169
Germany,182
Ghana,201
Greece,222
Grenada,169
Guatemala,185
Guinea,187
Guinea-Bissau,169
Guyana,198
Haiti,200
Honduras,208
Hungary,220
India,181
International,169
Iran,199
Iraq,191
Ireland,225
Israel,172
Italy,180
Jamaica,175
Japan,154
Jordan,207
Kazakhstan,185
Kenya,201
Kosovo,205
Kyrgyzstan,180
Laos,198
Latvia,220
Lebanon,199
Lesotho,199
Liberia,202
Libya,206
Liechtenstein,169
Lithuania,237
Luxembourg,232
Madagascar,197
Malawi,201
Maldives,167
Mali,201
Malta,189
Marshall Islands,169
Mauritania,188
Mauritius,198
Mexico,203
Moldova,181
Monaco,171
Montenegro,169
Morocco,216
Mozambique,206
Namibia,217
Netherlands,205
Nicaragua,168
Niger,197
North Macedonia,169
Norway,196
Pakistan,188
Palestine,196
Papua New Guinea,177
Peru,205
Philippines,170
Portugal,182
Qatar,181
Romania,190
Russia,178
Saint Kitts and Nevis,169
Saint Lucia,169
Saint Vincent and the Grenadines,169
Samoa,169
San Marino,182
Sao Tome and Principe,169
Saudi Arabia,151
Senegal,209
Serbia,194
Seychelles,172
Sierra Leone,198
Slovakia,198
Slovenia,215
Solomon Islands,178
Somalia,201
South Africa,198
South Korea,145
South Sudan,208
Spain,188
Sri Lanka,173
Sudan,191
Suriname,210
Sweden,212
Switzerland,219
Syria,203
Tanzania,183
Thailand,118
Timor,184
Togo,201
Trinidad and Tobago,197
Tunisia,206
Turkey,183
Uganda,187
Ukraine,205
United Arab Emirates,134
United States,200
Uruguay,200
Vanuatu,200
Vatican,169
Venezuela,206
Vietnam,79
Yemen,173
Zambia,194
Zimbabwe,203
Gabon,188
Kuwait,182
Nigeria,193
Paraguay,189
Poland,188
Tajikistan,148
United Kingdom,195
Colombia,194
Panama,189
Argentina,182
Bahrain,167
Barbados,171
Uzbekistan,171
Bangladesh,175
Bhutan,182
Botswana,180
Brunei,162
El Salvador,172
Fiji,137
Iceland,170
Indonesia,172
Malaysia,177
Nepal,156
New Zealand,78
Oman,165
Rwanda,143
Singapore,78
Taiwan,111
Bolivia,162
China,160
Mongolia,159
Hong Kong,65
