Nation,Similarity Score
Argentina,255
Bahrain,237
Bangladesh,247
Barbados,270
Botswana,250
Brunei,257
Colombia,251
El Salvador,236
Fiji,199
Gabon,251
Iceland,180
Indonesia,238
Kuwait,238
Malaysia,129
Mongolia,230
Nepal,237
New Zealand,50
Nigeria,266
Oman,252
Panama,247
Paraguay,244
Poland,250
Rwanda,172
United Kingdom,232
Uzbekistan,268
Bhutan,251
Bolivia,219
China,221
Czechia,235
France,241
Germany,243
Moldova,253
Monaco,251
Philippines,231
Singapore,153
Taiwan,91
Australia,57
India,248
Ecuador,247
Portugal,246
Afghanistan,248
Albania,234
Algeria,240
Andorra,253
Angola,250
Antigua and Barbuda,288
Armenia,288
Austria,213
Azerbaijan,227
Bahamas,288
Belarus,264
Belgium,251
Belize,241
Benin,259
Bosnia and Herzegovina,257
Brazil,243
Bulgaria,233
Burkina Faso,252
Burundi,295
Cambodia,255
Cameroon,249
Canada,224
Cape Verde,251
Central African Republic,254
Chad,263
Chile,238
Comoros,288
Congo,255
Costa Rica,246
Cote d'Ivoire,246
Croatia,226
Cuba,161
Cyprus,78
Democratic Republic of Congo,248
Denmark,115
Djibouti,252
Dominica,262
Dominican Republic,240
Egypt,244
Equatorial Guinea,288
Eritrea,244
Estonia,168
Eswatini,249
Ethiopia,230
Finland,141
Gambia,250
Georgia,228
Ghana,241
Greece,167
Grenada,288
Guatemala,250
Guinea,270
Guinea-Bissau,288
Guyana,247
Haiti,246
Honduras,235
Hungary,189
International,288
Iran,228
Iraq,219
Ireland,195
Israel,215
Italy,188
Jamaica,236
Japan,256
Jordan,237
Kazakhstan,237
Kenya,230
Kosovo,232
Kyrgyzstan,241
Laos,261
Latvia,111
Lebanon,227
Lesotho,246
Liberia,252
Libya,230
Liechtenstein,288
Lithuania,134
Luxembourg,177
Madagascar,246
Malawi,238
Maldives,276
Mali,258
Malta,206
Marshall Islands,288
Mauritania,248
Mauritius,252
Mexico,233
Montenegro,288
Morocco,225
Mozambique,247
Myanmar,148
Namibia,234
Netherlands,232
Nicaragua,289
Niger,252
North Macedonia,288
Norway,159
Pakistan,232
Palestine,229
Peru,232
Qatar,241
Romania,237
Russia,238
Saint Kitts and Nevis,288
Saint Lucia,288
Saint Vincent and the Grenadines,288
Samoa,288
San Marino,235
Sao Tome and Principe,288
Saudi Arabia,213
Senegal,234
Serbia,226
Seychelles,264
Sierra Leone,260
Slovakia,185
Slovenia,189
Solomon Islands,282
Somalia,254
South Africa,240
South Korea,114
South Sudan,235
Spain,245
Sri Lanka,188
Sudan,252
Suriname,237
Sweden,243
Switzerland,213
Syria,237
Tanzania,275
Thailand,14
Timor,272
Togo,235
Trinidad and Tobago,250
Tunisia,203
Turkey,227
Uganda,212
Ukraine,233
United Arab Emirates,149
United States,238
Uruguay,164
Vanuatu,257
Vatican,288
Venezuela,232
Vietnam,156
Yemen,287
Zambia,229
Zimbabwe,248
Papua New Guinea,262
Hong Kong,63
