Nation,Similarity Score
Afghanistan,186
Albania,234
Algeria,163
Andorra,72
Angola,179
Antigua and Barbuda,10
Armenia,10
Australia,131
Austria,109
Azerbaijan,173
Bahamas,10
Belarus,14
Belgium,207
Belize,148
Benin,129
Bosnia and Herzegovina,225
Brazil,194
Bulgaria,152
Burkina Faso,119
Burundi,38
Cambodia,126
Cameroon,124
Canada,123
Cape Verde,191
Central African Republic,137
Chad,147
Chile,124
Comoros,10
Congo,213
Costa Rica,188
Cote d'Ivoire,149
Croatia,199
Cuba,175
Cyprus,160
Czechia,112
Democratic Republic of Congo,199
Denmark,134
Djibouti,165
Dominica,187
Dominican Republic,169
Ecuador,266
Egypt,134
Equatorial Guinea,10
Eritrea,157
Estonia,90
Eswatini,218
Ethiopia,169
Finland,154
France,199
Gambia,174
Georgia,139
Germany,131
Ghana,136
Greece,115
Grenada,10
Guatemala,264
Guinea,237
Guinea-Bissau,10
Guyana,186
Haiti,210
Honduras,175
Hungary,125
India,199
International,10
Iran,66
Iraq,203
Ireland,153
Israel,196
Italy,136
Jamaica,191
Japan,140
Jordan,107
Kazakhstan,199
Kenya,175
Kosovo,159
Kyrgyzstan,212
Laos,160
Latvia,127
Lebanon,151
Lesotho,154
Liberia,197
Libya,176
Liechtenstein,10
Lithuania,155
Luxembourg,134
Madagascar,205
Malawi,141
Maldives,10
Mali,118
Malta,10
Marshall Islands,10
Mauritania,130
Mauritius,89
Mexico,158
Moldova,258
Monaco,86
Montenegro,10
Morocco,166
Mozambique,113
Myanmar,156
Namibia,88
Netherlands,113
Nicaragua,19
Niger,19
North Macedonia,10
Norway,177
Pakistan,225
Palestine,189
Papua New Guinea,165
Peru,173
Philippines,186
Portugal,223
Qatar,201
Romania,190
Saint Kitts and Nevis,10
Saint Lucia,10
Saint Vincent and the Grenadines,10
Samoa,10
San Marino,158
Sao Tome and Principe,10
Saudi Arabia,256
Senegal,161
Serbia,172
Seychelles,177
Sierra Leone,143
Slovakia,110
Slovenia,122
Solomon Islands,141
Somalia,101
South Africa,234
South Korea,127
South Sudan,212
Spain,156
Sri Lanka,216
Sudan,242
Suriname,173
Sweden,106
Switzerland,121
Syria,254
Tanzania,21
Thailand,166
Timor,140
Togo,125
Trinidad and Tobago,157
Tunisia,132
Turkey,132
Uganda,209
Ukraine,125
United Arab Emirates,225
United States,157
Uruguay,120
Vanuatu,153
Vatican,10
Venezuela,176
Vietnam,139
Yemen,88
Zambia,129
Zimbabwe,190
Gabon,180
Kuwait,189
Nigeria,253
Paraguay,187
Poland,156
Tajikistan,158
United Kingdom,180
Argentina,196
Bahrain,180
Bangladesh,172
Barbados,235
Bhutan,181
Botswana,153
Colombia,191
El Salvador,244
Fiji,232
Iceland,140
Indonesia,153
Nepal,186
New Zealand,142
Oman,231
Panama,193
Rwanda,182
Uzbekistan,285
Brunei,141
Malaysia,114
Singapore,202
Taiwan,43
Mongolia,146
Bolivia,155
China,146
Hong Kong,38
