Nation,Similarity Score
Afghanistan,183
Albania,165
Algeria,275
Andorra,109
Angola,246
Antigua and Barbuda,51
Armenia,51
Australia,150
Austria,86
Azerbaijan,270
Bahamas,51
Belarus,52
Belgium,117
Belize,252
Benin,63
Bosnia and Herzegovina,91
Brazil,234
Bulgaria,57
Burkina Faso,95
Burundi,23
Cambodia,86
Cameroon,109
Canada,239
Cape Verde,249
Central African Republic,137
Chad,261
Chile,260
Comoros,51
Congo,246
Costa Rica,215
Cote d'Ivoire,121
Croatia,73
Cuba,231
Cyprus,154
Czechia,44
Democratic Republic of Congo,172
Denmark,67
Djibouti,119
Dominica,143
Dominican Republic,261
Ecuador,206
Egypt,255
Equatorial Guinea,51
Eritrea,279
Estonia,81
Eswatini,240
Ethiopia,291
Finland,43
France,108
Gambia,229
Georgia,149
Germany,78
Ghana,98
Greece,120
Grenada,51
Guatemala,206
Guinea,198
Guinea-Bissau,51
Guyana,251
Haiti,171
Honduras,267
Hungary,80
India,231
International,51
Iran,117
Iraq,235
Ireland,189
Israel,164
Italy,74
Jamaica,219
Japan,49
Jordan,183
Kazakhstan,239
Kenya,267
Kosovo,191
Kyrgyzstan,237
Laos,113
Latvia,82
Lebanon,228
Lesotho,173
Liberia,248
Libya,266
Liechtenstein,51
Lithuania,129
Luxembourg,100
Madagascar,205
Malawi,114
Maldives,51
Mali,82
Malta,51
Marshall Islands,51
Mauritania,121
Mauritius,113
Mexico,277
Moldova,141
Monaco,34
Montenegro,51
Morocco,278
Mozambique,185
Myanmar,286
Namibia,152
Netherlands,128
Nicaragua,42
Niger,69
North Macedonia,51
Norway,52
Pakistan,163
Palestine,250
Papua New Guinea,56
Peru,266
Philippines,224
Portugal,205
Qatar,234
Romania,93
Russia,173
Saint Kitts and Nevis,51
Saint Lucia,51
Saint Vincent and the Grenadines,51
Samoa,51
San Marino,81
Sao Tome and Principe,51
Saudi Arabia,198
Senegal,119
Serbia,112
Seychelles,70
Sierra Leone,113
Slovakia,108
Slovenia,112
Solomon Islands,57
Somalia,87
South Africa,240
South Korea,53
South Sudan,248
Spain,188
Sri Lanka,94
Sudan,225
Sweden,122
Switzerland,69
Syria,212
Tanzania,71
Thailand,116
Timor,35
Togo,123
Trinidad and Tobago,201
Tunisia,144
Turkey,157
Uganda,241
Ukraine,192
United Arab Emirates,151
United States,213
Uruguay,92
Vanuatu,174
Vatican,51
Venezuela,263
Vietnam,166
Yemen,76
Zambia,58
Zimbabwe,245
Gabon,235
Kuwait,223
Nigeria,206
Paraguay,240
Poland,105
Tajikistan,39
United Kingdom,227
Panama,237
Argentina,228
Colombia,235
Bangladesh,211
Botswana,116
Barbados,121
Iceland,41
Uzbekistan,155
Bahrain,186
Bhutan,230
Brunei,41
El Salvador,206
Indonesia,150
Malaysia,81
Rwanda,209
Singapore,113
Taiwan,10
Mongolia,103
Oman,210
Fiji,99
New Zealand,69
Nepal,226
China,179
Bolivia,222
Hong Kong,34
