Nation,Similarity Score
Afghanistan,145
Albania,189
Algeria,145
Andorra,116
Angola,145
Antigua and Barbuda,144
Argentina,171
Australia,142
Austria,167
Azerbaijan,162
Bahamas,163
Bahrain,149
Bangladesh,145
Barbados,147
Belarus,148
Belgium,131
Belize,175
Benin,145
Bhutan,146
Bolivia,181
Bosnia and Herzegovina,226
Botswana,148
Brazil,199
Brunei,142
Bulgaria,164
Burkina Faso,145
Burundi,145
Cambodia,145
Cameroon,147
Canada,148
Cape Verde,194
Central African Republic,146
Chad,145
Chile,211
China,119
Colombia,170
Comoros,146
Congo,146
Costa Rica,171
Cote d'Ivoire,145
Croatia,192
Cuba,145
Cyprus,158
Czechia,178
Democratic Republic of Congo,145
Denmark,151
Djibouti,140
Dominica,146
Dominican Republic,187
Ecuador,196
Egypt,145
El Salvador,163
Equatorial Guinea,150
Eritrea,145
Estonia,139
Eswatini,170
Ethiopia,145
Fiji,145
Finland,141
France,98
Gabon,152
Gambia,157
Georgia,172
Germany,143
Ghana,146
Greece,162
Grenada,145
Guatemala,169
Guinea,145
Guinea-Bissau,144
Guyana,168
Haiti,145
Honduras,187
Hungary,168
Iceland,128
India,188
Indonesia,145
International,145
Iran,137
Iraq,185
Ireland,108
Israel,147
Italy,78
Jamaica,158
Japan,142
Jordan,176
Kazakhstan,167
Kenya,145
Kosovo,195
Kuwait,177
Kyrgyzstan,170
Laos,145
Latvia,159
Lebanon,198
Lesotho,148
Liberia,145
Libya,180
Liechtenstein,170
Lithuania,164
Luxembourg,126
Madagascar,145
Malawi,145
Malaysia,140
Maldives,159
Mali,145
Malta,194
Marshall Islands,145
Mauritania,145
Mauritius,145
Mexico,178
Moldova,211
Monaco,162
Mongolia,145
Montenegro,176
Morocco,177
Mozambique,145
Myanmar,145
Namibia,167
Nepal,161
Netherlands,192
New Zealand,146
Nicaragua,149
Niger,145
Nigeria,145
North Macedonia,233
Norway,119
Oman,204
Pakistan,145
Palestine,203
Panama,207
Papua New Guinea,145
Paraguay,179
Peru,157
Philippines,156
Poland,163
Portugal,145
Qatar,178
Romania,223
Russia,176
Rwanda,145
Saint Kitts and Nevis,143
Saint Lucia,144
Saint Vincent and the Grenadines,144
Samoa,145
San Marino,106
Sao Tome and Principe,144
Saudi Arabia,183
Senegal,145
Serbia,154
Seychelles,148
Sierra Leone,145
Singapore,114
Slovakia,194
Slovenia,175
Solomon Islands,145
Somalia,145
South Africa,182
South Korea,126
South Sudan,145
Spain,122
Sri Lanka,145
Sudan,145
Suriname,166
Sweden,158
Switzerland,144
Syria,145
Taiwan,142
Tajikistan,145
Tanzania,145
Thailand,144
Timor,145
Togo,145
Trinidad and Tobago,166
Tunisia,159
Turkey,142
Uganda,145
Ukraine,200
United Arab Emirates,173
United Kingdom,136
United States,144
Uruguay,145
Uzbekistan,145
Vanuatu,145
Vatican,136
Venezuela,159
Vietnam,144
Yemen,145
Zambia,145
Zimbabwe,146
Hong Kong,16
