Nation,Similarity Score
Afghanistan,215
Albania,241
Algeria,223
Andorra,128
Angola,224
Antigua and Barbuda,84
Armenia,72
Australia,207
Austria,158
Azerbaijan,226
Bahamas,86
Belarus,90
Belgium,167
Benin,160
Bosnia and Herzegovina,207
Brazil,155
Bulgaria,157
Burkina Faso,175
Burundi,79
Cambodia,151
Cameroon,217
Canada,223
Cape Verde,220
Central African Republic,211
Chad,203
Chile,153
Comoros,84
Congo,217
Costa Rica,187
Cote d'Ivoire,204
Croatia,179
Cuba,210
Cyprus,207
Czechia,120
Democratic Republic of Congo,212
Denmark,216
Djibouti,186
Dominica,173
Dominican Republic,212
Ecuador,200
Egypt,222
Equatorial Guinea,83
Eritrea,223
Estonia,152
Eswatini,231
Ethiopia,228
Finland,134
France,160
Gambia,223
Georgia,175
Germany,196
Ghana,211
Greece,206
Grenada,83
Guatemala,204
Guinea,209
Guinea-Bissau,84
Guyana,225
Haiti,196
Honduras,227
Hungary,208
India,213
International,84
Iran,207
Iraq,221
Ireland,169
Israel,161
Italy,159
Jamaica,216
Japan,89
Jordan,192
Kazakhstan,195
Kenya,228
Kosovo,206
Kyrgyzstan,194
Laos,144
Latvia,203
Lebanon,235
Lesotho,217
Liberia,210
Libya,236
Liechtenstein,73
Lithuania,163
Luxembourg,126
Madagascar,219
Malawi,220
Maldives,95
Mali,195
Malta,94
Marshall Islands,84
Mauritania,182
Mauritius,163
Mexico,225
Moldova,204
Monaco,124
Montenegro,76
Morocco,232
Mozambique,224
Myanmar,224
Namibia,229
Netherlands,176
Nicaragua,92
Niger,137
North Macedonia,81
Norway,145
Pakistan,211
Palestine,222
Papua New Guinea,184
Peru,150
Philippines,203
Portugal,188
Qatar,103
Romania,206
Russia,205
Saint Kitts and Nevis,84
Saint Lucia,84
Saint Vincent and the Grenadines,83
Samoa,84
San Marino,110
Sao Tome and Principe,83
Saudi Arabia,182
Senegal,182
Serbia,179
Seychelles,132
Sierra Leone,177
Slovakia,157
Slovenia,154
Solomon Islands,109
Somalia,163
South Africa,193
South Korea,148
South Sudan,227
Spain,163
Sri Lanka,184
Sudan,206
Suriname,225
Sweden,190
Switzerland,150
Syria,217
Tanzania,132
Thailand,203
Timor,133
Togo,197
Trinidad and Tobago,219
Tunisia,164
Turkey,205
Uganda,216
Ukraine,220
United Arab Emirates,204
United States,147
Uruguay,176
Vanuatu,213
Vatican,82
Venezuela,236
Vietnam,186
Yemen,153
Zambia,167
Zimbabwe,215
Gabon,195
Kuwait,119
Nigeria,209
Paraguay,214
Poland,161
Tajikistan,152
United Kingdom,195
Argentina,176
Bahrain,98
Bangladesh,210
Barbados,186
Bhutan,201
Botswana,201
Brunei,159
Colombia,184
El Salvador,201
Fiji,189
Iceland,119
Indonesia,193
Malaysia,185
Nepal,214
New Zealand,130
Oman,147
Panama,153
Rwanda,202
Singapore,148
Uzbekistan,202
Taiwan,60
Mongolia,181
Bolivia,157
China,183
Hong Kong,33
