Nation,Similarity Score
Afghanistan,267
Albania,232
Algeria,301
Andorra,147
Angola,286
Antigua and Barbuda,155
Armenia,77
Australia,249
Austria,135
Azerbaijan,260
Bahamas,110
Belarus,140
Belgium,141
Belize,223
Benin,208
Bosnia and Herzegovina,150
Brazil,132
Bulgaria,142
Burkina Faso,243
Burundi,130
Cambodia,210
Cameroon,289
Canada,280
Cape Verde,180
Central African Republic,293
Chad,287
Chile,169
Comoros,155
Congo,301
Costa Rica,138
Cote d'Ivoire,264
Croatia,155
Cuba,268
Cyprus,232
Czechia,84
Democratic Republic of Congo,277
Denmark,215
Djibouti,266
Dominica,242
Dominican Republic,248
Ecuador,235
Egypt,303
Equatorial Guinea,154
Estonia,184
Eswatini,265
Ethiopia,304
Finland,166
France,138
Gambia,261
Georgia,172
Germany,205
Ghana,273
Greece,231
Grenada,154
Guatemala,241
Guinea,265
Guinea-Bissau,155
Guyana,242
Haiti,259
Honduras,249
Hungary,197
India,228
International,155
Iran,240
Iraq,215
Ireland,180
Israel,145
Italy,170
Jamaica,244
Japan,126
Jordan,196
Kazakhstan,238
Kenya,287
Kosovo,231
Kyrgyzstan,233
Laos,215
Latvia,221
Lebanon,181
Lesotho,295
Liberia,279
Libya,234
Liechtenstein,104
Lithuania,177
Luxembourg,139
Madagascar,302
Malawi,286
Maldives,115
Mali,268
Malta,80
Marshall Islands,155
Mauritania,229
Mauritius,226
Mexico,293
Moldova,142
Monaco,114
Montenegro,65
Morocco,270
Mozambique,278
Myanmar,298
Namibia,273
Netherlands,162
Nicaragua,145
Niger,196
North Macedonia,78
Norway,175
Pakistan,252
Palestine,222
Papua New Guinea,230
Peru,165
Philippines,248
Portugal,165
Qatar,95
Romania,158
Russia,215
Saint Kitts and Nevis,155
Saint Lucia,155
Saint Vincent and the Grenadines,154
Samoa,155
San Marino,145
Sao Tome and Principe,154
Saudi Arabia,228
Senegal,240
Serbia,210
Seychelles,165
Sierra Leone,246
Slovakia,154
Slovenia,159
Solomon Islands,149
Somalia,226
South Africa,254
South Korea,203
South Sudan,298
Spain,135
Sri Lanka,215
Sudan,273
Suriname,250
Sweden,237
Switzerland,165
Syria,293
Tanzania,195
Thailand,267
Timor,171
Togo,268
Trinidad and Tobago,235
Tunisia,184
Turkey,240
Uganda,268
Ukraine,201
United Arab Emirates,203
United States,80
Uruguay,234
Vanuatu,289
Vatican,151
Venezuela,284
Vietnam,245
Yemen,218
Zambia,221
Zimbabwe,271
Gabon,238
Kuwait,76
Nigeria,261
Paraguay,219
Poland,149
Tajikistan,194
United Kingdom,168
Panama,89
Argentina,126
Bangladesh,260
Barbados,219
Botswana,222
Brunei,185
Colombia,126
El Salvador,246
Fiji,236
Iceland,122
Malaysia,227
Nepal,228
New Zealand,171
Oman,153
Uzbekistan,249
Taiwan,100
Bhutan,250
Rwanda,249
Singapore,194
Indonesia,240
Bahrain,63
Bolivia,184
China,242
Mongolia,236
Hong Kong,65
