Nation,Similarity Score
Afghanistan,138
Albania,177
Algeria,170
Andorra,150
Angola,137
Antigua and Barbuda,93
Armenia,120
Australia,123
Austria,200
Azerbaijan,173
Bahamas,107
Belarus,103
Belgium,201
Belize,176
Benin,128
Bosnia and Herzegovina,177
Brazil,117
Bulgaria,156
Burkina Faso,157
Burundi,69
Cambodia,152
Cameroon,161
Canada,178
Cape Verde,143
Central African Republic,157
Chad,150
Chile,112
Comoros,93
Congo,158
Costa Rica,149
Cote d'Ivoire,154
Croatia,170
Cuba,119
Cyprus,201
Czechia,165
Democratic Republic of Congo,155
Denmark,207
Djibouti,152
Dominica,164
Dominican Republic,151
Ecuador,135
Egypt,158
Equatorial Guinea,91
Eritrea,162
Estonia,172
Eswatini,140
Ethiopia,160
Finland,116
France,191
Gambia,142
Georgia,166
Germany,158
Ghana,161
Greece,181
Grenada,94
Guatemala,122
Guinea,116
Guinea-Bissau,93
Guyana,140
Haiti,154
Honduras,164
Hungary,211
India,136
International,93
Iran,152
Iraq,149
Ireland,194
Israel,121
Italy,172
Jamaica,138
Japan,79
Jordan,203
Kazakhstan,123
Kenya,157
Kosovo,183
Kyrgyzstan,124
Laos,137
Latvia,174
Lebanon,217
Lesotho,167
Liberia,138
Libya,184
Liechtenstein,121
Lithuania,173
Luxembourg,174
Madagascar,164
Malawi,148
Maldives,98
Mali,162
Malta,150
Marshall Islands,93
Mauritania,146
Mauritius,155
Mexico,158
Moldova,156
Monaco,134
Montenegro,101
Morocco,187
Mozambique,140
Myanmar,163
Namibia,176
Nicaragua,84
Niger,127
North Macedonia,127
Norway,121
Pakistan,132
Palestine,180
Papua New Guinea,122
Peru,116
Philippines,126
Portugal,182
Qatar,72
Romania,190
Russia,145
Saint Kitts and Nevis,93
Saint Lucia,93
Saint Vincent and the Grenadines,92
Samoa,93
San Marino,135
Sao Tome and Principe,91
Saudi Arabia,112
Senegal,172
Serbia,144
Seychelles,100
Sierra Leone,163
Slovakia,205
Slovenia,195
Solomon Islands,84
Somalia,154
South Africa,147
South Korea,129
South Sudan,165
Spain,154
Sri Lanka,121
Sudan,142
Suriname,149
Sweden,175
Switzerland,191
Syria,170
Tanzania,128
Thailand,171
Timor,96
Togo,170
Trinidad and Tobago,143
Tunisia,171
Turkey,152
Uganda,126
Ukraine,232
United Arab Emirates,189
United States,165
Uruguay,175
Vanuatu,151
Vatican,94
Venezuela,165
Vietnam,132
Yemen,143
Zambia,112
Zimbabwe,122
Gabon,115
Kuwait,80
Nigeria,115
Paraguay,161
Poland,163
Tajikistan,89
United Kingdom,189
Panama,128
Argentina,140
Bangladesh,121
Barbados,117
Botswana,133
Brunei,110
Colombia,138
El Salvador,116
Fiji,125
Iceland,147
Malaysia,134
Nepal,139
New Zealand,100
Oman,109
Uzbekistan,120
Bahrain,65
Bhutan,118
Indonesia,122
Rwanda,123
Singapore,88
Taiwan,51
Mongolia,119
Bolivia,102
China,114
Hong Kong,11
