Nation,Similarity Score
Afghanistan,224
Albania,215
Algeria,241
Andorra,159
Angola,215
Antigua and Barbuda,199
Armenia,134
Australia,66
Austria,186
Azerbaijan,222
Bahamas,162
Belarus,192
Belgium,141
Belize,199
Benin,220
Bosnia and Herzegovina,159
Brazil,141
Bulgaria,207
Burkina Faso,239
Burundi,180
Cambodia,231
Cameroon,228
Canada,223
Cape Verde,169
Central African Republic,229
Chad,217
Chile,164
Comoros,200
Congo,229
Costa Rica,138
Cote d'Ivoire,236
Croatia,183
Cuba,168
Cyprus,147
Czechia,151
Democratic Republic of Congo,234
Denmark,146
Djibouti,226
Dominica,225
Dominican Republic,203
Ecuador,204
Egypt,234
Equatorial Guinea,198
Eritrea,233
Estonia,182
Eswatini,213
Ethiopia,222
Finland,137
France,112
Gambia,212
Georgia,181
Germany,185
Ghana,229
Greece,204
Grenada,200
Guatemala,203
Guinea,201
Guinea-Bissau,199
Guyana,207
Haiti,238
Honduras,219
Hungary,196
India,203
International,200
Iran,211
Iraq,187
Ireland,172
Israel,129
Italy,122
Jamaica,212
Japan,181
Jordan,224
Kazakhstan,178
Kenya,235
Kosovo,190
Kyrgyzstan,185
Laos,228
Latvia,146
Lebanon,195
Lesotho,242
Liberia,212
Libya,212
Liechtenstein,172
Lithuania,170
Luxembourg,137
Madagascar,235
Malawi,218
Maldives,141
Mali,230
Malta,132
Marshall Islands,200
Mauritania,207
Mauritius,234
Mexico,215
Moldova,147
Monaco,167
Montenegro,123
Morocco,247
Mozambique,207
Myanmar,179
Namibia,212
Netherlands,207
Nicaragua,198
Niger,228
North Macedonia,176
Norway,151
Pakistan,213
Palestine,191
Papua New Guinea,200
Peru,163
Philippines,198
Portugal,172
Qatar,125
Romania,195
Russia,192
Saint Kitts and Nevis,200
Saint Lucia,200
Saint Vincent and the Grenadines,200
Samoa,200
San Marino,180
Sao Tome and Principe,197
Saudi Arabia,189
Senegal,237
Serbia,217
Seychelles,197
Sierra Leone,224
Slovakia,227
Slovenia,211
Solomon Islands,187
Somalia,227
South Africa,197
South Korea,161
South Sudan,235
Spain,138
Sri Lanka,175
Sudan,212
Suriname,198
Sweden,202
Switzerland,193
Syria,239
Tanzania,214
Thailand,98
Timor,200
Togo,224
Trinidad and Tobago,200
Turkey,210
Uganda,168
Ukraine,226
United Arab Emirates,154
United States,109
Uruguay,200
Vanuatu,231
Vatican,198
Venezuela,238
Vietnam,113
Yemen,207
Zambia,206
Zimbabwe,205
Gabon,204
Kuwait,106
Nigeria,198
Paraguay,194
Poland,182
Tajikistan,165
United Kingdom,135
Panama,113
Argentina,128
Bangladesh,203
Barbados,199
Bhutan,195
Botswana,191
Colombia,136
Iceland,161
Nepal,177
Rwanda,180
Uzbekistan,200
Brunei,192
El Salvador,189
Fiji,161
Malaysia,133
New Zealand,58
Oman,154
Singapore,99
Bahrain,84
Indonesia,191
Bolivia,147
China,188
Mongolia,189
Taiwan,99
Hong Kong,45
