Nation,Similarity Score
Afghanistan,261
Albania,239
Algeria,262
Andorra,166
Angola,288
Antigua and Barbuda,224
Armenia,99
Australia,71
Austria,158
Azerbaijan,232
Bahamas,155
Belarus,184
Belgium,172
Belize,214
Benin,268
Bosnia and Herzegovina,187
Brazil,165
Bulgaria,222
Burkina Faso,262
Burundi,249
Cambodia,256
Cameroon,262
Canada,220
Cape Verde,208
Central African Republic,266
Chad,256
Chile,145
Comoros,225
Congo,264
Costa Rica,168
Cote d'Ivoire,267
Croatia,189
Cuba,231
Cyprus,85
Czechia,177
Democratic Republic of Congo,269
Denmark,101
Djibouti,255
Dominica,261
Dominican Republic,219
Ecuador,260
Egypt,271
Equatorial Guinea,221
Eritrea,273
Estonia,147
Eswatini,272
Ethiopia,251
Finland,178
France,164
Gambia,284
Georgia,195
Germany,238
Ghana,260
Greece,155
Grenada,225
Guatemala,280
Guinea,301
Guinea-Bissau,224
Guyana,262
Haiti,268
Honduras,219
Hungary,140
India,269
International,225
Iran,227
Iraq,185
Ireland,165
Israel,135
Italy,122
Jamaica,253
Japan,238
Jordan,203
Kazakhstan,244
Kenya,263
Kosovo,195
Kyrgyzstan,247
Laos,261
Latvia,113
Lebanon,180
Lesotho,264
Liberia,295
Libya,214
Liechtenstein,172
Lithuania,119
Luxembourg,97
Madagascar,266
Malawi,274
Maldives,138
Mali,264
Malta,87
Marshall Islands,225
Mauritania,279
Mauritius,267
Mexico,248
Moldova,185
Monaco,228
Montenegro,108
Morocco,219
Mozambique,276
Myanmar,173
Namibia,231
Netherlands,177
Nicaragua,231
Niger,257
North Macedonia,154
Norway,183
Pakistan,268
Palestine,182
Papua New Guinea,287
Peru,145
Philippines,257
Portugal,202
Qatar,150
Romania,209
Russia,239
Saint Kitts and Nevis,225
Saint Lucia,225
Saint Vincent and the Grenadines,225
Samoa,225
San Marino,197
Sao Tome and Principe,221
Saudi Arabia,249
Senegal,265
Serbia,214
Seychelles,272
Sierra Leone,258
Slovakia,158
Slovenia,154
Solomon Islands,263
Somalia,258
South Africa,221
South Korea,150
South Sudan,266
Spain,188
Sri Lanka,230
Sudan,290
Suriname,221
Sweden,206
Switzerland,178
Syria,264
Tanzania,242
Thailand,79
Timor,291
Togo,249
Trinidad and Tobago,273
Tunisia,205
Turkey,253
Uganda,251
Ukraine,197
United Arab Emirates,158
United States,108
Uruguay,191
Vanuatu,267
Vatican,221
Venezuela,257
Vietnam,156
Yemen,238
Zambia,245
Bangladesh,279
Colombia,172
Gabon,269
Indonesia,260
Kuwait,123
Nepal,234
Nigeria,299
Panama,134
Paraguay,232
Poland,227
Tajikistan,260
United Kingdom,163
Argentina,166
Bahrain,105
Barbados,295
Bhutan,278
Bolivia,187
Botswana,268
Brunei,254
China,240
El Salvador,240
Fiji,231
Iceland,152
Malaysia,157
Mongolia,248
New Zealand,77
Oman,174
Rwanda,222
Singapore,128
Taiwan,104
Uzbekistan,292
Hong Kong,68
