Nation,Similarity Score
Afghanistan,283
Albania,166
Algeria,283
Andorra,150
Angola,279
Antigua and Barbuda,269
Argentina,147
Armenia,76
Australia,268
Austria,135
Azerbaijan,224
Bahamas,176
Bahrain,59
Barbados,273
Belarus,178
Belgium,82
Belize,187
Benin,279
Bhutan,278
Bolivia,179
Bosnia and Herzegovina,129
Botswana,252
Brazil,109
Brunei,266
Bulgaria,200
Burkina Faso,279
Burundi,279
Cambodia,279
Cameroon,275
Canada,171
Cape Verde,136
Central African Republic,284
Chad,279
Chile,99
China,250
Colombia,135
Comoros,278
Congo,266
Costa Rica,158
Cote d'Ivoire,280
Croatia,156
Cuba,281
Cyprus,192
Czechia,148
Democratic Republic of Congo,279
Denmark,121
Djibouti,246
Dominica,268
Dominican Republic,148
Ecuador,170
Egypt,288
El Salvador,236
Equatorial Guinea,262
Eritrea,279
Estonia,203
Eswatini,229
Ethiopia,279
Fiji,279
Finland,216
France,136
Gabon,236
Gambia,259
Georgia,196
Germany,164
Ghana,277
Greece,224
Grenada,273
Guatemala,230
Guinea,277
Guinea-Bissau,262
Guyana,216
Haiti,277
Honduras,185
Hungary,185
Iceland,165
India,205
Indonesia,279
International,279
Iran,128
Iraq,183
Ireland,139
Israel,122
Italy,129
Jamaica,241
Japan,274
Jordan,210
Kazakhstan,236
Kenya,281
Kosovo,175
Kuwait,76
Kyrgyzstan,222
Laos,279
Latvia,213
Lebanon,155
Lesotho,272
Liberia,279
Libya,176
Liechtenstein,194
Lithuania,201
Luxembourg,115
Madagascar,280
Malawi,279
Malaysia,273
Maldives,139
Mali,279
Malta,118
Marshall Islands,279
Mauritania,296
Mauritius,269
Mexico,195
Moldova,87
Monaco,171
Mongolia,279
Montenegro,130
Morocco,179
Mozambique,279
Myanmar,279
Namibia,220
Nepal,216
Netherlands,97
New Zealand,266
Nicaragua,274
Niger,279
Nigeria,279
North Macedonia,114
Norway,205
Oman,144
Pakistan,289
Palestine,150
Panama,67
Papua New Guinea,279
Paraguay,192
Peru,116
Philippines,245
Poland,208
Portugal,120
Qatar,87
Romania,115
Russia,108
Rwanda,279
Saint Kitts and Nevis,271
Saint Lucia,274
Saint Vincent and the Grenadines,271
Samoa,279
San Marino,183
Sao Tome and Principe,268
Saudi Arabia,170
Senegal,281
Serbia,178
Seychelles,269
Sierra Leone,278
Singapore,172
Slovakia,198
Slovenia,168
Solomon Islands,279
Somalia,279
South Africa,205
South Korea,252
South Sudan,278
Spain,115
Sri Lanka,279
Sudan,279
Suriname,230
Sweden,121
Switzerland,136
Syria,279
Taiwan,272
Tajikistan,270
Tanzania,279
Thailand,277
Timor,279
Togo,279
Trinidad and Tobago,233
Tunisia,233
Turkey,230
Uganda,279
Ukraine,168
United Arab Emirates,100
United Kingdom,115
United States,58
Uruguay,277
Uzbekistan,279
Vanuatu,279
Vatican,267
Venezuela,238
Vietnam,278
Yemen,279
Zambia,276
Zimbabwe,277
Hong Kong,68
