Nation,Similarity Score
Afghanistan,285
Albania,146
Algeria,299
Andorra,181
Angola,303
Antigua and Barbuda,290
Argentina,116
Armenia,77
Australia,290
Austria,161
Azerbaijan,187
Bahamas,197
Bahrain,62
Bangladesh,269
Barbados,299
Belarus,159
Belgium,96
Belize,207
Benin,303
Bhutan,300
Bolivia,159
Bosnia and Herzegovina,140
Botswana,269
Brazil,99
Brunei,294
Bulgaria,197
Burkina Faso,303
Burundi,303
Cambodia,303
Cameroon,291
Canada,195
Cape Verde,114
Central African Republic,278
Chad,303
Chile,105
China,274
Colombia,104
Comoros,290
Congo,284
Costa Rica,154
Cote d'Ivoire,302
Croatia,175
Cuba,301
Cyprus,228
Czechia,174
Democratic Republic of Congo,303
Denmark,152
Djibouti,243
Dominica,295
Dominican Republic,129
Ecuador,154
Egypt,294
El Salvador,209
Equatorial Guinea,284
Eritrea,303
Estonia,241
Eswatini,222
Ethiopia,303
Fiji,303
Finland,253
France,159
Gabon,237
Gambia,279
Georgia,220
Germany,195
Ghana,277
Greece,240
Grenada,300
Guatemala,201
Guinea,297
Guinea-Bissau,275
Guyana,236
Haiti,291
Honduras,162
Hungary,207
Iceland,193
India,219
Indonesia,303
International,303
Iran,104
Iraq,156
Ireland,165
Israel,112
Italy,158
Jamaica,265
Japan,296
Jordan,234
Kazakhstan,214
Kenya,301
Kosovo,152
Kuwait,74
Kyrgyzstan,215
Laos,303
Latvia,245
Lebanon,173
Lesotho,290
Liberia,303
Libya,191
Liechtenstein,223
Lithuania,237
Luxembourg,117
Madagascar,302
Malawi,303
Malaysia,295
Maldives,113
Mali,303
Malta,149
Marshall Islands,303
Mauritania,275
Mexico,157
Moldova,81
Monaco,197
Mongolia,303
Montenegro,144
Morocco,189
Mozambique,303
Myanmar,303
Namibia,234
Nepal,216
Netherlands,119
New Zealand,306
Nicaragua,287
Niger,303
Nigeria,303
North Macedonia,109
Norway,239
Oman,135
Pakistan,280
Palestine,146
Panama,72
Papua New Guinea,303
Paraguay,199
Peru,114
Philippines,257
Poland,216
Portugal,90
Qatar,89
Romania,126
Russia,78
Rwanda,303
Saint Kitts and Nevis,302
Saint Lucia,298
Saint Vincent and the Grenadines,296
Samoa,303
San Marino,200
Sao Tome and Principe,273
Saudi Arabia,157
Senegal,301
Serbia,178
Seychelles,289
Sierra Leone,302
Singapore,159
Slovakia,222
Slovenia,206
Solomon Islands,303
Somalia,303
South Africa,184
South Korea,276
South Sudan,298
Spain,140
Sri Lanka,303
Sudan,303
Suriname,204
Sweden,116
Switzerland,156
Syria,303
Taiwan,296
Tajikistan,286
Tanzania,303
Thailand,301
Timor,303
Togo,303
Trinidad and Tobago,254
Tunisia,257
Turkey,246
Uganda,303
Ukraine,151
United Arab Emirates,77
United Kingdom,124
United States,56
Uruguay,301
Uzbekistan,291
Vanuatu,303
Vatican,291
Venezuela,252
Vietnam,302
Yemen,303
Zambia,298
Zimbabwe,301
Hong Kong,69
