Nation,Similarity Score
Afghanistan,212
Albania,220
Algeria,224
Andorra,133
Angola,226
Antigua and Barbuda,215
Argentina,146
Armenia,105
Australia,211
Austria,199
Azerbaijan,156
Bahamas,193
Bahrain,81
Bangladesh,216
Barbados,218
Belarus,159
Belgium,118
Belize,227
Benin,226
Bhutan,227
Bolivia,161
Bosnia and Herzegovina,172
Botswana,219
Brazil,123
Brunei,213
Bulgaria,196
Burkina Faso,226
Burundi,226
Cambodia,226
Cameroon,216
Canada,171
Cape Verde,159
Central African Republic,213
Chad,226
Chile,126
China,197
Colombia,148
Comoros,217
Congo,218
Costa Rica,166
Cote d'Ivoire,227
Croatia,213
Cuba,226
Cyprus,190
Czechia,183
Democratic Republic of Congo,226
Denmark,175
Djibouti,171
Dominica,222
Dominican Republic,142
Ecuador,166
Egypt,225
El Salvador,185
Equatorial Guinea,207
Eritrea,226
Estonia,181
Eswatini,195
Ethiopia,226
Fiji,226
Finland,177
France,133
Gabon,175
Gambia,220
Georgia,217
Germany,164
Ghana,210
Greece,232
Grenada,220
Guatemala,200
Guinea,220
Guinea-Bissau,207
Guyana,237
Haiti,216
Honduras,185
Hungary,229
Iceland,177
India,238
Indonesia,226
International,226
Iran,114
Iraq,192
Ireland,193
Israel,116
Italy,144
Jamaica,250
Japan,221
Jordan,218
Kazakhstan,171
Kenya,228
Kosovo,166
Kuwait,105
Kyrgyzstan,201
Laos,226
Latvia,204
Lebanon,208
Lesotho,223
Liberia,226
Libya,234
Liechtenstein,198
Lithuania,202
Luxembourg,105
Madagascar,225
Malawi,226
Malaysia,218
Maldives,141
Mali,226
Malta,173
Marshall Islands,226
Mauritania,213
Mauritius,216
Mexico,174
Moldova,101
Monaco,192
Mongolia,226
Montenegro,148
Morocco,261
Mozambique,226
Myanmar,226
Namibia,221
Netherlands,143
New Zealand,213
Nicaragua,219
Niger,226
Nigeria,226
North Macedonia,143
Norway,177
Oman,140
Pakistan,213
Palestine,197
Panama,95
Papua New Guinea,226
Paraguay,237
Peru,123
Philippines,226
Poland,214
Portugal,142
Qatar,120
Romania,170
Russia,159
Rwanda,226
Saint Kitts and Nevis,218
Saint Lucia,223
Saint Vincent and the Grenadines,217
Samoa,226
San Marino,139
Sao Tome and Principe,203
Saudi Arabia,123
Senegal,226
Serbia,135
Seychelles,211
Sierra Leone,225
Singapore,89
Slovakia,221
Slovenia,201
Solomon Islands,226
Somalia,226
South Africa,166
South Korea,199
South Sudan,221
Spain,105
Sri Lanka,226
Sudan,226
Suriname,189
Sweden,88
Switzerland,174
Syria,226
Taiwan,219
Tajikistan,211
Tanzania,226
Thailand,224
Timor,226
Togo,226
Trinidad and Tobago,246
Tunisia,230
Turkey,178
Uganda,226
Ukraine,235
United Arab Emirates,151
United Kingdom,145
United States,74
Uruguay,224
Uzbekistan,222
Vanuatu,226
Vatican,217
Venezuela,237
Vietnam,225
Yemen,226
Zambia,221
Zimbabwe,226
Hong Kong,18
