Nation,Similarity Score
Afghanistan,195
Albania,135
Algeria,186
Andorra,137
Angola,185
Antigua and Barbuda,184
Argentina,102
Armenia,99
Australia,179
Austria,139
Azerbaijan,166
Bahamas,131
Bahrain,83
Bangladesh,170
Barbados,185
Belarus,205
Belgium,137
Belize,161
Benin,185
Bhutan,184
Bolivia,111
Bosnia and Herzegovina,120
Botswana,167
Brazil,119
Brunei,177
Bulgaria,151
Burkina Faso,185
Burundi,185
Cambodia,184
Cameroon,187
Cape Verde,124
Central African Republic,176
Chad,185
Chile,133
China,154
Colombia,121
Comoros,184
Congo,175
Costa Rica,96
Cote d'Ivoire,184
Croatia,145
Cuba,185
Cyprus,204
Czechia,142
Democratic Republic of Congo,185
Denmark,208
Djibouti,177
Dominica,186
Dominican Republic,141
Ecuador,139
Egypt,183
El Salvador,137
Equatorial Guinea,183
Eritrea,185
Estonia,206
Eswatini,118
Ethiopia,185
Fiji,185
Finland,212
France,143
Gabon,158
Gambia,165
Georgia,160
Germany,186
Ghana,169
Greece,196
Grenada,187
Guatemala,126
Guinea,188
Guinea-Bissau,190
Guyana,162
Haiti,189
Honduras,123
Hungary,161
Iceland,140
India,139
Indonesia,185
International,185
Iran,169
Iraq,96
Ireland,179
Israel,103
Italy,169
Jamaica,169
Japan,180
Jordan,177
Kazakhstan,131
Kenya,186
Kosovo,117
Kuwait,105
Kyrgyzstan,148
Laos,185
Latvia,213
Lebanon,141
Lesotho,174
Liberia,185
Libya,154
Liechtenstein,162
Lithuania,186
Luxembourg,113
Madagascar,186
Malawi,185
Malaysia,179
Maldives,119
Mali,185
Malta,152
Marshall Islands,185
Mauritania,169
Mauritius,189
Mexico,126
Moldova,137
Monaco,164
Mongolia,186
Montenegro,91
Morocco,171
Mozambique,185
Myanmar,186
Namibia,136
Nepal,168
Netherlands,141
New Zealand,192
Nicaragua,177
Niger,185
Nigeria,185
North Macedonia,107
Norway,184
Oman,112
Pakistan,175
Palestine,123
Panama,130
Papua New Guinea,185
Paraguay,154
Peru,117
Philippines,151
Poland,183
Portugal,148
Qatar,101
Romania,135
Russia,152
Rwanda,185
Saint Kitts and Nevis,188
Saint Lucia,186
Saint Vincent and the Grenadines,180
Samoa,185
San Marino,160
Sao Tome and Principe,181
Saudi Arabia,127
Senegal,186
Serbia,163
Seychelles,170
Sierra Leone,186
Slovakia,181
Slovenia,162
Solomon Islands,185
Somalia,185
South Africa,119
South Korea,162
South Sudan,188
Spain,133
Sri Lanka,184
Sudan,185
Suriname,113
Sweden,139
Switzerland,134
Syria,185
Taiwan,180
Tajikistan,200
Tanzania,185
Thailand,184
Timor,185
Togo,185
Trinidad and Tobago,160
Tunisia,187
Turkey,227
Uganda,185
Ukraine,151
United Arab Emirates,157
United Kingdom,172
United States,76
Uruguay,186
Uzbekistan,180
Vanuatu,185
Vatican,181
Venezuela,156
Vietnam,184
Yemen,185
Zambia,181
Zimbabwe,184
Singapore,105
Hong Kong,41
