Nation,Similarity Score
Afghanistan,292
Albania,149
Algeria,306
Andorra,174
Angola,308
Antigua and Barbuda,291
Argentina,125
Armenia,76
Australia,286
Austria,150
Azerbaijan,202
Bahamas,200
Bahrain,59
Bangladesh,279
Barbados,298
Belarus,164
Belgium,98
Belize,212
Benin,308
Bhutan,305
Bolivia,174
Bosnia and Herzegovina,137
Botswana,273
Brazil,106
Brunei,295
Bulgaria,205
Burkina Faso,308
Burundi,308
Cambodia,307
Cameroon,299
Canada,188
Cape Verde,124
Central African Republic,287
Chad,308
Chile,94
China,277
Colombia,115
Comoros,295
Congo,290
Costa Rica,159
Cote d'Ivoire,307
Croatia,166
Cuba,308
Cyprus,217
Czechia,164
Democratic Republic of Congo,308
Denmark,142
Djibouti,250
Dominica,295
Dominican Republic,135
Ecuador,154
Egypt,300
El Salvador,218
Equatorial Guinea,289
Eritrea,308
Estonia,233
Eswatini,232
Ethiopia,308
Fiji,308
Finland,241
France,139
Gabon,253
Gambia,283
Georgia,225
Germany,191
Ghana,282
Greece,242
Grenada,303
Guatemala,213
Guinea-Bissau,286
Guyana,240
Haiti,298
Honduras,170
Hungary,213
Iceland,193
India,226
Indonesia,308
International,308
Iran,102
Iraq,159
Ireland,167
Israel,104
Italy,159
Jamaica,273
Japan,303
Jordan,239
Kazakhstan,228
Kenya,307
Kosovo,160
Kuwait,76
Kyrgyzstan,222
Laos,308
Latvia,249
Lebanon,175
Lesotho,297
Liberia,308
Libya,196
Liechtenstein,222
Lithuania,230
Luxembourg,113
Madagascar,307
Malawi,308
Malaysia,302
Maldives,123
Mali,308
Malta,141
Marshall Islands,308
Mauritania,282
Mauritius,300
Mexico,175
Moldova,77
Monaco,194
Mongolia,307
Montenegro,137
Morocco,200
Mozambique,308
Myanmar,307
Namibia,239
Nepal,223
Netherlands,114
New Zealand,295
Nicaragua,292
Niger,308
Nigeria,308
North Macedonia,103
Norway,239
Oman,144
Pakistan,289
Palestine,151
Panama,68
Papua New Guinea,308
Paraguay,205
Peru,117
Philippines,264
Poland,221
Portugal,95
Qatar,83
Romania,118
Russia,89
Rwanda,308
Saint Kitts and Nevis,299
Saint Lucia,302
Saint Vincent and the Grenadines,302
Samoa,308
San Marino,205
Sao Tome and Principe,277
Saudi Arabia,170
Senegal,307
Serbia,175
Seychelles,291
Sierra Leone,307
Slovakia,230
Slovenia,190
Solomon Islands,308
Somalia,308
South Africa,198
South Korea,285
South Sudan,305
Spain,137
Sri Lanka,307
Sudan,308
Suriname,209
Sweden,111
Switzerland,165
Syria,308
Taiwan,303
Tajikistan,300
Tanzania,308
Thailand,307
Timor,308
Togo,308
Trinidad and Tobago,260
Tunisia,261
Turkey,241
Uganda,308
Ukraine,163
United Arab Emirates,80
United Kingdom,125
United States,55
Uruguay,307
Uzbekistan,297
Vanuatu,308
Vatican,296
Venezuela,261
Vietnam,307
Yemen,308
Zambia,302
Zimbabwe,307
Singapore,156
Hong Kong,70
