Nation,Similarity Score
Afghanistan,161
Albania,120
Algeria,163
Andorra,132
Angola,166
Antigua and Barbuda,163
Argentina,82
Armenia,102
Australia,159
Austria,181
Azerbaijan,91
Bahamas,135
Bahrain,92
Bangladesh,137
Barbados,167
Belarus,128
Belgium,173
Belize,153
Benin,166
Bhutan,163
Bolivia,105
Bosnia and Herzegovina,121
Botswana,158
Brazil,87
Brunei,169
Bulgaria,124
Burkina Faso,166
Burundi,166
Cambodia,165
Cameroon,162
Canada,179
Cape Verde,111
Central African Republic,149
Chad,166
Chile,112
China,137
Colombia,90
Comoros,157
Congo,153
Costa Rica,97
Cote d'Ivoire,165
Croatia,154
Cuba,166
Cyprus,166
Czechia,136
Democratic Republic of Congo,166
Denmark,202
Djibouti,145
Dominica,174
Dominican Republic,121
Ecuador,135
Egypt,156
El Salvador,114
Equatorial Guinea,163
Eritrea,166
Estonia,166
Eswatini,118
Ethiopia,166
Fiji,166
Finland,179
France,159
Gabon,130
Gambia,154
Georgia,174
Germany,178
Ghana,146
Greece,158
Grenada,167
Guatemala,128
Guinea,167
Guinea-Bissau,162
Guyana,170
Haiti,158
Honduras,125
Hungary,178
Iceland,187
India,160
Indonesia,166
International,166
Iran,111
Iraq,104
Israel,93
Italy,187
Jamaica,180
Japan,161
Jordan,169
Kazakhstan,109
Kenya,165
Kosovo,82
Kuwait,94
Kyrgyzstan,123
Laos,166
Latvia,167
Lebanon,139
Lesotho,161
Liberia,166
Libya,169
Liechtenstein,154
Lithuania,166
Luxembourg,129
Madagascar,165
Malawi,166
Malaysia,162
Maldives,99
Mali,166
Malta,172
Marshall Islands,166
Mauritania,140
Mauritius,167
Mexico,114
Moldova,96
Monaco,163
Mongolia,166
Montenegro,100
Morocco,174
Mozambique,166
Myanmar,166
Namibia,140
Nepal,189
Netherlands,188
New Zealand,167
Nicaragua,156
Niger,166
Nigeria,166
North Macedonia,110
Norway,164
Oman,107
Pakistan,147
Palestine,110
Panama,95
Papua New Guinea,166
Paraguay,162
Peru,99
Philippines,154
Poland,168
Portugal,177
Qatar,115
Romania,150
Russia,112
Rwanda,166
Saint Kitts and Nevis,168
Saint Lucia,167
Saint Vincent and the Grenadines,162
Samoa,166
San Marino,146
Sao Tome and Principe,151
Saudi Arabia,93
Senegal,167
Serbia,111
Seychelles,156
Sierra Leone,167
Slovakia,177
Slovenia,180
Solomon Islands,166
Somalia,166
South Africa,97
South Korea,147
South Sudan,167
Spain,140
Sri Lanka,165
Sudan,166
Suriname,101
Sweden,119
Switzerland,168
Syria,166
Taiwan,163
Tajikistan,174
Tanzania,166
Thailand,165
Timor,166
Togo,166
Trinidad and Tobago,175
Tunisia,180
Turkey,176
Uganda,166
Ukraine,150
United Arab Emirates,122
United Kingdom,207
United States,114
Uruguay,166
Uzbekistan,155
Vanuatu,166
Vatican,166
Venezuela,158
Vietnam,165
Yemen,166
Zambia,163
Zimbabwe,165
Singapore,82
Hong Kong,12
