Nation,Similarity Score
Afghanistan,249
Albania,193
Algeria,271
Andorra,157
Angola,269
Antigua and Barbuda,254
Argentina,127
Armenia,91
Australia,257
Austria,157
Azerbaijan,181
Bahamas,207
Bahrain,59
Bangladesh,246
Barbados,263
Belarus,138
Belgium,129
Belize,210
Benin,269
Bhutan,270
Bolivia,181
Bosnia and Herzegovina,139
Botswana,252
Brazil,109
Brunei,256
Bulgaria,205
Burkina Faso,269
Burundi,269
Cambodia,268
Cameroon,260
Canada,151
Cape Verde,137
Central African Republic,246
Chad,269
Chile,99
China,238
Colombia,114
Comoros,256
Congo,258
Costa Rica,163
Cote d'Ivoire,268
Croatia,182
Cuba,269
Cyprus,188
Czechia,173
Democratic Republic of Congo,269
Denmark,130
Djibouti,210
Dominica,258
Dominican Republic,148
Ecuador,170
Egypt,259
El Salvador,230
Equatorial Guinea,253
Eritrea,269
Estonia,196
Eswatini,253
Ethiopia,269
Fiji,269
Finland,199
France,132
Gabon,224
Gambia,280
Georgia,192
Germany,154
Ghana,255
Greece,221
Grenada,262
Guatemala,231
Guinea,264
Guinea-Bissau,249
Guyana,241
Haiti,257
Honduras,194
Hungary,188
Iceland,181
India,269
Indonesia,269
International,269
Iran,113
Iraq,172
Ireland,154
Israel,108
Italy,130
Jamaica,259
Japan,264
Jordan,200
Kazakhstan,228
Kenya,270
Kosovo,174
Kuwait,76
Kyrgyzstan,226
Laos,269
Latvia,204
Lebanon,196
Lesotho,268
Liberia,269
Libya,222
Liechtenstein,206
Lithuania,193
Luxembourg,110
Madagascar,270
Malawi,269
Malaysia,263
Maldives,127
Mali,269
Malta,147
Marshall Islands,269
Mauritania,243
Mauritius,261
Mexico,207
Moldova,84
Monaco,181
Mongolia,268
Montenegro,145
Morocco,233
Mozambique,269
Myanmar,268
Namibia,261
Nepal,228
Netherlands,137
New Zealand,256
Nicaragua,265
Niger,269
Nigeria,269
North Macedonia,128
Norway,200
Oman,150
Pakistan,244
Palestine,173
Panama,69
Papua New Guinea,269
Paraguay,218
Peru,112
Poland,194
Portugal,101
Qatar,91
Romania,144
Russia,131
Rwanda,269
Saint Kitts and Nevis,260
Saint Lucia,261
Saint Vincent and the Grenadines,258
Samoa,269
San Marino,166
Sao Tome and Principe,238
Saudi Arabia,192
Senegal,268
Serbia,177
Seychelles,259
Sierra Leone,268
Slovakia,203
Slovenia,165
Solomon Islands,269
Somalia,269
South Africa,209
South Korea,246
South Sudan,264
Spain,127
Sri Lanka,268
Sudan,269
Suriname,224
Sweden,111
Switzerland,174
Syria,269
Taiwan,264
Tajikistan,253
Tanzania,269
Thailand,268
Timor,269
Togo,269
Trinidad and Tobago,263
Tunisia,232
Turkey,203
Uganda,269
Ukraine,192
United Arab Emirates,106
United Kingdom,102
United States,56
Uruguay,268
Uzbekistan,276
Vanuatu,269
Vatican,257
Venezuela,295
Vietnam,268
Yemen,269
Zambia,269
Zimbabwe,270
Singapore,141
Hong Kong,59
