Nation,Similarity Score
Afghanistan,176
Albania,167
Algeria,179
Andorra,144
Angola,177
Antigua and Barbuda,171
Argentina,120
Armenia,122
Australia,173
Austria,252
Azerbaijan,142
Bahamas,153
Bahrain,65
Bangladesh,177
Barbados,179
Belarus,127
Belgium,145
Belize,171
Benin,177
Bhutan,179
Bolivia,107
Bosnia and Herzegovina,143
Botswana,170
Brazil,76
Brunei,177
Bulgaria,191
Burkina Faso,177
Burundi,177
Cambodia,177
Cameroon,172
Canada,166
Cape Verde,123
Central African Republic,170
Chad,177
Chile,80
China,146
Colombia,116
Comoros,171
Congo,172
Costa Rica,132
Cote d'Ivoire,179
Croatia,217
Cuba,177
Cyprus,178
Czechia,234
Democratic Republic of Congo,177
Denmark,195
Djibouti,147
Dominica,178
Dominican Republic,127
Ecuador,134
Egypt,175
El Salvador,141
Equatorial Guinea,162
Eritrea,177
Estonia,199
Eswatini,150
Ethiopia,179
Fiji,177
Finland,192
France,113
Gabon,134
Gambia,169
Georgia,205
Germany,173
Ghana,170
Greece,191
Grenada,177
Guatemala,144
Guinea,177
Guinea-Bissau,176
Guyana,175
Haiti,176
Honduras,124
Hungary,239
Iceland,190
India,170
Indonesia,178
International,177
Iran,167
Iraq,121
Ireland,173
Israel,114
Italy,161
Jamaica,191
Japan,172
Jordan,186
Kazakhstan,138
Kenya,179
Kosovo,125
Kuwait,65
Kyrgyzstan,144
Laos,177
Latvia,181
Lebanon,160
Lesotho,178
Liberia,177
Libya,169
Liechtenstein,191
Lithuania,192
Luxembourg,122
Madagascar,178
Malawi,177
Malaysia,174
Maldives,97
Mali,177
Malta,175
Marshall Islands,177
Mauritania,165
Mauritius,176
Mexico,134
Moldova,98
Monaco,163
Mongolia,177
Montenegro,143
Morocco,186
Mozambique,177
Myanmar,177
Namibia,159
Nepal,197
Netherlands,190
New Zealand,177
Nicaragua,165
Niger,177
Nigeria,177
North Macedonia,141
Norway,181
Oman,96
Pakistan,173
Palestine,134
Panama,85
Papua New Guinea,177
Paraguay,167
Peru,77
Philippines,178
Poland,196
Portugal,183
Qatar,73
Romania,169
Russia,111
Rwanda,178
Saint Kitts and Nevis,177
Saint Lucia,179
Saint Vincent and the Grenadines,173
Samoa,177
San Marino,148
Sao Tome and Principe,156
Saudi Arabia,92
Senegal,177
Serbia,142
Seychelles,169
Sierra Leone,177
Singapore,76
Slovakia,217
Solomon Islands,177
Somalia,177
South Africa,124
South Korea,160
South Sudan,176
Spain,160
Sri Lanka,177
Sudan,177
Suriname,137
Sweden,120
Switzerland,202
Syria,177
Taiwan,173
Tajikistan,175
Tanzania,177
Thailand,176
Timor,177
Togo,177
Trinidad and Tobago,173
Tunisia,193
Turkey,179
Uganda,177
Ukraine,185
United Arab Emirates,105
United Kingdom,141
United States,89
Uruguay,177
Uzbekistan,175
Vanuatu,177
Vatican,171
Venezuela,178
Vietnam,176
Yemen,177
Zambia,175
Zimbabwe,177
Hong Kong,16
