Nation,Similarity Score
Afghanistan,99
Albania,135
Algeria,133
Andorra,97
Angola,153
Antigua and Barbuda,29
Armenia,29
Australia,77
Austria,124
Azerbaijan,130
Bahamas,29
Belarus,24
Belgium,174
Belize,141
Benin,92
Bosnia and Herzegovina,125
Brazil,153
Bulgaria,135
Burkina Faso,91
Burundi,48
Cambodia,86
Cameroon,124
Canada,147
Cape Verde,161
Central African Republic,129
Chad,127
Chile,138
Comoros,29
Congo,134
Costa Rica,157
Cote d'Ivoire,110
Croatia,99
Cyprus,97
Czechia,125
Democratic Republic of Congo,120
Denmark,162
Djibouti,125
Dominica,90
Dominican Republic,134
Ecuador,148
Egypt,139
Equatorial Guinea,29
Eritrea,140
Estonia,156
Eswatini,144
Ethiopia,111
Finland,178
France,149
Gambia,151
Georgia,138
Germany,152
Ghana,111
Greece,139
Grenada,29
Guatemala,155
Guinea,161
Guinea-Bissau,29
Guyana,154
Haiti,101
Honduras,132
Hungary,153
India,153
International,29
Iran,113
Iraq,121
Ireland,183
Israel,114
Italy,167
Jamaica,143
Japan,104
Jordan,127
Kazakhstan,156
Kenya,130
Kosovo,128
Kyrgyzstan,154
Laos,74
Latvia,107
Lebanon,122
Lesotho,130
Liberia,160
Libya,135
Liechtenstein,29
Lithuania,113
Luxembourg,144
Madagascar,137
Malawi,162
Maldives,29
Mali,106
Malta,61
Marshall Islands,29
Mauritania,93
Mauritius,91
Mexico,130
Moldova,134
Monaco,94
Montenegro,29
Morocco,134
Mozambique,149
Myanmar,128
Namibia,136
Netherlands,122
Nicaragua,32
Niger,68
North Macedonia,29
Norway,211
Pakistan,142
Palestine,120
Papua New Guinea,141
Peru,131
Philippines,136
Portugal,163
Qatar,155
Romania,145
Russia,144
Saint Kitts and Nevis,29
Saint Lucia,29
Saint Vincent and the Grenadines,29
Samoa,29
San Marino,82
Sao Tome and Principe,29
Saudi Arabia,203
Senegal,112
Serbia,152
Seychelles,98
Sierra Leone,92
Slovakia,79
Slovenia,98
Solomon Islands,79
Somalia,82
South Africa,120
South Korea,139
South Sudan,152
Spain,158
Sri Lanka,162
Sudan,143
Suriname,135
Sweden,143
Switzerland,126
Syria,121
Tanzania,65
Thailand,79
Timor,105
Togo,131
Trinidad and Tobago,162
Tunisia,90
Turkey,151
Uganda,169
Ukraine,130
United Arab Emirates,136
United States,151
Uruguay,156
Vanuatu,109
Vatican,29
Venezuela,132
Vietnam,63
Yemen,67
Zambia,136
Zimbabwe,161
Gabon,158
Kuwait,150
Nigeria,166
Paraguay,144
Poland,134
Tajikistan,82
United Kingdom,188
Argentina,157
Bahrain,140
Barbados,130
Brunei,76
Colombia,153
El Salvador,135
Fiji,132
Iceland,124
Indonesia,135
Malaysia,134
New Zealand,63
Oman,139
Panama,154
Uzbekistan,140
Bangladesh,153
Bhutan,146
Bolivia,122
Botswana,149
China,119
Mongolia,107
Nepal,122
Rwanda,170
Singapore,96
Taiwan,98
Hong Kong,23
