Nation,Similarity Score
Afghanistan,203
Albania,117
Algeria,116
Andorra,172
Angola,121
Antigua and Barbuda,206
Armenia,206
Australia,52
Austria,107
Azerbaijan,113
Bahamas,206
Belarus,189
Belgium,114
Belize,131
Benin,233
Bosnia and Herzegovina,174
Brazil,128
Bulgaria,190
Burkina Faso,222
Burundi,216
Cambodia,249
Cameroon,149
Canada,102
Cape Verde,137
Central African Republic,164
Chad,111
Chile,121
Comoros,206
Congo,121
Costa Rica,133
Cote d'Ivoire,186
Croatia,227
Cuba,98
Cyprus,38
Czechia,162
Democratic Republic of Congo,167
Denmark,61
Djibouti,143
Dominica,235
Dominican Republic,120
Ecuador,125
Egypt,116
Equatorial Guinea,206
Eritrea,117
Estonia,106
Eswatini,140
Ethiopia,92
Finland,103
France,132
Gambia,162
Georgia,130
Germany,128
Ghana,129
Greece,64
Grenada,206
Guatemala,124
Guinea,172
Guinea-Bissau,206
Guyana,152
Haiti,177
Honduras,111
Hungary,105
India,124
International,206
Iran,147
Iraq,99
Ireland,106
Israel,127
Italy,95
Jamaica,140
Japan,204
Jordan,134
Kazakhstan,117
Kenya,108
Kosovo,112
Kyrgyzstan,139
Laos,259
Latvia,44
Lebanon,133
Lesotho,119
Liberia,129
Libya,99
Liechtenstein,206
Lithuania,50
Luxembourg,84
Madagascar,132
Malawi,126
Maldives,206
Mali,193
Malta,134
Marshall Islands,206
Mauritania,229
Mauritius,240
Mexico,109
Moldova,140
Monaco,255
Montenegro,206
Morocco,107
Mozambique,128
Myanmar,85
Namibia,130
Netherlands,149
Nicaragua,209
Niger,257
North Macedonia,206
Norway,88
Pakistan,128
Palestine,111
Papua New Guinea,190
Peru,109
Philippines,121
Portugal,132
Qatar,139
Romania,148
Russia,115
Saint Kitts and Nevis,206
Saint Lucia,206
Saint Vincent and the Grenadines,206
Samoa,206
San Marino,223
Sao Tome and Principe,206
Saudi Arabia,115
Senegal,175
Serbia,105
Sierra Leone,244
Slovakia,85
Slovenia,78
Solomon Islands,220
Somalia,251
South Africa,123
South Korea,23
South Sudan,127
Spain,125
Sri Lanka,97
Sudan,173
Suriname,126
Sweden,125
Switzerland,135
Syria,127
Tanzania,253
Thailand,23
Timor,277
Togo,106
Trinidad and Tobago,144
Tunisia,132
Turkey,147
Uganda,133
Ukraine,126
United Arab Emirates,66
United States,124
Uruguay,83
Vanuatu,188
Vatican,206
Venezuela,111
Vietnam,82
Yemen,203
Zambia,112
Zimbabwe,125
Gabon,146
Kuwait,117
Nigeria,134
Paraguay,107
Poland,167
Tajikistan,176
United Kingdom,114
Argentina,127
Bahrain,118
Bangladesh,133
Barbados,220
Bhutan,133
Bolivia,106
Botswana,154
Brunei,260
China,113
El Salvador,121
Fiji,114
Iceland,100
Indonesia,139
Malaysia,75
Mongolia,154
Nepal,108
New Zealand,53
Oman,164
Rwanda,71
Singapore,123
Taiwan,44
Uzbekistan,179
Colombia,127
Panama,126
Hong Kong,19
