Nation,Similarity Score
Afghanistan,163
Albania,116
Algeria,104
Andorra,111
Angola,113
Antigua and Barbuda,58
Armenia,58
Australia,71
Austria,131
Azerbaijan,102
Bahamas,58
Belarus,86
Belgium,121
Belize,134
Benin,157
Bosnia and Herzegovina,97
Brazil,145
Bulgaria,113
Burkina Faso,175
Burundi,41
Cambodia,127
Cameroon,142
Cape Verde,137
Central African Republic,192
Chad,106
Chile,163
Comoros,58
Congo,140
Costa Rica,131
Cote d'Ivoire,201
Croatia,90
Cuba,117
Cyprus,117
Czechia,85
Denmark,153
Djibouti,130
Dominica,193
Dominican Republic,105
Ecuador,94
Egypt,147
Equatorial Guinea,58
Eritrea,116
Estonia,139
Eswatini,133
Ethiopia,165
Finland,97
Gambia,136
Georgia,60
Germany,105
Ghana,144
Greece,111
Grenada,58
Guinea,145
Guinea-Bissau,58
Haiti,150
Honduras,103
Hungary,167
India,74
International,58
Iran,78
Iraq,107
Ireland,69
Israel,119
Jamaica,87
Jordan,90
Kazakhstan,91
Kosovo,107
Laos,140
Latvia,152
Lebanon,125
Lesotho,96
Liberia,137
Libya,92
Liechtenstein,58
Lithuania,145
Luxembourg,153
Madagascar,157
Malawi,82
Maldives,58
Mali,182
Malta,58
Marshall Islands,58
Mauritania,170
Mauritius,151
Mexico,146
Moldova,160
Monaco,37
Montenegro,58
Morocco,111
Mozambique,89
Myanmar,139
Namibia,154
Netherlands,149
Nicaragua,58
Niger,87
North Macedonia,58
Norway,111
Pakistan,105
Palestine,115
Papua New Guinea,148
Peru,103
Philippines,64
Portugal,114
Qatar,103
Romania,99
Russia,131
Saint Kitts and Nevis,58
Saint Lucia,58
Saint Vincent and the Grenadines,58
Samoa,58
San Marino,120
Sao Tome and Principe,58
Saudi Arabia,81
Senegal,186
Seychelles,92
Sierra Leone,164
Slovakia,149
Slovenia,127
Solomon Islands,93
Somalia,109
South Korea,99
South Sudan,163
Spain,91
Sri Lanka,117
Sudan,153
Suriname,166
Sweden,114
Switzerland,134
Syria,138
Tanzania,76
Thailand,189
Timor,135
Togo,175
Trinidad and Tobago,92
Tunisia,99
Turkey,109
Ukraine,107
United States,120
Uruguay,133
Vanuatu,162
Vatican,58
Venezuela,149
Vietnam,76
Yemen,139
Zambia,121
Zimbabwe,62
Canada,155
Gabon,115
Guatemala,80
Guyana,75
Italy,59
Japan,83
Kenya,97
Kuwait,99
Kyrgyzstan,78
Nepal,68
Nigeria,123
Oman,89
Paraguay,75
Poland,106
Serbia,80
South Africa,155
Tajikistan,97
Uganda,90
United Arab Emirates,134
United Kingdom,122
Colombia,81
Panama,87
Argentina,63
Bangladesh,49
Botswana,74
Rwanda,57
Barbados,139
Iceland,70
Uzbekistan,119
Fiji,102
New Zealand,79
Taiwan,48
Bhutan,109
Singapore,113
Bahrain,122
Brunei,82
El Salvador,76
Mongolia,127
Indonesia,91
China,107
Malaysia,92
Bolivia,88
Hong Kong,21
France,95
