Nation,Similarity Score
Bolivia,6
Brunei,5
China,37
El Salvador,47
Georgia,59
Italy,50
Malaysia,56
Mongolia,29
Philippines,24
Singapore,52
Taiwan,3
Vietnam,43
Iraq,42
South Korea,50
Afghanistan,1
Australia,23
Austria,20
Bahrain,52
Barbados,1
Belgium,53
Benin,23
Bhutan,6
Brazil,39
Bulgaria,5
Canada,60
Cape Verde,28
Central African Republic,46
Chile,5
Costa Rica,60
Cote d'Ivoire,1
Cuba,17
Czechia,14
Democratic Republic of Congo,21
Denmark,29
Eritrea,5
Estonia,2
Ethiopia,24
Finland,5
Gabon,30
Gambia,20
Germany,52
Guinea,44
Haiti,19
Hungary,10
Israel,3
Jamaica,6
Kuwait,51
Latvia,3
Liberia,61
Lithuania,24
Luxembourg,30
Mali,12
Mauritania,1
Mauritius,2
Mexico,14
Namibia,38
Netherlands,45
Nigeria,61
Norway,5
Panama,22
Papua New Guinea,21
Poland,3
Portugal,59
San Marino,3
Senegal,7
Slovakia,16
South Sudan,5
Sudan,40
Suriname,37
Switzerland,5
Thailand,22
Timor,3
Togo,49
Trinidad and Tobago,10
Turkey,8
United Kingdom,42
United States,56
Uruguay,14
Vanuatu,2
Venezuela,5
Andorra,44
Cambodia,4
Ghana,17
Iceland,8
Iran,50
Japan,3
Malawi,62
Mozambique,58
Niger,2
Solomon Islands,8
Somalia,20
Sweden,61
Tajikistan,3
Tanzania,2
Yemen,9
Zambia,27
Croatia,2
Djibouti,33
Laos,3
New Zealand,1
Serbia,61
Seychelles,1
Slovenia,41
Bosnia and Herzegovina,5
Burkina Faso,3
Cyprus,54
Dominica,1
France,37
Greece,60
Indonesia,40
Ireland,42
Jordan,29
Lesotho,45
Romania,24
Sierra Leone,1
Spain,50
Sri Lanka,2
Ukraine,59
Albania,61
Belize,16
Botswana,50
Cameroon,39
Chad,17
Congo,53
Egypt,42
Fiji,43
Kosovo,62
Lebanon,60
Madagascar,40
Moldova,21
Morocco,54
Pakistan,28
Russia,12
Saudi Arabia,60
Syria,31
Eswatini,48
Uzbekistan,11
Colombia,17
Kenya,17
Kyrgyzstan,40
Qatar,47
Rwanda,16
Algeria,4
Angola,11
Argentina,4
Azerbaijan,19
Bangladesh,4
Dominican Republic,11
Ecuador,48
Guatemala,40
Guyana,4
Honduras,4
India,14
Kazakhstan,4
Libya,4
Myanmar,4
Nepal,18
Oman,6
Palestine,4
Paraguay,20
Peru,4
South Africa,5
Uganda,14
Zimbabwe,4
United Arab Emirates,42
Tunisia,25
