Nation,Similarity Score
Afghanistan,127
Albania,116
Algeria,217
Andorra,58
Angola,195
Antigua and Barbuda,42
Armenia,42
Australia,89
Austria,77
Azerbaijan,246
Bahamas,42
Belarus,42
Belgium,49
Belize,163
Benin,33
Bosnia and Herzegovina,72
Brazil,128
Bulgaria,26
Burkina Faso,62
Burundi,19
Cambodia,44
Cameroon,44
Cape Verde,136
Central African Republic,51
Chad,181
Chile,221
Comoros,42
Congo,134
Costa Rica,64
Cote d'Ivoire,46
Croatia,60
Cuba,156
Cyprus,139
Czechia,52
Democratic Republic of Congo,103
Denmark,45
Djibouti,97
Dominica,55
Dominican Republic,278
Ecuador,196
Egypt,127
Equatorial Guinea,42
Eritrea,285
Estonia,43
Eswatini,156
Ethiopia,181
Finland,11
Gambia,120
Georgia,102
Germany,25
Ghana,59
Greece,84
Grenada,42
Guinea,50
Guinea-Bissau,42
Haiti,130
Honduras,302
Hungary,67
India,201
International,42
Iran,78
Iraq,214
Ireland,157
Israel,147
Jamaica,154
Jordan,169
Kazakhstan,245
Kosovo,156
Laos,81
Latvia,42
Lebanon,111
Lesotho,110
Liberia,110
Libya,277
Liechtenstein,42
Lithuania,73
Luxembourg,55
Madagascar,96
Malawi,33
Maldives,42
Mali,43
Malta,42
Marshall Islands,42
Mauritania,50
Mauritius,50
Mexico,180
Moldova,100
Monaco,45
Montenegro,42
Morocco,177
Mozambique,80
Myanmar,248
Namibia,45
Netherlands,72
Nicaragua,37
Niger,42
North Macedonia,42
Norway,19
Pakistan,117
Palestine,260
Papua New Guinea,16
Philippines,223
Portugal,63
Qatar,184
Romania,74
Russia,77
Saint Kitts and Nevis,42
Saint Lucia,42
Saint Vincent and the Grenadines,42
Samoa,42
San Marino,65
Sao Tome and Principe,42
Saudi Arabia,108
Senegal,46
Seychelles,34
Sierra Leone,51
Slovakia,91
Slovenia,108
Solomon Islands,18
Somalia,42
South Korea,13
South Sudan,178
Spain,93
Sri Lanka,57
Sudan,128
Suriname,169
Sweden,47
Switzerland,43
Syria,115
Tanzania,39
Thailand,49
Timor,13
Togo,50
Trinidad and Tobago,164
Tunisia,148
Turkey,86
Ukraine,141
United States,68
Uruguay,44
Vanuatu,54
Vatican,42
Venezuela,243
Vietnam,93
Yemen,42
Zambia,34
Zimbabwe,227
Canada,73
Gabon,103
Guatemala,197
Guyana,252
Italy,87
Japan,10
Kenya,245
Kuwait,161
Kyrgyzstan,175
Nepal,227
Nigeria,90
Oman,215
Paraguay,239
Poland,63
Serbia,100
South Africa,206
Tajikistan,10
Uganda,208
United Arab Emirates,77
United Kingdom,72
Colombia,226
Panama,202
Argentina,259
Bahrain,54
Bangladesh,230
Barbados,51
Bhutan,163
Botswana,54
Brunei,6
El Salvador,189
Fiji,73
Iceland,7
Malaysia,48
New Zealand,47
Rwanda,166
Singapore,48
Taiwan,2
Uzbekistan,103
France,101
Indonesia,42
Bolivia,230
China,150
Mongolia,35
Hong Kong,4
